id,adt
l_0,4318
l_1,28195
l_2,12512
l_3,34625
l_4,18012
l_5,43962
l_6,12562
l_7,43962
l_8,8479
l_9,19825
l_10,19825
l_11,9354
l_12,30388
l_13,15177
l_14,27324
l_15,15177
l_16,28195
l_17,12259
l_18,12615
l_19,19825
l_20,12000
l_21,18012
l_22,12615
l_23,24996
l_24,18554
l_25,25486
l_26,34625
l_27,24996
l_28,28822
l_29,34625
l_30,28195
l_31,9523
l_32,30484
l_33,25486
l_34,18012
l_35,43962
l_36,27324
l_37,15481
l_38,34625
l_39,15481
l_40,43962
l_41,8869
l_42,18554
l_43,15177
l_44,15481
l_45,9627
l_46,24996
l_47,9627
l_48,15481
l_49,43962
l_50,25748
l_51,12259
l_52,24996
l_53,17823
l_54,25486
l_55,16700
l_56,28195
l_57,43962
l_58,43962
l_59,28195
l_60,28195
l_61,27324
l_62,9627
l_63,9627
l_64,10821
l_65,9627
l_66,25486
l_67,15481
l_68,15481
l_69,27324
l_70,9627
l_71,18012
l_72,12562
l_73,43962
l_74,28822
l_75,10821
l_76,9627
l_77,9627
l_78,12259
l_79,17823
l_80,15177
l_81,43962
l_82,17823
l_83,12793
l_84,12512
l_85,15177
l_86,25748
l_87,15481
l_88,12562
l_89,15481
l_90,18012
l_91,15906
l_92,28822
l_93,43962
l_94,15177
l_95,16700
l_96,17823
l_97,15481
l_98,10658
l_99,12512
l_100,7124
l_101,28822
l_102,12562
l_103,12562
l_104,12562
l_105,27324
l_106,18554
l_107,15177
l_108,16204
l_109,28195
l_110,28822
l_111,34625
l_112,43962
l_113,18012
l_114,24996
l_115,28822
l_116,28822
l_117,28822
l_118,28822
l_119,28822
l_120,28822
l_121,15481
l_122,16204
l_123,12562
l_124,7783
l_125,12259
l_126,16204
l_127,11780
l_128,11780
l_129,8296
l_130,16293
l_131,12815
l_132,4318
l_133,21939
l_134,12793
l_135,21939
l_136,18554
l_137,25486
l_138,28195
l_139,12000
l_140,21939
l_141,8479
l_142,28822
l_143,12615
l_144,16293
l_145,16700
l_146,25748
l_147,25748
l_148,12562
l_149,12000
l_150,18554
l_151,28822
l_152,8479
l_153,43962
l_154,8771
l_155,27324
l_156,28195
l_157,8479
l_158,25748
l_159,12000
l_160,38827
l_161,38827
l_162,12562
l_163,43962
l_164,30388
l_165,9354
l_166,24996
l_167,24996
l_168,9523
l_169,24996
l_170,24996
l_171,24996
l_172,8479
l_173,25748
l_174,9523
l_175,28822
l_176,28822
l_177,3000
l_178,7783
l_179,7783
l_180,13785
l_181,20224
l_182,16700
l_183,8869
l_184,13785
l_185,8869
l_186,8479
l_187,30388
l_188,12815
l_189,43962
l_190,16700
l_191,28822
l_192,25486
l_193,15177
l_194,16700
l_195,15481
l_196,43962
l_197,12793
l_198,16700
l_199,12615
l_200,24996
l_201,16700
l_202,16293
l_203,12615
l_204,43962
l_205,16700
l_206,12562
l_207,25486
l_208,25486
l_209,34625
l_210,18012
l_211,28195
l_212,25486
l_213,28195
l_214,8296
l_215,17823
l_216,16700
l_217,18012
l_218,18012
l_219,12793
l_220,24996
l_221,8869
l_222,15177
l_223,16734
l_224,15481
l_225,27324
l_226,27324
l_227,27324
l_228,12562
l_229,12512
l_230,4318
l_231,43962
l_232,12615
l_233,25748
l_234,25748
l_235,15481
l_236,15481
l_237,25486
l_238,25486
l_239,15481
l_240,23197
l_241,9354
l_242,9354
l_243,34625
l_244,12615
l_245,10821
l_246,28822
l_247,9523
l_248,15481
l_249,10658
l_250,19825
l_251,19825
l_252,18554
l_253,25748
l_254,16734
l_255,16734
l_256,8296
l_257,28822
l_258,43962
l_259,43962
l_260,18554
l_261,25748
l_262,16734
l_263,12000
l_264,25748
l_265,17823
l_266,27324
l_267,27324
l_268,8296
l_269,17823
l_270,30484
l_271,34625
l_272,15177
l_273,25486
l_274,27324
l_275,19825
l_276,15177
l_277,28195
l_278,28822
l_279,28822
l_280,34625
l_281,43962
l_282,18012
l_283,25694
l_284,17823
l_285,17823
l_286,17823
l_287,12562
l_288,12562
l_289,12562
l_290,9523
l_291,12000
l_292,43962
l_293,18012
l_294,10821
l_295,24996
l_296,14414
l_297,43962
l_298,19825
l_299,8296
l_300,18012
l_301,18012
l_302,10658
l_303,14414
l_304,43962
l_305,15481
l_306,15481
l_307,16293
l_308,8479
l_309,8479
l_310,12815
l_311,4318
l_312,21939
l_313,10821
l_314,9523
l_315,12512
l_316,16204
l_317,16204
l_318,11780
l_319,16204
l_320,16204
l_321,16204
l_322,15481
l_323,15481
l_324,28195
l_325,15481
l_326,18554
l_327,18554
l_328,25748
l_329,25748
l_330,27324
l_331,18554
l_332,8479
l_333,8479
l_334,9354
l_335,18012
l_336,18012
l_337,7783
l_338,15481
l_339,18554
l_340,15177
l_341,25486
l_342,25486
l_343,11780
l_344,16734
l_345,16734
l_346,43962
l_347,18012
l_348,18012
l_349,12562
l_350,12562
l_351,12562
l_352,8479
l_353,8479
l_354,18554
l_355,18554
l_356,7124
l_357,8479
l_358,8479
l_359,8479
l_360,28195
l_361,21939
l_362,28195
l_363,4804
l_364,21939
l_365,24996
l_366,24996
l_367,30388
l_368,16293
l_369,16293
l_370,16293
l_371,25748
l_372,15906
l_373,24996
l_374,9627
l_375,12562
l_376,20157
l_377,9627
l_378,20157
l_379,17823
l_380,15906
l_381,15481
l_382,4804
l_383,27324
l_384,12793
l_385,15906
l_386,15906
l_387,4863
l_388,4863
l_389,25748
l_390,18554
l_391,3000
l_392,1564
l_393,18554
l_394,16700
l_395,12259
l_396,14414
l_397,18554
l_398,14414
l_399,3000
l_400,4318
l_401,4804
l_402,18554
l_403,12000
l_404,38827
l_405,12793
l_406,12562
l_407,12562
l_408,12562
l_409,28195
l_410,3000
l_411,12562
l_412,25694
l_413,24996
l_414,7783
l_415,16293
l_416,16700
l_417,16293
l_418,16293
l_419,16700
l_420,14414
l_421,14414
l_422,4804
l_423,24996
l_424,25748
l_425,17823
l_426,9627
l_427,9369
l_428,25748
l_429,15906
l_430,15906
l_431,15906
l_432,12562
l_433,25748
l_434,27324
l_435,9369
l_436,17823
l_437,17823
l_438,15906
l_439,27324
l_440,43962
l_441,9627
l_442,9627
l_443,25694
l_444,9627
l_445,12000
l_446,43962
l_447,19825
l_448,19825
l_449,14414
l_450,15906
l_451,15906
l_452,15906
l_453,15906
l_454,13785
l_455,10658
l_456,10658
l_457,12562
l_458,25486
l_459,18554
l_460,7783
