day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,El Farol,No-Charge,0.7347560975609756,0.6619350661256539,0.6619350661256539,0.9390981948522202,0.20302669694887027,1409,788,927,0
2,El Farol,No-Charge,0.3353658536585366,0.2884413533169804,0.2884413533169804,0.3386440594307344,0.08922913473260732,847,536,529,0
3,El Farol,No-Charge,0.9232723577235772,0.79666882557565,0.79666882557565,1.3000980065485113,0.28002737254327653,1671,910,1119,0
4,El Farol,No-Charge,0.16565040650406504,0.19348488049938123,0.19348488049938123,0.24582497177409365,0.06164118949498374,590,429,365,0
5,El Farol,No-Charge,0.9263211382113821,0.6609757297071164,0.6609757297071164,1.347330580057846,0.22944481236130182,1680,923,1116,0
6,El Farol,No-Charge,0.20630081300813008,0.21266943018608195,0.21266943018608195,0.2711310802193642,0.06031144201593367,657,450,402,0
7,El Farol,No-Charge,0.9283536585365854,0.6883129755449452,0.6883129755449452,1.1627464892607713,0.2274542633802248,1678,906,1108,0
8,El Farol,No-Charge,0.18241869918699186,0.19410219382783261,0.19410219382783261,0.20314954455351653,0.06938501807978074,626,446,385,0
9,El Farol,No-Charge,0.9171747967479674,0.7932350443821676,0.7932350443821676,1.1707734889435668,0.24397040563643374,1655,908,1117,0
10,El Farol,No-Charge,0.16565040650406504,0.17644225150760975,0.17644225150760975,0.31924048120978044,0.08646808364465101,613,427,371,0
11,El Farol,No-Charge,0.9253048780487805,0.6287207102960445,0.6287207102960445,1.1515491901264658,0.2514069366179664,1682,905,1111,0
12,El Farol,No-Charge,0.43851626016260165,0.38408246695570347,0.38408246695570347,0.571026293941657,0.1464564575381051,1017,609,640,0
13,El Farol,No-Charge,0.9334349593495935,0.7026096119955159,0.7026096119955159,1.252646260358517,0.24515937756393946,1683,909,1126,0
14,El Farol,No-Charge,0.20020325203252032,0.20568703172673178,0.20568703172673178,0.2465132139020352,0.07165657337074449,642,448,404,0
15,El Farol,No-Charge,0.9258130081300813,0.7209707564196701,0.7209707564196701,1.2713036848799926,0.2871470892641778,1669,903,1111,0
16,El Farol,No-Charge,0.19613821138211382,0.1890446058283078,0.1890446058283078,0.2567144921866776,0.0787763644269056,636,444,399,0
17,El Farol,No-Charge,0.9247967479674797,0.667522357060488,0.667522357060488,1.2519492780473438,0.2570661728135436,1678,905,1120,0
18,El Farol,No-Charge,0.258130081300813,0.23279678969809114,0.23279678969809114,0.24770237568769046,0.08453325871676795,723,483,450,0
19,El Farol,No-Charge,0.9329268292682927,0.6639070480818746,0.6639070480818746,1.1026039808662753,0.22467688332880847,1698,920,1128,0
20,El Farol,No-Charge,0.27235772357723576,0.2430506787865796,0.2430506787865796,0.31357729934992573,0.09389360646041103,736,483,468,0
