day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee,model_version
1,El Farol,No-Charge,0.74,0.15272764240012743,0.15272764240012743,0.31118906510706523,0.08928491865724977,1700,1222,1213,0,v3-2026-07-30-trip-suppression-fix
2,El Farol,No-Charge,0.9273333333333333,0.3026489547811428,0.3026489547811428,0.2962446223070037,0.09332445314257601,1749,1263,1278,0,v3-2026-07-30-trip-suppression-fix
3,El Farol,No-Charge,0.9293333333333333,0.2605136448335307,0.2605136448335307,0.37847532633431985,0.08778258035177844,1649,1237,1244,0,v3-2026-07-30-trip-suppression-fix
4,El Farol,No-Charge,0.9353333333333333,0.3827372684022598,0.3827372684022598,0.27902696764691043,0.15249920093876176,1683,1214,1397,0,v3-2026-07-30-trip-suppression-fix
5,El Farol,No-Charge,0.9293333333333333,0.26684894415282434,0.26684894415282434,0.2531246627605956,0.11522195302243582,1360,1190,1404,0,v3-2026-07-30-trip-suppression-fix
6,El Farol,No-Charge,0.9286666666666666,0.19565279885494702,0.19565279885494702,0.3788148269269905,0.13890678857681218,1480,1238,1429,0,v3-2026-07-30-trip-suppression-fix
7,El Farol,No-Charge,0.932,0.16209672867322522,0.16209672867322522,0.35442930265153644,0.11072140254388392,1540,1134,1386,0,v3-2026-07-30-trip-suppression-fix
8,El Farol,No-Charge,0.934,0.22655037306602463,0.22655037306602463,0.43169919276284563,0.09826903450116678,1420,1144,1385,0,v3-2026-07-30-trip-suppression-fix
9,El Farol,No-Charge,0.934,0.29598731929846744,0.29598731929846744,0.4538118620594871,0.12100295768627072,1688,1092,1479,0,v3-2026-07-30-trip-suppression-fix
10,El Farol,No-Charge,0.9373333333333334,0.25003985212863017,0.25003985212863017,0.49432382724289686,0.1641450630833856,1463,842,1194,0,v3-2026-07-30-trip-suppression-fix
11,El Farol,No-Charge,0.9126666666666666,0.26140676051309836,0.26140676051309836,0.49552294928386076,0.10237689427326183,1384,791,1389,0,v3-2026-07-30-trip-suppression-fix
12,El Farol,No-Charge,0.93,0.19099659278746625,0.19099659278746625,0.4337611339538056,0.1137653691878959,1393,824,1323,0,v3-2026-07-30-trip-suppression-fix
13,El Farol,No-Charge,0.9266666666666666,0.3239165409062722,0.3239165409062722,0.3874322956453146,0.11693378095295331,1658,1137,1418,0,v3-2026-07-30-trip-suppression-fix
14,El Farol,No-Charge,0.928,0.30047323785019764,0.30047323785019764,0.37975203652808964,0.13280051582025867,1671,1011,1469,0,v3-2026-07-30-trip-suppression-fix
