day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,El Farol,tou,0.578,0.11687938425359243,0.11687938425359243,0.494742953858626,0.09832644902254226,1622,1158,1076,1.624
2,El Farol,tou,0.9166666666666666,0.16276710730724306,0.16276710730724306,0.7996160423687316,0.12034917807129869,1765,1208,1203,2.624
3,El Farol,tou,0.9386666666666666,0.1810421005126604,0.1810421005126604,0.8047648463621918,0.1570559691495,1778,1217,1223,2.6968
4,El Farol,tou,0.9153333333333333,0.1793703142601234,0.1793703142601234,0.7906892383804437,0.10384529194762768,1784,1220,1213,2.6416
5,El Farol,tou,0.9246666666666666,0.16374189968435096,0.16374189968435096,0.8661789717001105,0.12201646020205557,1774,1221,1211,2.6128
6,El Farol,tou,0.9386666666666666,0.16765041534693545,0.16765041534693545,0.8515214073120945,0.13830082022218404,1785,1218,1215,2.728
7,El Farol,tou,0.9213333333333333,0.15049880136278176,0.15049880136278176,0.8901107094308902,0.1236619299918313,1771,1215,1206,2.6624
8,El Farol,tou,0.9306666666666666,0.1739997340271689,0.1739997340271689,0.7216864109998353,0.1354366001434003,1784,1216,1224,2.62
9,El Farol,tou,0.9226666666666666,0.1433310825145338,0.1433310825145338,0.8200016870884395,0.13677654984059634,1775,1214,1212,2.6544
10,El Farol,tou,0.924,0.1765865243493674,0.1765865243493674,0.7791303936723538,0.1279995717361518,1771,1213,1204,2.628
11,El Farol,tou,0.9153333333333333,0.14986184438700206,0.14986184438700206,0.7939970068313189,0.11425573781092406,1772,1215,1201,2.6376
12,El Farol,tou,0.92,0.17931638056418703,0.17931638056418703,0.7181639517251107,0.1039637068424735,1769,1220,1209,2.652
13,El Farol,tou,0.9266666666666666,0.1764873873856267,0.1764873873856267,0.8805564464003943,0.14244632528204085,1781,1220,1212,2.7248
14,El Farol,tou,0.9293333333333333,0.16613478511865346,0.16613478511865346,0.7566967365790614,0.12457434336279273,1769,1215,1213,2.648
