day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Exp-Decay,No-Charge,0.5166666666666667,0.12758947537708756,0.12758947537708756,0.33064570803092486,0.06883192636832669,1249,910,845,0
2,Exp-Decay,No-Charge,0.54,0.11488469000627051,0.11488469000627051,0.3667612180449964,0.07517473002801155,1275,922,867,0
3,Exp-Decay,No-Charge,0.5213333333333333,0.11730181667928281,0.11730181667928281,0.36206093630309355,0.07600981174957916,1298,944,874,0
4,Exp-Decay,No-Charge,0.49466666666666664,0.10051156986463398,0.10051156986463398,0.46036439113071576,0.07473236970081104,1256,893,826,0
5,Exp-Decay,No-Charge,0.512,0.10903699186543056,0.10903699186543056,0.44484049503663947,0.08480659066531832,1255,894,845,0
6,Exp-Decay,No-Charge,0.52,0.1222052144158057,0.1222052144158057,0.3050550342383742,0.06978064234107163,1282,914,859,0
7,Exp-Decay,No-Charge,0.5273333333333333,0.1243912684567755,0.1243912684567755,0.353800168217534,0.07856821057130829,1285,921,840,0
8,Exp-Decay,No-Charge,0.5326666666666666,0.11315197748386527,0.11315197748386527,0.3746858804778869,0.07695846104261171,1279,904,853,0
9,Exp-Decay,No-Charge,0.5306666666666666,0.1341070161231816,0.1341070161231816,0.36485135869214796,0.08581779065961727,1274,918,846,0
10,Exp-Decay,No-Charge,0.5126666666666667,0.12908212330435348,0.12908212330435348,0.32729724268812094,0.07497309676617138,1257,923,822,0
11,Exp-Decay,No-Charge,0.5326666666666666,0.147632114928032,0.147632114928032,0.3898251657160209,0.07768425929235663,1283,929,849,0
12,Exp-Decay,No-Charge,0.5226666666666666,0.09512914559996284,0.09512914559996284,0.34734994135230995,0.06743770063167959,1247,901,837,0
13,Exp-Decay,No-Charge,0.5213333333333333,0.14312117885607442,0.14312117885607442,0.3177276226354864,0.0689908376871572,1250,890,833,0
14,Exp-Decay,No-Charge,0.5226666666666666,0.12478636189357539,0.12478636189357539,0.27486781041319963,0.07288915682717567,1264,906,833,0
