day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Exp-Decay,flat,0.4496951219512195,0.38637971511747593,0.38637971511747593,0.5055387629103919,0.11882563388569405,994,611,629,0.708
2,Exp-Decay,flat,0.4507113821138211,0.3650439449572799,0.3650439449572799,0.5738864520531238,0.14072182275795156,982,581,621,0.7096
3,Exp-Decay,flat,0.4679878048780488,0.43082648705061805,0.43082648705061805,0.5761759695395061,0.13514498272755207,1026,623,689,0.7368
4,Exp-Decay,flat,0.43851626016260165,0.3787882027506393,0.3787882027506393,0.5390289045275848,0.12135315470594324,984,609,645,0.6904
5,Exp-Decay,flat,0.491869918699187,0.43721852868182254,0.43721852868182254,0.5803533760597736,0.1287216791666027,1068,630,712,0.7744
6,Exp-Decay,flat,0.4766260162601626,0.40406642876861704,0.40406642876861704,0.4813901246059443,0.13620021328362047,1040,609,682,0.7504
7,Exp-Decay,flat,0.4649390243902439,0.34421376665508796,0.34421376665508796,0.4762405534953149,0.11071625911022702,1027,607,643,0.732
8,Exp-Decay,flat,0.4608739837398374,0.36008644120984906,0.36008644120984906,0.5707713516922436,0.11939189961101268,1020,608,663,0.7256
9,Exp-Decay,flat,0.45172764227642276,0.32892772165689904,0.32892772165689904,0.5940014367618779,0.14243813618064768,992,587,641,0.7112
10,Exp-Decay,flat,0.46747967479674796,0.372360398018245,0.372360398018245,0.5790552888009812,0.13516399306520133,1024,617,682,0.736
11,Exp-Decay,flat,0.44664634146341464,0.4427664164425894,0.4427664164425894,0.470523497535355,0.1168735292439212,995,606,652,0.7032
12,Exp-Decay,flat,0.43953252032520324,0.360919018278026,0.360919018278026,0.600170488037796,0.12534657632442428,993,598,640,0.692
13,Exp-Decay,flat,0.4613821138211382,0.47736386976412204,0.47736386976412204,0.602832454331612,0.13945447593148808,1018,623,653,0.7264
14,Exp-Decay,flat,0.4496951219512195,0.3658644367842861,0.3658644367842861,0.5658097510904956,0.13175846359359,986,604,660,0.708
15,Exp-Decay,flat,0.453760162601626,0.40521603822665825,0.40521603822665825,0.5244623826313595,0.10355400410093502,1024,607,663,0.7144
16,Exp-Decay,flat,0.4578252032520325,0.3387802653473689,0.3387802653473689,0.591937394594768,0.137417954594396,1014,610,675,0.7208
17,Exp-Decay,flat,0.46646341463414637,0.4294671540484633,0.4294671540484633,0.5695793570314308,0.14227086718101042,1021,612,640,0.7344
18,Exp-Decay,flat,0.46290650406504064,0.44404151675785686,0.44404151675785686,0.42793144249369836,0.11307460411368692,1031,598,648,0.7288
19,Exp-Decay,flat,0.4573170731707317,0.45741760157971145,0.45741760157971145,0.5352121522340069,0.11821708814418908,986,591,661,0.72
20,Exp-Decay,flat,0.44715447154471544,0.40738071511761753,0.40738071511761753,0.5081154727645808,0.12597642663378314,979,599,639,0.704
