day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee,model_version
1,Exp-Decay,tou,0.3993333333333333,0.09250245898636712,0.09250245898636712,0.25254530100518924,0.06773993291131596,1566,1169,1061,1.1296,v3-2026-07-30-trip-suppression-fix
2,Exp-Decay,tou,0.4086666666666667,0.16509550332791725,0.16509550332791725,0.239045734385799,0.06428923738048645,1457,1177,1143,1.1552,v3-2026-07-30-trip-suppression-fix
3,Exp-Decay,tou,0.3873333333333333,0.17358874744251146,0.17358874744251146,0.1730702557709177,0.06687231267682812,1519,1214,1147,1.0776,v3-2026-07-30-trip-suppression-fix
4,Exp-Decay,tou,0.398,0.11924293268801547,0.11924293268801547,0.24937970092051148,0.06599413638697652,1497,1195,1060,1.1272,v3-2026-07-30-trip-suppression-fix
5,Exp-Decay,tou,0.396,0.16528148004175644,0.16528148004175644,0.3708298223565628,0.09148318664610369,1536,1171,1208,1.1224,v3-2026-07-30-trip-suppression-fix
6,Exp-Decay,tou,0.41333333333333333,0.16410841025278047,0.16410841025278047,0.352896031831538,0.07501534791710127,1658,1233,1166,1.1696,v3-2026-07-30-trip-suppression-fix
7,Exp-Decay,tou,0.40066666666666667,0.13741315796832468,0.13741315796832468,0.3492534370146592,0.083538403356724,1626,1168,1161,1.1384,v3-2026-07-30-trip-suppression-fix
8,Exp-Decay,tou,0.4266666666666667,0.1236202885955354,0.1236202885955354,0.21789796561638017,0.08694393894687522,1655,1279,1130,1.192,v3-2026-07-30-trip-suppression-fix
9,Exp-Decay,tou,0.39,0.13302617686518659,0.13302617686518659,0.28043785928040615,0.08545714669375579,1677,1324,1148,1.1056,v3-2026-07-30-trip-suppression-fix
10,Exp-Decay,tou,0.4013333333333333,0.133499478425593,0.133499478425593,0.40214560332225907,0.08351305834738362,1536,1128,1226,1.1552,v3-2026-07-30-trip-suppression-fix
11,Exp-Decay,tou,0.38066666666666665,0.2114721410369472,0.2114721410369472,0.48764252219876053,0.12082479127774222,1632,1279,1295,1.0576,v3-2026-07-30-trip-suppression-fix
12,Exp-Decay,tou,0.4086666666666667,0.12286697277211014,0.12286697277211014,0.18189550062312346,0.09871987679188066,1454,1190,1169,1.1376,v3-2026-07-30-trip-suppression-fix
13,Exp-Decay,tou,0.4026666666666667,0.15486613274877342,0.15486613274877342,0.2017160399659889,0.0996486585372853,1550,1326,1140,1.1304,v3-2026-07-30-trip-suppression-fix
14,Exp-Decay,tou,0.39666666666666667,0.16122080901725677,0.16122080901725677,0.1983449986096696,0.07223495258598578,1544,1259,1159,1.1152,v3-2026-07-30-trip-suppression-fix
