day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Q-Learning,No-Charge,0.47865853658536583,0.4282423243914897,0.4282423243914897,0.6127525487748944,0.1172095536884944,1040,629,689,0
2,Q-Learning,No-Charge,0.5071138211382114,0.4418843376009548,0.4418843376009548,0.5772400641058082,0.13233771806293038,1098,636,697,0
3,Q-Learning,No-Charge,0.49898373983739835,0.3981447297177888,0.3981447297177888,0.6256226407201965,0.1314165249451362,1087,625,708,0
4,Q-Learning,No-Charge,0.4644308943089431,0.38886937710615654,0.38886937710615654,0.5810031019522323,0.13088818962983076,1033,617,662,0
5,Q-Learning,No-Charge,0.4654471544715447,0.38987363644664086,0.38987363644664086,0.6028540163717323,0.13577590502130346,1032,622,654,0
6,Q-Learning,No-Charge,0.47002032520325204,0.42230591300981013,0.42230591300981013,0.6086334268211211,0.13160125541192383,1047,600,647,0
7,Q-Learning,No-Charge,0.44613821138211385,0.4146199423579393,0.4146199423579393,0.7117589921835293,0.12205198928055487,1020,602,656,0
8,Q-Learning,No-Charge,0.46747967479674796,0.487423886735863,0.487423886735863,0.4922131096368963,0.12061877644479067,1045,616,654,0
9,Q-Learning,No-Charge,0.4369918699186992,0.35850533835208237,0.35850533835208237,0.5266269432337373,0.1274833707263242,987,595,632,0
10,Q-Learning,No-Charge,0.41565040650406504,0.4115755726540571,0.4115755726540571,0.5807103833507461,0.13408325306071875,965,580,630,0
11,Q-Learning,No-Charge,0.43851626016260165,0.4354635493869676,0.4354635493869676,0.570182603185435,0.11825962386136878,982,591,651,0
12,Q-Learning,No-Charge,0.43089430894308944,0.4218397585848871,0.4218397585848871,0.585704572237998,0.13408242401697965,977,595,627,0
13,Q-Learning,No-Charge,0.4496951219512195,0.3710894473965304,0.3710894473965304,0.5161892909327697,0.12021862046455833,1000,598,624,0
14,Q-Learning,No-Charge,0.4375,0.40040857193901014,0.40040857193901014,0.5569486959268376,0.11279033566312184,982,593,622,0
15,Q-Learning,No-Charge,0.4141260162601626,0.47029214357599525,0.47029214357599525,0.44366611208308526,0.11502969179460545,941,584,612,0
16,Q-Learning,No-Charge,0.41260162601626016,0.34469616853611645,0.34469616853611645,0.5463679483859641,0.14803035404177156,944,558,592,0
17,Q-Learning,No-Charge,0.42835365853658536,0.4391201878908125,0.4391201878908125,0.4937417385961002,0.11416485291160137,968,599,617,0
18,Q-Learning,No-Charge,0.42835365853658536,0.3537558958985547,0.3537558958985547,0.5753762906490293,0.11865640524659865,973,578,601,0
19,Q-Learning,No-Charge,0.4146341463414634,0.3193848853430746,0.3193848853430746,0.4161995259461213,0.1038086799382164,944,568,615,0
20,Q-Learning,No-Charge,0.4070121951219512,0.3377248787016665,0.3377248787016665,0.5430829037067477,0.12576325439209096,961,574,609,0
