day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee,model_version
1,Q-Learning,No-Charge,0.506,0.14495720756741987,0.14495720756741987,0.3061494493882641,0.06898047748933193,1608,1180,1106,0,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,0.49733333333333335,0.11782816100713597,0.11782816100713597,0.38752325830383927,0.06903301198087809,1522,1192,1105,0,v3-2026-07-30-trip-suppression-fix
3,Q-Learning,No-Charge,0.4866666666666667,0.17841122002140902,0.17841122002140902,0.3309509094627885,0.11048593528017678,1685,1438,1231,0,v3-2026-07-30-trip-suppression-fix
4,Q-Learning,No-Charge,0.5386666666666666,0.12345669026423074,0.12345669026423074,0.15162645761604535,0.09741973111579322,1791,1420,1305,0,v3-2026-07-30-trip-suppression-fix
5,Q-Learning,No-Charge,0.52,0.16161999626430137,0.16161999626430137,0.2936345161058678,0.14162538438791175,1619,1458,1271,0,v3-2026-07-30-trip-suppression-fix
6,Q-Learning,No-Charge,0.5246666666666666,0.1321358303048091,0.1321358303048091,0.3530629594417119,0.1262322440101739,1557,1352,1290,0,v3-2026-07-30-trip-suppression-fix
7,Q-Learning,No-Charge,0.524,0.1737495503193644,0.1737495503193644,0.25576547619767553,0.13925574293801474,1585,1503,1225,0,v3-2026-07-30-trip-suppression-fix
8,Q-Learning,No-Charge,0.544,0.12668405717755188,0.12668405717755188,0.34046759906887697,0.11919629491101111,1689,1494,1225,0,v3-2026-07-30-trip-suppression-fix
9,Q-Learning,No-Charge,0.5546666666666666,0.15612942966747198,0.15612942966747198,0.3620228737892623,0.16385349863977294,1729,1350,1187,0,v3-2026-07-30-trip-suppression-fix
10,Q-Learning,No-Charge,0.5153333333333333,0.1682523593734539,0.1682523593734539,0.1582850357869357,0.12521823461655324,1755,1431,1149,0,v3-2026-07-30-trip-suppression-fix
11,Q-Learning,No-Charge,0.5393333333333333,0.13452072352263342,0.13452072352263342,0.5408884418168296,0.09784319543773212,1733,1439,1139,0,v3-2026-07-30-trip-suppression-fix
12,Q-Learning,No-Charge,0.558,0.16558921255807116,0.16558921255807116,0.27167215310078824,0.09612791379905469,1633,1373,1226,0,v3-2026-07-30-trip-suppression-fix
13,Q-Learning,No-Charge,0.538,0.11099446006213239,0.11099446006213239,0.20366730795910604,0.11894216242794914,1678,1359,1176,0,v3-2026-07-30-trip-suppression-fix
14,Q-Learning,No-Charge,0.5713333333333334,0.16605817555437846,0.16605817555437846,0.27779614397829766,0.16525183095678267,1704,1316,1362,0,v3-2026-07-30-trip-suppression-fix
