day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Q-Learning,No-Charge,0.7546666666666667,0.11926086301243963,0.11926086301243963,0.47341938734696243,0.08779518528315922,1544,1079,1054,0
2,Q-Learning,No-Charge,0.7446666666666667,0.10993087047889494,0.10993087047889494,0.5345801687821734,0.07181247049461871,1528,1070,1033,0
3,Q-Learning,No-Charge,0.75,0.12029166166310375,0.12029166166310375,0.6327628521304012,0.08407055070821716,1541,1060,1051,0
4,Q-Learning,No-Charge,0.7306666666666667,0.1200174836896424,0.1200174836896424,0.4960338217690227,0.08334686449309878,1511,1039,1022,0
5,Q-Learning,No-Charge,0.7126666666666667,0.13024957716417535,0.13024957716417535,0.4793719712196284,0.08050732211181984,1492,1036,1009,0
6,Q-Learning,No-Charge,0.686,0.15735211760202653,0.15735211760202653,0.39966792290137554,0.08657319830289185,1454,1021,987,0
7,Q-Learning,No-Charge,0.684,0.13125334142944012,0.13125334142944012,0.35994285183461094,0.07023860622817076,1466,1029,997,0
8,Q-Learning,No-Charge,0.6873333333333334,0.11509848697717481,0.11509848697717481,0.4091770203405672,0.07105797717101658,1452,1019,1000,0
9,Q-Learning,No-Charge,0.6786666666666666,0.12710045603426315,0.12710045603426315,0.6128548024261842,0.0865383938490343,1451,1008,979,0
10,Q-Learning,No-Charge,0.6633333333333333,0.14804832297013423,0.14804832297013423,0.4137640738811388,0.07475336886650555,1427,1000,953,0
11,Q-Learning,No-Charge,0.6826666666666666,0.1308529309609073,0.1308529309609073,0.49107089904158835,0.09223862718751909,1456,1027,995,0
12,Q-Learning,No-Charge,0.65,0.13562533671785562,0.13562533671785562,0.4012330137124135,0.09012165743486146,1410,987,957,0
13,Q-Learning,No-Charge,0.6706666666666666,0.13383447207663585,0.13383447207663585,0.4390578226257092,0.09975090026645864,1449,1010,982,0
14,Q-Learning,No-Charge,0.656,0.10108147617022141,0.10108147617022141,0.40394454102104305,0.07348506433249374,1407,1005,962,0
