day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee,model_version
1,Q-Learning,No-Charge,0.748,0.14530947421151547,0.14530947421151547,0.20010975745759668,0.06918869208292161,1713,1215,1197,0,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,0.746,0.21863822129097904,0.21863822129097904,0.15703431386226474,0.08251868421117675,1584,1229,1265,0,v3-2026-07-30-trip-suppression-fix
3,Q-Learning,No-Charge,0.7173333333333334,0.16999445732503635,0.16999445732503635,0.3071041530605406,0.08105976740526083,1527,1179,1268,0,v3-2026-07-30-trip-suppression-fix
4,Q-Learning,No-Charge,0.7326666666666667,0.19700593547453593,0.19700593547453593,0.4723039414884767,0.08480536040977765,1723,1348,1203,0,v3-2026-07-30-trip-suppression-fix
5,Q-Learning,No-Charge,0.69,0.2221685390294023,0.2221685390294023,0.25499909865791787,0.07985684911045292,1628,1394,1279,0,v3-2026-07-30-trip-suppression-fix
6,Q-Learning,No-Charge,0.6946666666666667,0.15962953791681694,0.15962953791681694,0.2589231643831067,0.07162772153596747,1751,1339,1271,0,v3-2026-07-30-trip-suppression-fix
7,Q-Learning,No-Charge,0.7146666666666667,0.21397775453299003,0.21397775453299003,0.29788164086538793,0.08381228545963998,1598,1201,1160,0,v3-2026-07-30-trip-suppression-fix
8,Q-Learning,No-Charge,0.708,0.197048664865279,0.197048664865279,0.17502317974760595,0.10059646404187536,1689,1284,1257,0,v3-2026-07-30-trip-suppression-fix
9,Q-Learning,No-Charge,0.67,0.2084804710779773,0.2084804710779773,0.17577571661295052,0.07145312224585687,1294,822,1123,0,v3-2026-07-30-trip-suppression-fix
10,Q-Learning,No-Charge,0.6613333333333333,0.14955379902882773,0.14955379902882773,0.2635543997654936,0.08934867784524339,1405,900,1208,0,v3-2026-07-30-trip-suppression-fix
11,Q-Learning,No-Charge,0.6533333333333333,0.12684629919923524,0.12684629919923524,0.21954260094954886,0.08158555958062301,1383,816,1085,0,v3-2026-07-30-trip-suppression-fix
12,Q-Learning,No-Charge,0.6746666666666666,0.1753054745134573,0.1753054745134573,0.25993119907049583,0.08760944403180954,1479,837,1169,0,v3-2026-07-30-trip-suppression-fix
13,Q-Learning,No-Charge,0.6733333333333333,0.1683454321912527,0.1683454321912527,0.19250692626836147,0.09400320831482822,1243,539,1228,0,v3-2026-07-30-trip-suppression-fix
14,Q-Learning,No-Charge,0.654,0.25256301217675675,0.25256301217675675,0.2725140893511873,0.09656671369376338,1369,749,1209,0,v3-2026-07-30-trip-suppression-fix
