day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Q-Learning,tou,0.5046666666666667,0.1364803500735746,0.1364803500735746,0.4065929454832226,0.0723682348542276,1253,880,816,1.4304
2,Q-Learning,tou,0.49733333333333335,0.10991445433346443,0.10991445433346443,0.33320560186075676,0.07162411573876455,1248,897,805,1.4256
3,Q-Learning,tou,0.4646666666666667,0.13281701490645972,0.13281701490645972,0.3272931618708011,0.06826775567995896,1210,868,798,1.3336
4,Q-Learning,tou,0.4026666666666667,0.09790168715244829,0.09790168715244829,0.2553124909297474,0.06589303783988176,1127,830,747,1.1472
5,Q-Learning,tou,0.38133333333333336,0.09272758472587417,0.09272758472587417,0.21897881658945265,0.05186322307086428,1108,807,740,1.0528
6,Q-Learning,tou,0.372,0.1258968335759561,0.1258968335759561,0.24215938613779098,0.07028247160328459,1100,796,721,1.052
7,Q-Learning,tou,0.322,0.08516272939609112,0.08516272939609112,0.21632247201004295,0.05236255619451159,1042,777,676,0.892
8,Q-Learning,tou,0.29533333333333334,0.09866050956991143,0.09866050956991143,0.23595948094715394,0.05260856785655954,1028,766,664,0.8336
9,Q-Learning,tou,0.284,0.08372510218854946,0.08372510218854946,0.2610291480517331,0.05957438925378224,985,749,653,0.792
10,Q-Learning,tou,0.272,0.0679436599975184,0.0679436599975184,0.16669806707274273,0.04611067203842429,978,756,644,0.7632
11,Q-Learning,tou,0.2753333333333333,0.07817436099603617,0.07817436099603617,0.2425830341311776,0.0512425477556929,991,743,637,0.784
12,Q-Learning,tou,0.25266666666666665,0.05962515994587057,0.05962515994587057,0.16694579374363347,0.04921353065137439,956,736,632,0.704
13,Q-Learning,tou,0.242,0.06370941850804149,0.06370941850804149,0.17739456899942685,0.04556069000715343,956,717,606,0.6736
14,Q-Learning,tou,0.242,0.0726352020723245,0.0726352020723245,0.2213374340249918,0.049534518531421545,957,723,596,0.6648
