day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,Q-Learning,tou,0.7446666666666667,0.1461540485601804,0.1461540485601804,0.2219646169101495,0.07394978456720264,1511,1107,1103,2.0816
2,Q-Learning,tou,0.7593333333333333,0.13020355557659646,0.13020355557659646,0.19679882727472348,0.081291262760107,1460,978,917,2.0904
3,Q-Learning,tou,0.7293333333333333,0.13211184345847005,0.13211184345847005,0.20890069375219944,0.07696584088678754,1406,1116,950,2.0552
4,Q-Learning,tou,0.7066666666666667,0.20816698679480866,0.20816698679480866,0.2303818873223275,0.06564491635325807,1512,1236,1026,1.9592
5,Q-Learning,tou,0.6473333333333333,0.1391524723677332,0.1391524723677332,0.19526425225460275,0.06924160222048904,1508,1268,963,1.7688
6,Q-Learning,tou,0.6453333333333333,0.19109879468626195,0.19109879468626195,0.2737541785891316,0.06742888215228877,1452,1054,1053,1.7728
7,Q-Learning,tou,0.6093333333333333,0.18295665505244482,0.18295665505244482,0.11385113213402726,0.08198882964790671,1117,1138,894,1.6776
8,Q-Learning,tou,0.5853333333333334,0.09774295483009417,0.09774295483009417,0.20719926966124227,0.055840996305296375,1351,1158,999,1.6256
9,Q-Learning,tou,0.5526666666666666,0.11793277741426442,0.11793277741426442,0.24518041674312882,0.05497398759169992,1411,1241,1033,1.488
10,Q-Learning,tou,0.554,0.12812587404831186,0.12812587404831186,0.18363097338689274,0.06632027834934763,1343,1133,956,1.5248
11,Q-Learning,tou,0.538,0.150549099274459,0.150549099274459,0.24886263637156197,0.06498998228376006,1380,1093,920,1.4576
12,Q-Learning,tou,0.5193333333333333,0.11016794098882221,0.11016794098882221,0.23996561796904345,0.062325378536453487,1361,1112,902,1.4192
13,Q-Learning,tou,0.47533333333333333,0.1263556690070224,0.1263556690070224,0.23018238172103833,0.04855399560692269,1153,1107,880,1.2984
14,Q-Learning,tou,0.4826666666666667,0.1253869773216035,0.1253869773216035,0.15897144879171216,0.0920669483990095,1151,1049,1174,1.2944
