day,rule,regime,hour,vc_inner
1,El Farol,No-Charge,0,0.02898048421583179
1,El Farol,No-Charge,1,0.03140219283244127
1,El Farol,No-Charge,2,0.04934255095229212
1,El Farol,No-Charge,3,0.022838236662540676
1,El Farol,No-Charge,4,0.028672573451583118
1,El Farol,No-Charge,5,0.01492567556574898
1,El Farol,No-Charge,6,0.06641109357374397
1,El Farol,No-Charge,7,0.17620666079840885
1,El Farol,No-Charge,8,0.324294506952187
1,El Farol,No-Charge,9,0.5145867512810681
1,El Farol,No-Charge,10,0.33996796345701197
1,El Farol,No-Charge,11,0.2238778329873422
1,El Farol,No-Charge,12,0.14337178908114215
1,El Farol,No-Charge,13,0.1319953258346791
1,El Farol,No-Charge,14,0.13189207921784102
1,El Farol,No-Charge,15,0.16745222344749758
1,El Farol,No-Charge,16,0.21857247340476216
1,El Farol,No-Charge,17,0.2829881689286097
1,El Farol,No-Charge,18,0.24610726776743333
1,El Farol,No-Charge,19,0.15448469080088476
1,El Farol,No-Charge,20,0.09458168573083212
1,El Farol,No-Charge,21,0.056466036288737635
1,El Farol,No-Charge,22,0.037869130313239574
1,El Farol,No-Charge,23,0.027806523595396863
2,El Farol,No-Charge,0,0.007752005510562704
2,El Farol,No-Charge,1,0.004238326805896327
2,El Farol,No-Charge,2,0.009033430527171232
2,El Farol,No-Charge,3,0.012117425004703457
2,El Farol,No-Charge,4,0.021631521888308518
2,El Farol,No-Charge,5,0.010617270834829613
2,El Farol,No-Charge,6,0.04063705139663981
2,El Farol,No-Charge,7,0.07923144127713956
2,El Farol,No-Charge,8,0.17161583654652537
2,El Farol,No-Charge,9,0.1762650655817475
2,El Farol,No-Charge,10,0.16757576935142995
2,El Farol,No-Charge,11,0.07641706660723757
2,El Farol,No-Charge,12,0.06052025722494228
2,El Farol,No-Charge,13,0.052416705274501214
2,El Farol,No-Charge,14,0.059614432010870855
2,El Farol,No-Charge,15,0.05537922045792784
2,El Farol,No-Charge,16,0.08215559391743395
2,El Farol,No-Charge,17,0.1129993673608397
2,El Farol,No-Charge,18,0.08777510694173817
2,El Farol,No-Charge,19,0.05793102865657087
2,El Farol,No-Charge,20,0.03164669501588244
2,El Farol,No-Charge,21,0.026437364545348004
2,El Farol,No-Charge,22,0.012268321041053817
2,El Farol,No-Charge,23,0.010930170924908725
3,El Farol,No-Charge,0,0.06583305582538512
3,El Farol,No-Charge,1,0.024684096007343222
3,El Farol,No-Charge,2,0.019871167279212877
3,El Farol,No-Charge,3,0.05836581590777561
3,El Farol,No-Charge,4,0.02980209915707733
3,El Farol,No-Charge,5,0.016382684216137776
3,El Farol,No-Charge,6,0.08980027731590945
3,El Farol,No-Charge,7,0.22297454688762863
3,El Farol,No-Charge,8,0.4183536751912819
3,El Farol,No-Charge,9,0.6244235274562325
3,El Farol,No-Charge,10,0.6381859704564007
3,El Farol,No-Charge,11,0.43803365800945426
3,El Farol,No-Charge,12,0.2262569060423821
3,El Farol,No-Charge,13,0.1882036817442087
3,El Farol,No-Charge,14,0.20663489677407382
3,El Farol,No-Charge,15,0.25467720296776175
3,El Farol,No-Charge,16,0.24728056021409253
3,El Farol,No-Charge,17,0.3260400697295414
3,El Farol,No-Charge,18,0.3190499536898764
3,El Farol,No-Charge,19,0.23165833798218652
