day,rule,regime,hour,vc_inner
1,El Farol,tou,0,0.003919713371582742
1,El Farol,tou,1,0.0018862491944418183
1,El Farol,tou,2,0.0052594678460588205
1,El Farol,tou,3,0.00424705742559792
1,El Farol,tou,4,0.013731706384716675
1,El Farol,tou,5,0.0038343790927625253
1,El Farol,tou,6,0.01629243791011375
1,El Farol,tou,7,0.03558583696067592
1,El Farol,tou,8,0.06642109127254092
1,El Farol,tou,9,0.07972304426839132
1,El Farol,tou,10,0.04918379040108972
1,El Farol,tou,11,0.026009895075617444
1,El Farol,tou,12,0.011744427601381205
1,El Farol,tou,13,0.023750259503392716
1,El Farol,tou,14,0.023446491795230385
1,El Farol,tou,15,0.020156225299974594
1,El Farol,tou,16,0.03487980979378056
1,El Farol,tou,17,0.035082783872362445
1,El Farol,tou,18,0.03658247792280784
1,El Farol,tou,19,0.018502081427538373
1,El Farol,tou,20,0.01907019404264625
1,El Farol,tou,21,0.00804600389613483
1,El Farol,tou,22,0.006767430229361511
1,El Farol,tou,23,0.0031975041499794393
2,El Farol,tou,0,0.005298984454822438
2,El Farol,tou,1,0.003691755665123386
2,El Farol,tou,2,0.0034304792463221165
2,El Farol,tou,3,0.007968971893135258
2,El Farol,tou,4,0.00493463564989477
2,El Farol,tou,5,0.006572396609382444
2,El Farol,tou,6,0.032194184941971675
2,El Farol,tou,7,0.07779995160356262
2,El Farol,tou,8,0.09008686289233933
2,El Farol,tou,9,0.1213919203113639
2,El Farol,tou,10,0.06665695094249917
2,El Farol,tou,11,0.032011609201827135
2,El Farol,tou,12,0.04592003447930672
2,El Farol,tou,13,0.03840030882104912
2,El Farol,tou,14,0.04012834600878059
2,El Farol,tou,15,0.03904812373516296
2,El Farol,tou,16,0.05543884977456969
2,El Farol,tou,17,0.06144961526060005
2,El Farol,tou,18,0.04411818885360842
2,El Farol,tou,19,0.04557107035408212
2,El Farol,tou,20,0.028613200276731632
2,El Farol,tou,21,0.019696600421213382
2,El Farol,tou,22,0.009193174450072677
2,El Farol,tou,23,0.005861647455884102
3,El Farol,tou,0,0.005818620956127908
3,El Farol,tou,1,0.0037508391658066026
3,El Farol,tou,2,0.006705880515589177
3,El Farol,tou,3,0.00747080138095008
3,El Farol,tou,4,0.0034079783818146605
3,El Farol,tou,5,0.003810193968617172
3,El Farol,tou,6,0.025041635422161906
3,El Farol,tou,7,0.07008841089920209
3,El Farol,tou,8,0.1142262193042485
3,El Farol,tou,9,0.10884799889083849
3,El Farol,tou,10,0.07622017758063677
3,El Farol,tou,11,0.05200051667738576
3,El Farol,tou,12,0.034574249036413776
3,El Farol,tou,13,0.045254214418486795
