day,rule,regime,hour,vc_inner
1,Exp-Decay,No-Charge,0,0.040832878510370305
1,Exp-Decay,No-Charge,1,0.03303590336163533
1,Exp-Decay,No-Charge,2,0.03219144026860261
1,Exp-Decay,No-Charge,3,0.022089143219476814
1,Exp-Decay,No-Charge,4,0.020766577965160037
1,Exp-Decay,No-Charge,5,0.009263308796390101
1,Exp-Decay,No-Charge,6,0.057718664651143795
1,Exp-Decay,No-Charge,7,0.11758659751117684
1,Exp-Decay,No-Charge,8,0.23192852259445473
1,Exp-Decay,No-Charge,9,0.3046987175215535
1,Exp-Decay,No-Charge,10,0.2170715402093056
1,Exp-Decay,No-Charge,11,0.13994001995954822
1,Exp-Decay,No-Charge,12,0.09008844874119766
1,Exp-Decay,No-Charge,13,0.07608912229949974
1,Exp-Decay,No-Charge,14,0.1096903652583084
1,Exp-Decay,No-Charge,15,0.09998747088599415
1,Exp-Decay,No-Charge,16,0.17638440086143906
1,Exp-Decay,No-Charge,17,0.20403965626997964
1,Exp-Decay,No-Charge,18,0.15836824971200028
1,Exp-Decay,No-Charge,19,0.09292381691650714
1,Exp-Decay,No-Charge,20,0.03892450761352158
1,Exp-Decay,No-Charge,21,0.031067570241926266
1,Exp-Decay,No-Charge,22,0.02520316067977897
1,Exp-Decay,No-Charge,23,0.021360149948998985
2,Exp-Decay,No-Charge,0,0.01947456864207705
2,Exp-Decay,No-Charge,1,0.018557007523390782
2,Exp-Decay,No-Charge,2,0.009789105008565252
2,Exp-Decay,No-Charge,3,0.01892807555489627
2,Exp-Decay,No-Charge,4,0.019997168657263288
2,Exp-Decay,No-Charge,5,0.013498997814028612
2,Exp-Decay,No-Charge,6,0.049488416167159564
2,Exp-Decay,No-Charge,7,0.13664228240283047
2,Exp-Decay,No-Charge,8,0.26465552619718163
2,Exp-Decay,No-Charge,9,0.30982980423503437
2,Exp-Decay,No-Charge,10,0.20106391213050134
2,Exp-Decay,No-Charge,11,0.12009052899281393
2,Exp-Decay,No-Charge,12,0.09891123982417382
2,Exp-Decay,No-Charge,13,0.08491809234193622
2,Exp-Decay,No-Charge,14,0.08020001664912826
2,Exp-Decay,No-Charge,15,0.10118550707426886
2,Exp-Decay,No-Charge,16,0.1548546980263102
2,Exp-Decay,No-Charge,17,0.1687963569983871
2,Exp-Decay,No-Charge,18,0.15111176291284972
2,Exp-Decay,No-Charge,19,0.1051646405639873
2,Exp-Decay,No-Charge,20,0.07340701623720743
2,Exp-Decay,No-Charge,21,0.046725116929949545
2,Exp-Decay,No-Charge,22,0.026235699452283007
2,Exp-Decay,No-Charge,23,0.020286203171374823
3,Exp-Decay,No-Charge,0,0.027994752563269595
3,Exp-Decay,No-Charge,1,0.034333235832680956
3,Exp-Decay,No-Charge,2,0.01681263350924814
3,Exp-Decay,No-Charge,3,0.011231997468592998
3,Exp-Decay,No-Charge,4,0.019538702445283766
3,Exp-Decay,No-Charge,5,0.012691561327917362
3,Exp-Decay,No-Charge,6,0.057544701348669056
3,Exp-Decay,No-Charge,7,0.1660257260582646
3,Exp-Decay,No-Charge,8,0.2578493608591163
3,Exp-Decay,No-Charge,9,0.26250437891129613
3,Exp-Decay,No-Charge,10,0.2379761948520103
3,Exp-Decay,No-Charge,11,0.17245288885502136
3,Exp-Decay,No-Charge,12,0.09005486893817334
3,Exp-Decay,No-Charge,13,0.07533546625258715
3,Exp-Decay,No-Charge,14,0.07421821026464975
3,Exp-Decay,No-Charge,15,0.06866078126195817
3,Exp-Decay,No-Charge,16,0.13914191615242774
3,Exp-Decay,No-Charge,17,0.19939205462452303
3,Exp-Decay,No-Charge,18,0.17607706409805585
3,Exp-Decay,No-Charge,19,0.10772198217991023
3,Exp-Decay,No-Charge,20,0.0904718624042175
3,Exp-Decay,No-Charge,21,0.0454673810166312
3,Exp-Decay,No-Charge,22,0.030801312615529153
3,Exp-Decay,No-Charge,23,0.020735340775334368
4,Exp-Decay,No-Charge,0,0.008956197324704524
4,Exp-Decay,No-Charge,1,0.017396243000294364
4,Exp-Decay,No-Charge,2,0.017995144958370173
4,Exp-Decay,No-Charge,3,0.025789902312830654
4,Exp-Decay,No-Charge,4,0.01996905498594429
4,Exp-Decay,No-Charge,5,0.0077937171597648545
4,Exp-Decay,No-Charge,6,0.07430879724735101
4,Exp-Decay,No-Charge,7,0.14976598968467938
4,Exp-Decay,No-Charge,8,0.26470868817818616
4,Exp-Decay,No-Charge,9,0.3566412362936358
4,Exp-Decay,No-Charge,10,0.2011483182180259
4,Exp-Decay,No-Charge,11,0.1144429858163528
4,Exp-Decay,No-Charge,12,0.09488648440486463
4,Exp-Decay,No-Charge,13,0.08379536262485629
4,Exp-Decay,No-Charge,14,0.07715514283823634
4,Exp-Decay,No-Charge,15,0.12461249186055125
4,Exp-Decay,No-Charge,16,0.15734112492953053
4,Exp-Decay,No-Charge,17,0.16348855316885158
4,Exp-Decay,No-Charge,18,0.15007625578773853
4,Exp-Decay,No-Charge,19,0.10143296252520172
4,Exp-Decay,No-Charge,20,0.06556787779141096
4,Exp-Decay,No-Charge,21,0.033732729647370924
4,Exp-Decay,No-Charge,22,0.01382338299468594
4,Exp-Decay,No-Charge,23,0.04133755222923029
