day,rule,regime,hour,vc_inner,vc_boundary,vc_peripheral,vcf_mwy,vcf_cbd,vcf_east,vcf_west,ef_mwy,ef_cbd,ef_east,ef_west,model_version
1,Exp-Decay,No-Charge,0,0.008342395239110588,0.005286516507960505,0.0041862054741148465,0.15251432106448456,0.34873530437164696,0.3617950109600351,0.45433906671231106,0,3.6804892982008113,4.770638020990363,8.65028412724469,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,1,0.0049647568535575465,0.004556179234769194,0.003910795132562944,0.11848960036212461,0.2852503720497612,0.29533731832759286,0.35666808229295843,0,4.266372026194284,3.353515085387498,7.583455515658367,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,2,0.0018975815509020507,0.006224248240705068,0.004677860048438977,0.10298671095261776,0.27686302100972493,0.29071565208446826,0.33475348998918664,0,3.306683165060744,2.3561516232569146,6.418525862057552,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,3,0.0019982581073154882,0.003436457571764179,0.004526119767057895,0.11503324746514082,0.27573402171041295,0.3492281629914856,0.2979834515769014,0,3.746896144682862,4.671263022726884,8.21035774896809,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,4,0.001002913931047452,0.0029184348466122674,0.003826974922904139,0.11907801921032703,0.19701833101504165,0.3241789586553861,0.298505295832476,0,3.454890577392576,4.0838006892737715,8.165697566997576,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,5,0.009213765899339033,0.006219036022702404,0.0034582945249505706,0.06292362596099413,0.11947509670556018,0.15242779496851555,0.16443490927297907,0.02415004765108397,1.6196470579937585,0.9879589132700473,1.2236360416040277,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,6,0.01554268768124178,0.018991800034088888,0.011719951399581928,0.2337390044945397,0.4371946918158285,0.5049833236949319,0.5787570249864605,1.3176149971778086,9.56314939180041,20.38156124440516,18.45173469592713,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,7,0.03546996281496738,0.06996879682202425,0.027926923409290604,0.7305024884949596,1.1231526713917526,1.4602751247574408,1.5888876790079307,27.849510287257182,49.89094168177702,61.86810365591364,54.946509859457294,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,8,0.07266285461621233,0.15249836673051873,0.053730609769895445,1.4226115863768594,2.390276390126808,2.5834328425755766,2.8959271161224693,87.62970641290967,83.68377547810196,89.79833088209891,84.78048264362857,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,9,0.08268979917091268,0.1718223291907019,0.04843024053397206,1.6886223798185573,3.2898174756955485,3.40567004393062,3.6865305905538017,91.55579529986294,93.35222972815919,94.64605792351637,88.8847912233035,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,10,0.03525813863587083,0.06186399862038459,0.028562785951195546,1.397305830952816,2.903964481569679,2.93908212307892,3.2642842389161495,88.71828876247372,91.12277702404347,93.92299440383557,87.5103760510768,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,11,0.02540061843878802,0.035094846614154074,0.01714867286409831,1.055013541088716,2.286139588149488,2.2021823928238704,2.4589230657386443,70.36941533858827,82.66480802582008,89.05041744572576,83.99519634885287,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,12,0.022850111179095904,0.029192921864813433,0.014924791935458913,0.7746931959781059,1.6990796349718318,1.6005158907434969,1.9050449647047307,18.10430135418618,78.59976232863298,78.69855005232434,78.55014695772678,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,13,0.01892794917036493,0.020404589917826857,0.010796545106025188,0.6267815525618933,1.2791154568065528,1.2742347745769442,1.4988805774870047,1.8269999551597156,66.90768831695554,65.76190857484276,69.84990750976007,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,14,0.02300026870728982,0.022164195435623767,0.013235595453958492,0.5578535584118205,1.090327727529075,1.121468904419064,1.312642285827739,1.5061076068859613,60.32925416627187,57.58375485359997,65.24550301405935,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,15,0.021866271261900924,0.033463572929757046,0.01824654478919122,0.592584488168255,1.169947355484893,1.1400505684966005,1.4182384422885592,3.362916519872126,58.942696050346164,57.69226758011455,65.7883278266177,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,16,0.041475590505145855,0.04836622613488109,0.025646276682817746,0.7887607083005159,1.654076784126627,1.5580191287435352,1.7729638089748387,26.288928308629593,72.79756277634202,80.27278885298288,75.88699118399342,v3-2026-07-30-trip-suppression-fix
1,Exp-Decay,No-Charge,17,0.03634439424667309,0.04516759074618538,0.028286429691501934,0.9432715728949074,1.973043560321684,1.8771253426834937,2.0131295385819614,60.46806759932229,81.34155844208271,89.96043232313501,82.89325636220732,v3-2026-07-30-trip-suppression-fix
