day,rule,regime,hour,vc_inner
1,Exp-Decay,tou,0,5.415546025783336E-4
1,Exp-Decay,tou,1,0.0040252327765097394
1,Exp-Decay,tou,2,0.009522707917967397
1,Exp-Decay,tou,3,0.003848741153387086
1,Exp-Decay,tou,4,0.0020831325566337887
1,Exp-Decay,tou,5,0.0039622696901395905
1,Exp-Decay,tou,6,0.013616896599313779
1,Exp-Decay,tou,7,0.024088972295545366
1,Exp-Decay,tou,8,0.050229690401069
1,Exp-Decay,tou,9,0.049966465619137986
1,Exp-Decay,tou,10,0.031151940030193052
1,Exp-Decay,tou,11,0.01243422557096953
1,Exp-Decay,tou,12,0.014818618912563952
1,Exp-Decay,tou,13,0.011261354078141274
1,Exp-Decay,tou,14,0.010590454790211106
1,Exp-Decay,tou,15,0.01238409723566386
1,Exp-Decay,tou,16,0.021060425576820547
1,Exp-Decay,tou,17,0.03044045981958793
1,Exp-Decay,tou,18,0.022359987611813136
1,Exp-Decay,tou,19,0.014374090875800594
1,Exp-Decay,tou,20,0.010933226593740002
1,Exp-Decay,tou,21,0.005040661739445253
1,Exp-Decay,tou,22,0.0041186606665866475
1,Exp-Decay,tou,23,0.0019641955621834215
2,Exp-Decay,tou,0,0.004587948384625055
2,Exp-Decay,tou,1,0.003441722407368903
2,Exp-Decay,tou,2,0.00379976955651759
2,Exp-Decay,tou,3,0.007397275683281834
2,Exp-Decay,tou,4,0.0023769474953863018
2,Exp-Decay,tou,5,0.0035798413286629374
2,Exp-Decay,tou,6,0.012010732668429211
2,Exp-Decay,tou,7,0.032905317560222705
2,Exp-Decay,tou,8,0.049650401510470475
2,Exp-Decay,tou,9,0.03894133342556281
2,Exp-Decay,tou,10,0.02928822887048591
2,Exp-Decay,tou,11,0.016684529513772084
2,Exp-Decay,tou,12,0.011173025293131687
2,Exp-Decay,tou,13,0.018257618644967825
2,Exp-Decay,tou,14,0.01786357913294282
2,Exp-Decay,tou,15,0.01746336278108018
2,Exp-Decay,tou,16,0.038734699852467865
2,Exp-Decay,tou,17,0.036775716776547215
2,Exp-Decay,tou,18,0.02478395062552832
2,Exp-Decay,tou,19,0.010989699305052494
2,Exp-Decay,tou,20,0.006873812065840265
2,Exp-Decay,tou,21,0.004933436109278668
2,Exp-Decay,tou,22,0.0014478293413391402
2,Exp-Decay,tou,23,7.459004457259326E-4
3,Exp-Decay,tou,0,0.005436446659477274
3,Exp-Decay,tou,1,0.0030555852244498814
3,Exp-Decay,tou,2,7.233655797683515E-4
3,Exp-Decay,tou,3,0.0020570541708319215
3,Exp-Decay,tou,4,0.0022278972825506686
3,Exp-Decay,tou,5,0.0027515544713015423
3,Exp-Decay,tou,6,0.013211715582159323
3,Exp-Decay,tou,7,0.03284540072030382
3,Exp-Decay,tou,8,0.05633113653424051
3,Exp-Decay,tou,9,0.04538820386621538
3,Exp-Decay,tou,10,0.024879533551938816
3,Exp-Decay,tou,11,0.017282966685742297
3,Exp-Decay,tou,12,0.008177054871731359
3,Exp-Decay,tou,13,0.01149675991673111
3,Exp-Decay,tou,14,0.011478558109749399
3,Exp-Decay,tou,15,0.009616878369986355
3,Exp-Decay,tou,16,0.03272485648132116
3,Exp-Decay,tou,17,0.02479046986231472
3,Exp-Decay,tou,18,0.02496916319818449
3,Exp-Decay,tou,19,0.007302969682463484
3,Exp-Decay,tou,20,0.008536362622075458
3,Exp-Decay,tou,21,0.0055932065238873405
3,Exp-Decay,tou,22,0.0028654927571076993
3,Exp-Decay,tou,23,0.004332179843877392
4,Exp-Decay,tou,0,0.004294141279138676
4,Exp-Decay,tou,1,0.00383238441144446
4,Exp-Decay,tou,2,0.005077856425895471
4,Exp-Decay,tou,3,0.0018110612413724074
4,Exp-Decay,tou,4,0.0026152872475258293
4,Exp-Decay,tou,5,0.0034535045358998645
4,Exp-Decay,tou,6,0.011583068792275704
4,Exp-Decay,tou,7,0.037521214485168944
4,Exp-Decay,tou,8,0.047600513186470676
4,Exp-Decay,tou,9,0.043756104525715926
4,Exp-Decay,tou,10,0.035253749885771284
4,Exp-Decay,tou,11,0.013071776693384007
4,Exp-Decay,tou,12,0.01104499610690554
4,Exp-Decay,tou,13,0.01304427364080859
4,Exp-Decay,tou,14,0.013983703408724395
4,Exp-Decay,tou,15,0.012052458789859475
4,Exp-Decay,tou,16,0.018598005886345834
4,Exp-Decay,tou,17,0.03214357660021175
4,Exp-Decay,tou,18,0.019761055583065575
4,Exp-Decay,tou,19,0.01723243104905699
4,Exp-Decay,tou,20,0.006969008662867964
4,Exp-Decay,tou,21,0.009542628165268909
4,Exp-Decay,tou,22,0.00218473311380982
4,Exp-Decay,tou,23,0.0013432976842966298
5,Exp-Decay,tou,0,0.004126805452973867
5,Exp-Decay,tou,1,0.005268165424297254
5,Exp-Decay,tou,2,0.002581036553505625
5,Exp-Decay,tou,3,0.0029946248338096173
5,Exp-Decay,tou,4,0.001327253065859343
5,Exp-Decay,tou,5,0.004861245941951609
5,Exp-Decay,tou,6,0.009083342968252561
5,Exp-Decay,tou,7,0.023029987711120255
5,Exp-Decay,tou,8,0.04484538720019046
5,Exp-Decay,tou,9,0.04017202263793604
5,Exp-Decay,tou,10,0.031240307897999083
5,Exp-Decay,tou,11,0.021858575801270905
5,Exp-Decay,tou,12,0.013863279143410614
5,Exp-Decay,tou,13,0.014753943620354362
5,Exp-Decay,tou,14,0.020755869317535047
5,Exp-Decay,tou,15,0.022351157102047513
5,Exp-Decay,tou,16,0.027352609563445752
5,Exp-Decay,tou,17,0.037046956317251675
5,Exp-Decay,tou,18,0.02889266858349283
5,Exp-Decay,tou,19,0.017504073724765715
5,Exp-Decay,tou,20,0.010776063447099166
5,Exp-Decay,tou,21,0.004551381105176143
5,Exp-Decay,tou,22,0.003386549813323425
5,Exp-Decay,tou,23,0.001676376820771653
6,Exp-Decay,tou,0,0.0033758066154835394
6,Exp-Decay,tou,1,0.0020656639137622197
6,Exp-Decay,tou,2,0.0029520682610375535
6,Exp-Decay,tou,3,0.003736635165446803
6,Exp-Decay,tou,4,0.0074371373620037715
6,Exp-Decay,tou,5,0.0010195656369730002
6,Exp-Decay,tou,6,0.010921871214651336
6,Exp-Decay,tou,7,0.015082532659851747
6,Exp-Decay,tou,8,0.05420709571150984
6,Exp-Decay,tou,9,0.036574563373608315
6,Exp-Decay,tou,10,0.0285853195605305
6,Exp-Decay,tou,11,0.02988825249871964
6,Exp-Decay,tou,12,0.01493701726031487
6,Exp-Decay,tou,13,0.011979725492177993
6,Exp-Decay,tou,14,0.017407543650325104
6,Exp-Decay,tou,15,0.016624790268147904
6,Exp-Decay,tou,16,0.02626935682612193
6,Exp-Decay,tou,17,0.030527398972414924
6,Exp-Decay,tou,18,0.015235884149915436
6,Exp-Decay,tou,19,0.013804965210488577
6,Exp-Decay,tou,20,0.011783370870413323
6,Exp-Decay,tou,21,0.004267623383738311
6,Exp-Decay,tou,22,0.0026828881368356405
6,Exp-Decay,tou,23,0.0010799377681003758
7,Exp-Decay,tou,0,0.0029884454907550487
7,Exp-Decay,tou,1,0.0022896417793548014
