day,rule,regime,hour,vc_inner
1,Q-Learning,No-Charge,0,0.006243858987337868
1,Q-Learning,No-Charge,1,0.007888514354490627
1,Q-Learning,No-Charge,2,0.0038868079925602453
1,Q-Learning,No-Charge,3,0.005416817151731259
1,Q-Learning,No-Charge,4,0.0033138993765494825
1,Q-Learning,No-Charge,5,0.009026071549260141
1,Q-Learning,No-Charge,6,0.03493933338074032
1,Q-Learning,No-Charge,7,0.06015053786091883
1,Q-Learning,No-Charge,8,0.0699898780798025
1,Q-Learning,No-Charge,9,0.09095420045511085
1,Q-Learning,No-Charge,10,0.06558163984310633
1,Q-Learning,No-Charge,11,0.04746128748996993
1,Q-Learning,No-Charge,12,0.031527366033335745
1,Q-Learning,No-Charge,13,0.02586196888473962
1,Q-Learning,No-Charge,14,0.02666241810534051
1,Q-Learning,No-Charge,15,0.03415873122734661
1,Q-Learning,No-Charge,16,0.043328331154654884
1,Q-Learning,No-Charge,17,0.04548249614900793
1,Q-Learning,No-Charge,18,0.05630736101333215
1,Q-Learning,No-Charge,19,0.03120310589067482
1,Q-Learning,No-Charge,20,0.02768189620363236
1,Q-Learning,No-Charge,21,0.008436466550427332
1,Q-Learning,No-Charge,22,0.0056188941279277016
1,Q-Learning,No-Charge,23,0.010423030634654449
2,Q-Learning,No-Charge,0,0.01172788795192798
2,Q-Learning,No-Charge,1,0.009321627389314906
2,Q-Learning,No-Charge,2,0.006935539206192125
2,Q-Learning,No-Charge,3,0.009099791479286284
2,Q-Learning,No-Charge,4,0.006391044041953494
2,Q-Learning,No-Charge,5,0.008364023250881938
2,Q-Learning,No-Charge,6,0.020771412660730716
2,Q-Learning,No-Charge,7,0.059862770167984025
2,Q-Learning,No-Charge,8,0.08640437646607668
2,Q-Learning,No-Charge,9,0.09195355755833218
2,Q-Learning,No-Charge,10,0.07403678717386115
2,Q-Learning,No-Charge,11,0.052325178651398754
2,Q-Learning,No-Charge,12,0.03404155260813922
2,Q-Learning,No-Charge,13,0.03008446283012691
2,Q-Learning,No-Charge,14,0.02857645636800672
2,Q-Learning,No-Charge,15,0.046391586570551854
2,Q-Learning,No-Charge,16,0.06711635982604904
2,Q-Learning,No-Charge,17,0.06147216637744717
2,Q-Learning,No-Charge,18,0.05932016880865574
2,Q-Learning,No-Charge,19,0.03452802934491499
2,Q-Learning,No-Charge,20,0.027522371316931617
2,Q-Learning,No-Charge,21,0.012424173347054625
2,Q-Learning,No-Charge,22,0.00446464250444693
2,Q-Learning,No-Charge,23,0.006651376014662725
3,Q-Learning,No-Charge,0,0.00489635053980933
3,Q-Learning,No-Charge,1,0.005774236207101533
3,Q-Learning,No-Charge,2,0.01129424468009996
3,Q-Learning,No-Charge,3,0.011091697277645907
3,Q-Learning,No-Charge,4,0.004818010938522702
3,Q-Learning,No-Charge,5,0.014063332365565314
3,Q-Learning,No-Charge,6,0.02332322829734985
3,Q-Learning,No-Charge,7,0.06313916038239416
3,Q-Learning,No-Charge,8,0.06733746039652927
3,Q-Learning,No-Charge,9,0.0828426992230428
3,Q-Learning,No-Charge,10,0.07844349840805831
3,Q-Learning,No-Charge,11,0.04147861837705446
3,Q-Learning,No-Charge,12,0.02938777932142816
3,Q-Learning,No-Charge,13,0.020212888315148093
3,Q-Learning,No-Charge,14,0.027573866822921716
3,Q-Learning,No-Charge,15,0.03472550882482582
3,Q-Learning,No-Charge,16,0.052985954053236396
3,Q-Learning,No-Charge,17,0.05076670715619087
3,Q-Learning,No-Charge,18,0.0405723403140422
3,Q-Learning,No-Charge,19,0.039711945291625694
3,Q-Learning,No-Charge,20,0.03442211843624779
3,Q-Learning,No-Charge,21,0.012636600946910869
3,Q-Learning,No-Charge,22,0.004408553665430486
3,Q-Learning,No-Charge,23,0.00314040115162629
4,Q-Learning,No-Charge,0,0.0067219360413066495
4,Q-Learning,No-Charge,1,0.008228700358502924
4,Q-Learning,No-Charge,2,0.008330475899354515
4,Q-Learning,No-Charge,3,0.007587404243280596
4,Q-Learning,No-Charge,4,0.0064191572428943695
4,Q-Learning,No-Charge,5,0.006901680161787965
4,Q-Learning,No-Charge,6,0.03390197240344387
4,Q-Learning,No-Charge,7,0.06396044599341168
4,Q-Learning,No-Charge,8,0.11362541239181276
4,Q-Learning,No-Charge,9,0.08554768785958711
4,Q-Learning,No-Charge,10,0.09585006915987362
4,Q-Learning,No-Charge,11,0.06961601415797611
4,Q-Learning,No-Charge,12,0.04369092095946185
4,Q-Learning,No-Charge,13,0.024983259490063366
4,Q-Learning,No-Charge,14,0.034265214747721595
4,Q-Learning,No-Charge,15,0.04316595910204926
4,Q-Learning,No-Charge,16,0.054912307389424486
4,Q-Learning,No-Charge,17,0.07448645248676125
4,Q-Learning,No-Charge,18,0.046537917819272585
4,Q-Learning,No-Charge,19,0.03756111887078544
4,Q-Learning,No-Charge,20,0.021326265763105756
4,Q-Learning,No-Charge,21,0.016027322888195833
4,Q-Learning,No-Charge,22,0.009347813245382678
4,Q-Learning,No-Charge,23,0.003693452462522367
5,Q-Learning,No-Charge,0,0.005101480872145249
5,Q-Learning,No-Charge,1,0.010507500049908598
5,Q-Learning,No-Charge,2,0.004040200008974837
5,Q-Learning,No-Charge,3,0.00687829978990703
5,Q-Learning,No-Charge,4,0.009475016473951204
5,Q-Learning,No-Charge,5,0.007623438254024727
5,Q-Learning,No-Charge,6,0.020812937681057516
5,Q-Learning,No-Charge,7,0.05861580603318975
5,Q-Learning,No-Charge,8,0.12145592034997381
5,Q-Learning,No-Charge,9,0.1087374699614838
5,Q-Learning,No-Charge,10,0.09399546528386339
5,Q-Learning,No-Charge,11,0.03164361406941129
5,Q-Learning,No-Charge,12,0.026904474486870195
5,Q-Learning,No-Charge,13,0.03376357625267627
5,Q-Learning,No-Charge,14,0.05295391957027746
5,Q-Learning,No-Charge,15,0.03898792176111475
5,Q-Learning,No-Charge,16,0.05155669389278593
5,Q-Learning,No-Charge,17,0.08318116149616292
5,Q-Learning,No-Charge,18,0.058259613793731596
5,Q-Learning,No-Charge,19,0.049585343982519646
5,Q-Learning,No-Charge,20,0.02824893718471304
5,Q-Learning,No-Charge,21,0.027001914823887592
5,Q-Learning,No-Charge,22,0.013393394458024116
5,Q-Learning,No-Charge,23,0.0035987541032354324
6,Q-Learning,No-Charge,0,0.007464316254262067
6,Q-Learning,No-Charge,1,0.0035758368007759245
6,Q-Learning,No-Charge,2,0.004298569183119853
6,Q-Learning,No-Charge,3,0.006315650214192597
6,Q-Learning,No-Charge,4,0.00659944284888214
6,Q-Learning,No-Charge,5,0.009212539508278805
6,Q-Learning,No-Charge,6,0.022151817151916886
6,Q-Learning,No-Charge,7,0.07554165580442516
6,Q-Learning,No-Charge,8,0.1403920188495652
6,Q-Learning,No-Charge,9,0.1268313306604246
6,Q-Learning,No-Charge,10,0.07897491391493824
6,Q-Learning,No-Charge,11,0.05135857107334409
6,Q-Learning,No-Charge,12,0.027458324293989502
6,Q-Learning,No-Charge,13,0.033344498176240266
6,Q-Learning,No-Charge,14,0.04071287611793489
6,Q-Learning,No-Charge,15,0.03152848145953618
6,Q-Learning,No-Charge,16,0.054011227532841925
6,Q-Learning,No-Charge,17,0.0690335673404443
6,Q-Learning,No-Charge,18,0.07580083990040194
6,Q-Learning,No-Charge,19,0.058161953531504
6,Q-Learning,No-Charge,20,0.025018554336255123
6,Q-Learning,No-Charge,21,0.014115829935106844
6,Q-Learning,No-Charge,22,0.00404335373165436
6,Q-Learning,No-Charge,23,0.011912755890958941
7,Q-Learning,No-Charge,0,0.008455592163130684
7,Q-Learning,No-Charge,1,0.00983480583443688
7,Q-Learning,No-Charge,2,0.0030653473163316193
7,Q-Learning,No-Charge,3,0.0068529506644126525
7,Q-Learning,No-Charge,4,0.00890321063305642
7,Q-Learning,No-Charge,5,0.002134440626019023
7,Q-Learning,No-Charge,6,0.03036326586279993
7,Q-Learning,No-Charge,7,0.07673512059946892
7,Q-Learning,No-Charge,8,0.11220498950254516
7,Q-Learning,No-Charge,9,0.1335416759380483
7,Q-Learning,No-Charge,10,0.09173668422564218
7,Q-Learning,No-Charge,11,0.05208332005285241
7,Q-Learning,No-Charge,12,0.04304203608807244
7,Q-Learning,No-Charge,13,0.04443730132354739
7,Q-Learning,No-Charge,14,0.049686239304091266
7,Q-Learning,No-Charge,15,0.06036873940402169
7,Q-Learning,No-Charge,16,0.04971357016119034
7,Q-Learning,No-Charge,17,0.06770299360634813
7,Q-Learning,No-Charge,18,0.0672536022307159
7,Q-Learning,No-Charge,19,0.04031864933360521
7,Q-Learning,No-Charge,20,0.021560879430745406
7,Q-Learning,No-Charge,21,0.018233725995717275
7,Q-Learning,No-Charge,22,0.005426535407801883
7,Q-Learning,No-Charge,23,0.005998437280322316
8,Q-Learning,No-Charge,0,0.011880775723636952
8,Q-Learning,No-Charge,1,0.003364003931130508
8,Q-Learning,No-Charge,2,0.004202451631158333
8,Q-Learning,No-Charge,3,0.007019586729065217
8,Q-Learning,No-Charge,4,0.014009065168339758
8,Q-Learning,No-Charge,5,0.005179658615972126
8,Q-Learning,No-Charge,6,0.017499894448446823
8,Q-Learning,No-Charge,7,0.046924615928694825
8,Q-Learning,No-Charge,8,0.08981216403399801
8,Q-Learning,No-Charge,9,0.12664546473964272
8,Q-Learning,No-Charge,10,0.11734935609340705
8,Q-Learning,No-Charge,11,0.044679139817986775
8,Q-Learning,No-Charge,12,0.036773072783877224
8,Q-Learning,No-Charge,13,0.0354634579712707
8,Q-Learning,No-Charge,14,0.031327912515509385
8,Q-Learning,No-Charge,15,0.03162484723055029
8,Q-Learning,No-Charge,16,0.0454092938626167
8,Q-Learning,No-Charge,17,0.05625834574193848
8,Q-Learning,No-Charge,18,0.05336770016400101
8,Q-Learning,No-Charge,19,0.03134398811488096
8,Q-Learning,No-Charge,20,0.015640129600112698
8,Q-Learning,No-Charge,21,0.01017306460867349
8,Q-Learning,No-Charge,22,0.021361705643407985
8,Q-Learning,No-Charge,23,0.007707300299262953
9,Q-Learning,No-Charge,0,0.0051140997575561745
9,Q-Learning,No-Charge,1,0.006617363448387233
9,Q-Learning,No-Charge,2,0.0058094622175379465
9,Q-Learning,No-Charge,3,0.012258399451145461
9,Q-Learning,No-Charge,4,0.004796638095608645
9,Q-Learning,No-Charge,5,0.0060315669456615355
9,Q-Learning,No-Charge,6,0.02027491896918864
9,Q-Learning,No-Charge,7,0.06668900448068221
9,Q-Learning,No-Charge,8,0.0860209205472868
9,Q-Learning,No-Charge,9,0.11797171152063089
9,Q-Learning,No-Charge,10,0.08831294805553949
9,Q-Learning,No-Charge,11,0.0332259035649878
9,Q-Learning,No-Charge,12,0.029431176914705204
9,Q-Learning,No-Charge,13,0.023749574754789837
9,Q-Learning,No-Charge,14,0.023955869559985164
9,Q-Learning,No-Charge,15,0.034374619178563735
9,Q-Learning,No-Charge,16,0.0576428519799815
9,Q-Learning,No-Charge,17,0.06145169779137141
9,Q-Learning,No-Charge,18,0.03763886787540594
9,Q-Learning,No-Charge,19,0.03172317828528565
9,Q-Learning,No-Charge,20,0.0291364443452383
9,Q-Learning,No-Charge,21,0.010344202182320626
9,Q-Learning,No-Charge,22,0.010063344093650402
9,Q-Learning,No-Charge,23,0.008146430888387412
10,Q-Learning,No-Charge,0,0.005887805613822194
10,Q-Learning,No-Charge,1,0.011144205964235626
10,Q-Learning,No-Charge,2,0.006761797588648027
10,Q-Learning,No-Charge,3,0.00684905255024979
10,Q-Learning,No-Charge,4,0.0061566152720965725
10,Q-Learning,No-Charge,5,0.0127388113946
10,Q-Learning,No-Charge,6,0.04652695050270104
10,Q-Learning,No-Charge,7,0.07074848271193157
10,Q-Learning,No-Charge,8,0.1236323700529136
10,Q-Learning,No-Charge,9,0.09963927882417153
10,Q-Learning,No-Charge,10,0.10969833928208644
10,Q-Learning,No-Charge,11,0.057061366840855436
10,Q-Learning,No-Charge,12,0.033502162052592536
10,Q-Learning,No-Charge,13,0.03300711906172265
10,Q-Learning,No-Charge,14,0.04744063533579449
10,Q-Learning,No-Charge,15,0.03407809210755877
10,Q-Learning,No-Charge,16,0.05024940360995971
10,Q-Learning,No-Charge,17,0.064350802947794
10,Q-Learning,No-Charge,18,0.05044959168886011
10,Q-Learning,No-Charge,19,0.0392011490591831
10,Q-Learning,No-Charge,20,0.01900916172499773
10,Q-Learning,No-Charge,21,0.029961825040174687
10,Q-Learning,No-Charge,22,0.01861026646112845
10,Q-Learning,No-Charge,23,0.005630130068578323
11,Q-Learning,No-Charge,0,0.0048486238090147465
11,Q-Learning,No-Charge,1,0.02071233659363503
11,Q-Learning,No-Charge,2,0.013755364153392995
11,Q-Learning,No-Charge,3,0.008581656110223396
11,Q-Learning,No-Charge,4,0.004524198256100464
11,Q-Learning,No-Charge,5,0.0018927935446894928
11,Q-Learning,No-Charge,6,0.01854918566229469
11,Q-Learning,No-Charge,7,0.06566173096351917
11,Q-Learning,No-Charge,8,0.08445697601443419
11,Q-Learning,No-Charge,9,0.09239582188508824
11,Q-Learning,No-Charge,10,0.0779692039518315
11,Q-Learning,No-Charge,11,0.03369791444484854
11,Q-Learning,No-Charge,12,0.030274172474137055
11,Q-Learning,No-Charge,13,0.028428883637150366
11,Q-Learning,No-Charge,14,0.0333041445484669
11,Q-Learning,No-Charge,15,0.0430394765720636
11,Q-Learning,No-Charge,16,0.050759487895777645
11,Q-Learning,No-Charge,17,0.06004468101033238
11,Q-Learning,No-Charge,18,0.04979967890918961
11,Q-Learning,No-Charge,19,0.0305435370849689
11,Q-Learning,No-Charge,20,0.020109765406881943
11,Q-Learning,No-Charge,21,0.016898815006240443
11,Q-Learning,No-Charge,22,0.00867107130134931
11,Q-Learning,No-Charge,23,0.009866766715400759
12,Q-Learning,No-Charge,0,0.009871861608779139
12,Q-Learning,No-Charge,1,0.008130940295566318
12,Q-Learning,No-Charge,2,0.007123299911901078
12,Q-Learning,No-Charge,3,0.007981588121351085
12,Q-Learning,No-Charge,4,0.00532289792846364
12,Q-Learning,No-Charge,5,0.0013963283833154615
12,Q-Learning,No-Charge,6,0.025850078875456678
12,Q-Learning,No-Charge,7,0.05875646726088157
12,Q-Learning,No-Charge,8,0.08324548044884103
12,Q-Learning,No-Charge,9,0.10173016719843574
12,Q-Learning,No-Charge,10,0.07356152695981555
12,Q-Learning,No-Charge,11,0.03962426588895806
12,Q-Learning,No-Charge,12,0.02187227048076932
