day,rule,regime,hour,vc_inner
1,Q-Learning,tou,0,0.00322555137954853
1,Q-Learning,tou,1,0.00516756989406972
1,Q-Learning,tou,2,0.004708661256624236
1,Q-Learning,tou,3,0.003191388954870872
1,Q-Learning,tou,4,0.008908533722922442
1,Q-Learning,tou,5,0.002778631864367995
1,Q-Learning,tou,6,0.011047704417825764
1,Q-Learning,tou,7,0.027624280730075366
1,Q-Learning,tou,8,0.05325814383121486
1,Q-Learning,tou,9,0.06329798422680111
1,Q-Learning,tou,10,0.04688258647331875
1,Q-Learning,tou,11,0.032928656455111525
1,Q-Learning,tou,12,0.01421145075449411
1,Q-Learning,tou,13,0.015839936544413843
1,Q-Learning,tou,14,0.010781313785111945
1,Q-Learning,tou,15,0.024838749599671372
1,Q-Learning,tou,16,0.01855461592242875
1,Q-Learning,tou,17,0.03477640913302104
1,Q-Learning,tou,18,0.03944369311057938
1,Q-Learning,tou,19,0.01960202840731778
1,Q-Learning,tou,20,0.02098247753078274
1,Q-Learning,tou,21,0.005688022474616537
1,Q-Learning,tou,22,0.004439258916733731
1,Q-Learning,tou,23,0.0022407033246760956
2,Q-Learning,tou,0,0.005249093715427936
2,Q-Learning,tou,1,0.00442461817695877
2,Q-Learning,tou,2,0.003386715024399888
2,Q-Learning,tou,3,0.004688844090729042
2,Q-Learning,tou,4,0.0025249269772858575
2,Q-Learning,tou,5,0.0032558648709113958
2,Q-Learning,tou,6,0.017982145043734545
2,Q-Learning,tou,7,0.0381158088173364
2,Q-Learning,tou,8,0.06557443966532889
2,Q-Learning,tou,9,0.0492207504912825
2,Q-Learning,tou,10,0.04265776950602022
2,Q-Learning,tou,11,0.03264777447716936
2,Q-Learning,tou,12,0.024200291671156244
2,Q-Learning,tou,13,0.011592936119159876
2,Q-Learning,tou,14,0.013311497686415636
2,Q-Learning,tou,15,0.018964992943007138
2,Q-Learning,tou,16,0.041098569476592746
2,Q-Learning,tou,17,0.0373609788327005
2,Q-Learning,tou,18,0.02949172702310171
2,Q-Learning,tou,19,0.018481995275285587
