link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2,model_version
l_2340,SH1N,boundary,motorway,MWY,0.4,1.9873479928485616,F,52.461123624879754,53.88777790301099,53.807866416867896,51.92616661461143,v3-2026-07-30-trip-suppression-fix
l_1344,,inner,arterial,CBD,0.7897854416216927,1.4498681392006456,F,74.59298837555528,78.50688881137079,75.02672894130816,78.4448305625403,v3-2026-07-30-trip-suppression-fix
l_616,,peripheral,arterial,East,1.8697413524462447,8.414513430968514,F,120.09103860604743,60.365079213116616,120.10163903852856,58.608139274735734,v3-2026-07-30-trip-suppression-fix
l_1726,,inner,arterial,CBD,1.260107109104274,2.732731407487096,F,78.82161839585643,52.05092945751798,79.22255887109388,51.39488182530737,v3-2026-07-30-trip-suppression-fix
l_1207,,boundary,arterial,East,1.093942294543963,2.9216874342119943,F,101.16638054128681,58.744760190886595,101.60510718434668,58.95281800135987,v3-2026-07-30-trip-suppression-fix
l_1212,,inner,arterial,CBD,1.184678162432539,2.954527042362925,F,94.01955939567458,71.95836419580954,95.00536727110902,71.18332959199535,v3-2026-07-30-trip-suppression-fix
l_239,,peripheral,arterial,East,0.7751437245655965,5.483470323782117,F,111.54850085396642,26.741005480237508,111.75216333083571,27.169636685945253,v3-2026-07-30-trip-suppression-fix
l_317,,inner,arterial,CBD,0.7405578869414959,7.7634134741648015,F,61.042565463147625,42.919518279823976,61.05782322301702,42.56789391289932,v3-2026-07-30-trip-suppression-fix
l_955,,boundary,arterial,East,0.39489272081084636,1.3449827965557979,F,89.39456004025752,73.47651690232533,90.17255953019585,73.21886161028831,v3-2026-07-30-trip-suppression-fix
l_116,,peripheral,arterial,West,0.8326972451599473,4.962450604827926,F,60.762200527057644,15.925247188892047,62.15842817136065,16.196837157858926,v3-2026-07-30-trip-suppression-fix
l_593,,peripheral,arterial,East,0.6467608062951385,1.7426114873911123,F,83.20020090504401,37.26749840509649,83.70137069900036,38.50144590706852,v3-2026-07-30-trip-suppression-fix
