link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2
l_373,,boundary,arterial,East,0.48007681228996646,1.8449204031666677,F,95.11297254975042,62.938214680546714,95.31776585544671,62.25874835829025
l_1868,,inner,arterial,CBD,0.5923390812162695,0.894655393096416,E,105.39462072232304,66.28764968796823,108.11669978191439,65.34510178786458
l_506,,inner,arterial,CBD,0.34657039711191334,2.9702778052028718,F,49.32606309764747,29.999946005263766,49.45148718222469,29.727381154535077
l_672,,peripheral,arterial,East,1.1089548100914888,5.46073432757201,F,93.44236204648575,18.699552901642477,93.72385727497958,18.640274484382697
l_2145,,peripheral,arterial,East,0.3090632807067247,0.7324440030066351,D,117.15978739784869,64.06842534598398,117.83308662414882,64.0288311646477
l_714,,peripheral,arterial,West,0.2729630135116692,0.7176272845369794,D,21.944412559906883,15.041487566721257,22.338514977887286,15.196464898997053
l_2514,,peripheral,arterial,West,2.892960462873674,1.3726899084399669,F,27.39870104203018,82.94845957163265,27.458301659133134,82.45241249870897
l_459,,peripheral,arterial,East,0,0,A,87.02028595681482,49.81818938328988,87.15738012577293,49.00485215917143
l_850,,boundary,arterial,West,0.3682563063892469,0.2138540446010702,A,46.520830725619874,67.83419521457432,47.50995239258099,69.59980472525197
l_290,,peripheral,arterial,West,1.260107109104274,0.5142885993393571,C,59.436040302780505,61.921607193387665,59.673136359685195,61.809142099580896
l_2043,,inner,arterial,CBD,1.9181585677749362,0.9436578353768093,E,54.10453983321792,58.12777182907482,54.601457003357595,57.956488700539424
l_1098,,peripheral,arterial,East,0.8783487044356609,0.906570288428199,E,65.5419863242516,21.674948605585637,66.1409750809709,21.15040717403214
l_1285,,boundary,arterial,East,0.5155746509129968,0.8657628882695532,E,63.73301721953026,63.842510507436664,63.89363691121102,64.29900298311922
l_410,,inner,arterial,CBD,6,7.102366273884574,F,85.50290607461442,62.95417671462451,86.0452887326778,62.89008241051103
l_1833,,peripheral,arterial,East,1.861619609059882,0.8330659054935972,E,72.79557261648976,77.72925969396898,73.0664042965219,78.26479248703758
l_1421,,peripheral,arterial,West,0.8512147543890761,1.7024546404612766,F,28.948483104308647,64.0474516095016,29.063093303299656,63.180523259673606
l_172,,inner,arterial,CBD,1.415261233636042,2.728474410412941,F,66.70966745550835,51.95011603128202,66.7451551400661,51.51703891544061
l_687,,inner,arterial,CBD,0.4660556159701724,0.4208151553434545,B,88.1860699810941,55.22893905573418,89.27113355970832,56.28989760791533
l_686,,inner,arterial,CBD,0.4660556159701724,0.5574038983458215,C,86.8129537423639,53.876017915405704,87.58820297558253,54.64542969440714
l_951,,peripheral,arterial,West,0.2729630135116692,0.4229386912779819,B,34.12039286685029,19.954308666811688,34.80641616675846,20.61742786010533
l_247,,boundary,arterial,East,1.260107109104274,3.692106896654964,F,82.82720406952839,46.46343850540144,83.04003216242377,46.21626127244332
l_1379,,peripheral,arterial,East,1.550287449131193,1.281980873310081,F,103.48067669638154,52.63864609996078,103.9397946473381,52.39596848608203
l_166,,boundary,arterial,East,0.48007681228996646,1.9813293784960906,F,94.25698014732225,64.84596163196238,94.42584210066914,64.57256242888025
l_1374,,peripheral,arterial,West,0.8326972451599473,0.9294653582071982,E,53.13224760755773,11.200773498730635,53.61726759322485,11.570233857453232
l_620,,peripheral,arterial,West,0.3331112591605596,0.6155174914424497,C,15.509063138464636,19.753075667460394,15.72932362367471,19.911227030447844
l_2425,,peripheral,arterial,West,0.5155746509129968,0.9213778539129822,E,60.96558566151634,56.43414488612076,61.44641818363301,57.74959335229004
l_1738,,inner,arterial,CBD,4.69006487923083,3.0852598668283533,F,68.14211873833149,41.221235801942,68.65618163480687,43.15766605149279
l_871,,peripheral,arterial,West,0.6052963430012611,2.212417113815889,F,31.34086020845276,66.46318605069304,31.66639987561787,66.43021838241287
l_969,,boundary,arterial,West,0.9590792838874681,0.9986572587260948,E,57.407573841442634,56.85090827522146,58.206780092184864,56.56595492603359
l_1441,SH1N,peripheral,motorway,MWY,0.06666666666666667,0.04790582564162252,A,49.46543214955634,61.239851465623666,50.157972579024026,58.55544635747299
l_971,,inner,arterial,CBD,0.9380129758461659,3.8760987438148367,F,66.73779684919414,38.16609945018584,66.89691065895856,38.541538023179406
l_11,,peripheral,arterial,East,1.9243104554201411,4.082874918418245,F,117.52679206590972,36.034785050545715,119.59191969872163,37.18539433148002
l_722,,boundary,arterial,West,0.8705114254624592,3.221336052688937,F,56.80777605478416,71.51022130093365,56.99111601630003,72.02035369645378
l_753,,inner,arterial,CBD,0.5469711472719815,3.098733696641011,F,108.46929287016145,59.77103292301137,108.85548333009355,59.493573287192135
l_208,,inner,arterial,CBD,0.47084673938632976,0.5648825525399804,C,57.578859904655694,37.82117309781113,58.14789152607042,38.02692282139855
l_903,,peripheral,arterial,East,0.43917435221783047,0.9033439484221485,E,70.74069647453153,19.49804875099083,71.21677563603794,19.381157638876196
l_328,,inner,arterial,CBD,0.4660556159701724,0.9721193388960977,E,75.63802827473823,40.974817400909345,75.97152524439069,41.37405555633217
l_48,,peripheral,arterial,East,0.7751437245655965,2.01913382580528,F,111.16009224621511,37.369775279737574,112.25637496368564,35.5385411198825
l_2634,,inner,arterial,CBD,0.43914220888531064,1.0744319393069206,F,70.25949686328485,71.1004970760738,70.51057471752485,71.74450261872121
l_370,,inner,arterial,CBD,1.4730252255569876,2.8896861058074492,F,51.09034813211472,78.66904767131466,51.73275430312918,80.49505218483208
l_150,,peripheral,arterial,East,0.6467608062951385,1.8144661545148066,F,77.93568061832971,30.040664160078066,78.20246890873756,30.36005164161466
l_1779,,peripheral,arterial,West,0.6052963430012611,2.311234418579683,F,43.21330632464109,64.13812082671996,43.80164882948441,64.20842743249491
l_86,,inner,arterial,CBD,0.6990834239552587,0.8346255370824112,E,77.47989218787542,42.99480779658112,80.05201178107251,45.703972737526854
