link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2
l_2253,,inner,arterial,CBD,0.43914220888531064,0.05855229451804142,A,61.21304726287594,49.80812068796445,61.57523606058552,50.5852230433357
l_1871,SH16,peripheral,motorway,MWY,0.42352941176470593,1.380600117915726,F,46.92062178451132,23.314496123849654,49.511344857629844,25.888536433079363
l_918,,boundary,arterial,West,0.7365126127784938,2.866540087741657,F,49.324280536344816,73.67454307841179,49.4389192227232,73.99675673960067
l_380,,peripheral,arterial,East,0.7544322897019992,1.0518473249962286,F,80.6244308433964,29.66663004599746,82.2458068459828,29.17718161179631
l_181,,peripheral,arterial,East,1.7800632911392407,3.0305945057892463,F,71.09092346605954,73.73375866135535,71.33102328162099,73.78338402757181
l_775,,peripheral,arterial,East,0.6467608062951385,0.7378724797601244,D,78.78051296407524,31.05205674766584,79.26963011395762,31.637598349774255
l_486,,peripheral,arterial,East,0.8783487044356609,0.6714595198610959,D,78.63389556618147,17.271209191065452,79.3914622053205,17.0950407249489
l_978,,peripheral,arterial,East,0.43917435221783047,0.6939713605021244,D,72.96847240440836,18.88937323681051,73.29293391250317,18.80230296617082
l_2443,,inner,arterial,CBD,0.2577873254564984,0.42178646217673643,B,58.56648394417951,50.12705980932227,58.908920125698145,51.012635085298065
l_1927,,boundary,arterial,West,0.5155746509129968,0.9351642928832329,E,61.74391316991776,58.55491233454933,62.04091213904489,59.333213682293284
l_897,,inner,arterial,CBD,0.718562874251497,0.45105969355835923,C,60.44267633854319,64.6327617430153,61.62087538525587,64.85432794689004
l_2458,SH1N,boundary,motorway,MWY,0.26666666666666666,1.754989164760381,F,55.196227636265796,50.10791671258873,56.236816790672194,48.764506272463414
l_417,,boundary,arterial,West,0.7365126127784938,0.37202563385532106,B,47.50995239258099,69.59980472525197,47.66855459712167,69.94823975047932
l_1366,,peripheral,arterial,West,0.4163486225799736,0.13699093865767575,A,53.61726759322485,11.570233857453232,53.90323809115761,11.75416517278411
l_194,,boundary,arterial,East,0.3592814371257485,0.2083703049257889,A,66.14286173603182,64.82514320490282,66.79143678056333,64.62401159445204
l_1672,,boundary,arterial,East,2.520214218208548,2.676966346554668,F,78.65124687623067,52.24326399052595,78.82161839585643,52.05092945751798
l_1807,,peripheral,arterial,East,1.260107109104274,1.3715118946694798,F,84.69935380385046,43.07749278340039,84.74751293230132,42.15769708901985
l_227,,peripheral,arterial,East,0.8783487044356609,1.0948114227272345,F,85.98618713567022,15.189215814380727,86.5916285183731,15.015838603926118
l_212,,inner,arterial,CBD,0.9416934787726595,0.44027749950624984,C,60.0476004068279,38.478461263363045,61.5204454732506,38.18109805684745
