link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2,model_version
l_241,,peripheral,arterial,East,1.9243104554201411,9.828408181032446,F,122.3702396828615,39.26859188617043,123.03438018628611,39.904819178716544,v3-2026-07-30-trip-suppression-fix
l_787,,boundary,arterial,West,0.718562874251497,1.42008762998578,F,57.25884768353421,64.12373676683629,57.75975764664811,64.16858437867349,v3-2026-07-30-trip-suppression-fix
l_1812,,peripheral,arterial,West,0.5904736911166514,2.1336622460613643,F,49.90940397851023,12.070740806355541,50.372327238151584,13.6027499728096,v3-2026-07-30-trip-suppression-fix
l_615,,inner,arterial,CBD,1.1047689191677408,4.046302388712893,F,52.39790150800914,82.37469043157401,52.78830011437159,83.50263199099263,v3-2026-07-30-trip-suppression-fix
l_2079,,peripheral,arterial,West,0.3936491274111009,1.5028585486746011,F,49.51565075152286,10.7536727531297,49.74686058908109,11.506169211820113,v3-2026-07-30-trip-suppression-fix
l_670,,peripheral,arterial,East,1.6409134418159443,3.120463973528789,F,114.75172089097913,62.0322947864568,114.96349959780188,62.89320071657305,v3-2026-07-30-trip-suppression-fix
l_763,,peripheral,arterial,West,0.5904736911166514,5.765168192472751,F,57.80877329498813,29.0603833529227,58.20392753524212,29.269328819141265,v3-2026-07-30-trip-suppression-fix
l_396,,boundary,arterial,East,4.162619675315665,2.874212824700846,F,90.9308499919602,57.85370365364385,92.08294553938917,56.670197145613685,v3-2026-07-30-trip-suppression-fix
l_902,,peripheral,arterial,West,1.446480231436837,7.52415165404812,F,25.445297927192893,77.00279068981494,25.67302331002008,77.56619041915954,v3-2026-07-30-trip-suppression-fix
l_38,,peripheral,arterial,West,1.2129963898916967,5.338140499295369,F,61.7574991780462,22.74462655540338,62.96845920756803,22.398014489575356,v3-2026-07-30-trip-suppression-fix
l_761,,peripheral,arterial,East,0.9701412094427078,4.324734959621275,F,74.1048044898563,25.084499075963524,75.35226787411736,26.710079365169303,v3-2026-07-30-trip-suppression-fix
l_298,,peripheral,arterial,West,0.9079445145018916,6.251163195509332,F,37.769562947338876,63.69718897123378,38.74567202353611,63.57123649077299,v3-2026-07-30-trip-suppression-fix
l_202,,boundary,arterial,West,1.1047689191677408,5.106128272747796,F,48.93391582845936,72.54659555733755,49.18592036398048,73.24465908987568,v3-2026-07-30-trip-suppression-fix
l_359,,inner,arterial,CBD,1.415261233636042,2.750823413420247,F,67.59393633821429,55.0959178438143,68.2312228555955,55.46254364541425,v3-2026-07-30-trip-suppression-fix
l_890,,peripheral,arterial,East,0.34657039711191334,5.36824272466099,F,63.552206767970176,22.225105963372908,63.89790921486616,22.11063317007872,v3-2026-07-30-trip-suppression-fix
l_131,,peripheral,arterial,West,0.9364026531408505,2.258296027474278,F,36.847573293286096,43.038958409692896,38.20542630021428,43.58168078036334,v3-2026-07-30-trip-suppression-fix
l_143,,boundary,arterial,East,0.9512485136741975,7.778166201987783,F,80.0505810352026,72.62242364508671,80.52577913799671,72.4514808872032,v3-2026-07-30-trip-suppression-fix
l_400,,peripheral,arterial,West,4.168596572487263,5.647678217729805,F,45.88089157914587,51.92742800306539,46.53102693386683,52.99656676705129,v3-2026-07-30-trip-suppression-fix
l_1839,SH1S,peripheral,motorway,MWY,0.1894736842105263,2.030960366394933,F,72.91381695536822,24.160559754214546,73.49056468457023,23.609380692674144,v3-2026-07-30-trip-suppression-fix
l_770,,boundary,arterial,West,2.520214218208548,2.4752636778021233,F,56.32606541401806,63.05982054201619,56.694073547401054,62.971980289645025,v3-2026-07-30-trip-suppression-fix
l_627,,inner,arterial,CBD,0.7365126127784938,3.900669355122338,F,52.902451861081026,83.79782671239595,52.99486639803911,84.09342026471842,v3-2026-07-30-trip-suppression-fix
l_65,,peripheral,arterial,East,1.8697413524462447,6.883678918946555,F,120.61412128457954,53.46347217081694,120.93405216628898,51.97101970489595,v3-2026-07-30-trip-suppression-fix
l_1795,,boundary,arterial,East,0.8204567209079722,5.67504997537905,F,111.9019693746437,58.46384737328874,111.9302646176877,58.8146676413356,v3-2026-07-30-trip-suppression-fix
