day,rule,regime,hour,fA,fB,fC,fD,fE,fF
1,El Farol,tou,5,130106.17169167938,19460.22298967624,4185.943550217183,2250.852860624665,1854.4976478043448,3484.8699064903444
1,El Farol,tou,6,276412.79944710113,246108.4086908423,157152.64580695334,73390.0213234554,33977.662370857375,123820.9374706496
1,El Farol,tou,7,158106.1502469859,227181.4797276875,278809.82660205045,438609.3307000975,298173.58077949757,1139590.4589625252
1,El Farol,tou,8,96599.4315985886,169918.64420069123,243759.40200287552,219551.50971634008,215898.29103542145,3556657.732800681
1,El Farol,tou,9,80030.45211814366,139802.81547093726,212795.54710585103,252154.130335341,173824.732435888,4948695.848225779
1,El Farol,tou,10,77991.98537482347,157132.31608479563,236602.26082988997,278838.90178106044,195384.1347384877,4288451.215487787
1,El Farol,tou,11,113127.97471606443,194617.69134283354,245264.8232062106,336266.57703841163,324662.9111975107,2612382.1499910634
1,El Farol,tou,12,152111.69750728793,209288.5108691858,281855.51877585746,420009.5861868463,249288.2067210632,1697422.5256814258
1,El Farol,tou,13,147744.28121237148,203066.91940448972,315592.6647506404,406321.6494855557,210030.75622168792,1564498.6611827544
1,El Farol,tou,14,156355.7450890664,162207.64646824656,349655.9259053615,491997.76049479924,168615.4981100482,1470521.496921464
1,El Farol,tou,15,165766.95823375168,197644.1024771543,402545.32943116984,437362.95816790196,317035.7505330883,1020057.579063381
1,El Farol,tou,16,151027.19292937493,171351.8354619964,342498.9445351398,391612.02257494617,381827.3406308266,1573249.1289360216
1,El Farol,tou,17,133314.78543783072,170565.1809609457,228835.07912350277,248521.01960228066,281595.35351574374,2782516.8934948216
1,El Farol,tou,18,119045.24522782517,143114.907688456,245682.32224488532,270007.20710247353,195703.64167710725,3249878.5217131986
1,El Farol,tou,19,123162.70923940113,158105.02854812046,265601.76114467304,307398.5608115073,283123.6287275506,2671270.729754675
1,El Farol,tou,20,149000.2389478728,231557.52886696334,293923.6623482813,420029.38710288255,292137.95302072127,1451451.0205924993
1,El Farol,tou,21,215817.49256489644,239611.39414224098,447517.4482455074,293161.2258795656,187394.8048562649,528046.1471629092
1,El Farol,tou,22,241055.65153346473,342379.4566294893,303982.0373243935,166781.23403290025,69865.59663935966,238931.00821697127
1,El Farol,tou,23,357516.99707069836,215908.5312421082,132489.55765790027,101488.71706280428,35030.153519595784,82522.04999709225
1,El Farol,tou,0,405611.3531261389,119150.03262894896,101194.44542414119,39703.84124492083,19646.459945620212,50896.68240654251
1,El Farol,tou,1,386226.3893212546,126809.60516609199,76834.07602689801,25989.3353216105,25222.941354354898,80099.0195131931
1,El Farol,tou,2,355131.6800303895,146544.16125613012,89420.84964972147,31074.946442099903,19314.96619780948,76931.29625742219
1,El Farol,tou,3,343479.1687112202,140642.089669726,80183.14725741633,15414.054412562478,16495.9984302349,55503.249233921466
1,El Farol,tou,4,348865.01621376054,109727.09220990384,73211.99184413775,19075.616806440026,9159.5072204809,41043.20273455831
2,El Farol,tou,5,175757.4213168642,34783.304397416934,14484.086502390135,6571.843794420575,1970.8636667257688,9895.567808703572
2,El Farol,tou,6,346259.1141732659,252204.53946668163,145219.70645423274,101841.8278054556,70928.00582802664,183966.55222852266
2,El Farol,tou,7,164009.40902733427,247362.86652950992,327691.88507344044,345936.76609887724,235297.77796661624,1150745.5271293435
2,El Farol,tou,8,91543.66692415203,171129.4256312013,207271.1824590153,210441.63641368522,178801.63611521848,4168702.7593186125
2,El Farol,tou,9,69395.63418048843,117954.8834371927,233124.33761881673,209640.67124586424,195378.33868021242,5733561.899557556
2,El Farol,tou,10,67476.48266216232,155528.65210188174,258993.12411791537,250642.9106307147,219711.00683362005,4847586.368380332
2,El Farol,tou,11,98947.10650226327,205790.99968691837,255261.93920082197,269301.1820905313,266016.9647034566,3215791.802735111
2,El Farol,tou,12,126306.6267631269,198979.90326301425,279121.9828067532,317596.630046342,287017.0820149472,2391710.01140532
2,El Farol,tou,13,136376.41696257447,201256.19234037952,232299.63252538416,417921.11421862146,249931.55080565816,2115840.124384151
2,El Farol,tou,14,155851.12449156475,178476.72211093872,293093.73995570175,433774.77553620824,213542.21515433633,1842404.504763763
2,El Farol,tou,15,153244.43242523156,185927.82972434533,264058.1609728378,424654.2626042328,273248.07909507054,1873541.8500779152
2,El Farol,tou,16,124832.66684377755,200876.62567096512,205230.4639317541,355131.9070775848,334091.3987419656,2628722.8915862483
2,El Farol,tou,17,97075.37911110824,158573.44056575542,213542.8450986776,203523.09560049826,226923.79404679593,3817318.9871565215
2,El Farol,tou,18,99551.09198784849,164338.90756885384,216116.3240851008,204113.43216078074,165293.38873981131,3978984.0603235085
2,El Farol,tou,19,114515.87797912923,191394.74293801206,172667.13693356936,251237.78091705331,218207.7674628666,3166698.9114866666
2,El Farol,tou,20,135424.63763486114,205449.96431422653,244612.191739984,370414.6220060962,354204.6141723721,1887608.71824554
2,El Farol,tou,21,169091.85317058497,238243.64470711295,346967.6393569388,445632.2286503078,275685.4645823455,948352.9364330439
2,El Farol,tou,22,207493.44321696094,297646.89514680934,409274.0081695328,217716.0206341919,115259.64559018053,437093.53594309185
2,El Farol,tou,23,303478.38887965045,307982.6591332411,173427.6359169701,90606.16130640675,43973.4463510301,155261.74353333435
