day,rule,regime,hour,fA,fB,fC,fD,fE,fF
1,Exp-Decay,No-Charge,5,109953.73420972354,12507.802481667091,2953.431573392727,2337.259582789735,1407.0926963358233,1635.721942341913
1,Exp-Decay,No-Charge,6,282669.1457741272,231769.85310239444,124762.98446269955,78232.58252499481,24976.029357367373,110179.58868135906
1,Exp-Decay,No-Charge,7,163234.88501628046,222727.6120549035,294745.3640482512,419889.050594465,249803.43597446644,1139002.876067773
1,Exp-Decay,No-Charge,8,102112.95675910241,163871.44025319704,254402.63481496315,212004.60495779052,182876.86103891404,3595699.405148296
1,Exp-Decay,No-Charge,9,72549.70396547127,136943.94223810977,234625.59378817707,220423.4681483166,187565.3987066109,4972839.04422142
1,Exp-Decay,No-Charge,10,67703.19211564245,178886.14497763096,227458.70210633028,286973.7699986812,200316.77375330823,4238365.340723441
1,Exp-Decay,No-Charge,11,124536.40073602126,206949.8304133025,201448.84036589327,306337.5568361745,347436.82414324785,2608387.2791671255
1,Exp-Decay,No-Charge,12,163734.94366329967,175465.85675815286,287066.201166458,390307.97998680855,298525.47704338306,1770557.00536573
1,Exp-Decay,No-Charge,13,146522.55862869375,192016.74244396255,317224.80615981715,478571.72955383273,167131.19534331403,1599898.6449813778
1,Exp-Decay,No-Charge,14,153931.4073052367,174386.92743569004,358085.0948071647,441705.45482027915,269883.86655886413,1353185.8559043135
1,Exp-Decay,No-Charge,15,158443.90015956617,216184.12365343273,395503.99374727637,443171.8289969444,266680.4799125274,987622.4966673126
1,Exp-Decay,No-Charge,16,153299.74488033107,198466.69613254687,322789.46813041903,334279.98217042757,382635.13301717053,1479489.3699119
1,Exp-Decay,No-Charge,17,127399.72956575766,182890.5931225261,223567.5527540697,241362.7370565013,299089.63939334726,2674966.221247653
1,Exp-Decay,No-Charge,18,116493.49271398385,146929.46927366385,268326.3340074629,236639.52843346944,180499.11039360985,3269538.0649666367
1,Exp-Decay,No-Charge,19,114217.57044764791,172335.36774906763,274484.0467138396,290580.71550554794,232140.09198429427,2810040.1102088913
1,Exp-Decay,No-Charge,20,141138.82085103638,223514.3138563241,284751.4699522312,409162.79897279484,306152.06197365874,1564484.8455558342
1,Exp-Decay,No-Charge,21,199238.17572721263,241432.2857521385,454033.6708940865,301014.133260987,182867.97960864336,510309.8692379785
1,Exp-Decay,No-Charge,22,254356.73617832322,331166.1219900829,279112.24663392745,150092.43338450132,88774.77061283948,176383.70650130717
1,Exp-Decay,No-Charge,23,369627.27441960166,186755.24834931956,122472.9896324141,70819.59439737572,15544.562684031476,59084.18977323049
1,Exp-Decay,No-Charge,0,377378.14934901573,112170.77550698974,80414.22040324763,43836.84712486999,7676.87027037963,41150.65566069763
1,Exp-Decay,No-Charge,1,378562.4916181663,102643.62385641212,86496.09005484912,28263.89123508133,25837.993203989718,65981.13504066253
1,Exp-Decay,No-Charge,2,358378.07863713545,123273.99118303023,100527.1420148077,41609.9929101119,28046.98742857609,71712.08920498425
1,Exp-Decay,No-Charge,3,350109.04135379853,126617.31346640698,63890.372211766575,19479.454468773285,15854.3385783647,53101.76166884603
1,Exp-Decay,No-Charge,4,369314.2193446192,103652.775903671,52127.24170852646,12380.990073249315,5129.220732915552,36682.765345071886
2,Exp-Decay,No-Charge,5,175081.01997788972,17174.85807127439,4575.955078370289,2197.0233572744123,2366.769468779278,9012.156258383558
2,Exp-Decay,No-Charge,6,296254.4831622416,179652.06344396845,130256.06935614,72323.96161269717,24305.910783787967,123733.6501241832
2,Exp-Decay,No-Charge,7,198274.09976856335,189564.80177470416,328931.6840422829,306727.23417962866,237101.67699684342,994873.8848519536
2,Exp-Decay,No-Charge,8,129099.68881608947,160202.55219244573,167174.6023262537,225075.23074378405,193479.1128077504,3594632.657309087
2,Exp-Decay,No-Charge,9,91791.74279429314,148527.00140508954,240428.7169549366,175868.29447696087,166495.5221167704,4610148.067363296
2,Exp-Decay,No-Charge,10,100842.10911101532,158600.69928562597,198267.12952248208,246711.55997451284,237205.8442399076,3932128.8396647205
2,Exp-Decay,No-Charge,11,127637.61687929257,170824.62903089006,236585.05195495952,264447.5361322174,208916.16057281336,2918330.8964884854
2,Exp-Decay,No-Charge,12,157763.64377395547,181912.910623094,256182.31856797193,285748.68184710667,353378.704260545,2083876.5674552086
2,Exp-Decay,No-Charge,13,161719.28438369988,192417.54928333903,346085.88446641364,399135.597200186,176527.07175734246,1664066.2370508306
2,Exp-Decay,No-Charge,14,159118.1678919644,231036.10416432307,313571.87358718924,324210.9604338944,309667.9824258626,1452826.6196860445
2,Exp-Decay,No-Charge,15,151909.52597487246,199258.77515843677,373430.77622302936,346193.59540969867,252628.2500007067,1523000.1677159024
2,Exp-Decay,No-Charge,16,129726.0430091388,194517.26038146365,238341.13310548587,422021.5730195421,319461.63495701656,2017944.1977198017
2,Exp-Decay,No-Charge,17,118032.4264221068,182189.59973307114,192223.22489106053,265412.6761939202,330913.84594905376,2925175.6127357874
2,Exp-Decay,No-Charge,18,92970.5844013054,210904.3150456813,272118.80825960153,276885.3215574884,210302.23466599357,3111328.947620886
2,Exp-Decay,No-Charge,19,135643.657230645,193609.20794043396,199674.60733590432,313124.3333402891,239630.99956776475,2598195.92843971
2,Exp-Decay,No-Charge,20,170055.59641938627,195737.03706855566,291148.45140048774,473417.05576857575,330718.4350442816,1286783.960116045
2,Exp-Decay,No-Charge,21,211267.04891190963,331506.1656612122,413846.7288938399,227831.4142734615,131548.96373327292,406954.988099076
2,Exp-Decay,No-Charge,22,364186.2660737131,282752.3208828338,130646.84835122744,68065.87744826972,29686.9580637971,124027.79676714825
2,Exp-Decay,No-Charge,23,424437.00042489934,137310.35596688962,50694.728987813134,26210.601938864147,11053.0676257186,52597.8369718491
2,Exp-Decay,No-Charge,0,431197.29140476347,93070.8164429446,51809.28567837764,23805.072783198546,6519.353057161207,44185.12270035822
2,Exp-Decay,No-Charge,1,416965.83207550534,106381.6075973722,45003.781699301275,21932.911107020198,7250.041045066539,47707.247037108755
2,Exp-Decay,No-Charge,2,379116.5073583663,87759.57518259952,44388.79852637153,12676.4852670934,4837.528950071288,41479.66676916484
2,Exp-Decay,No-Charge,3,341853.1683063555,73193.10256583459,32159.375323073666,7898.174823069774,2938.0410593938363,34536.16773576948
2,Exp-Decay,No-Charge,4,333268.3850784002,61585.898953694814,51291.60873625057,9334.958777473672,3382.472196224363,42189.60874244421
3,Exp-Decay,No-Charge,5,121709.57838065138,30214.14053691807,16853.839119548444,8197.483167790846,2663.7282446973036,1809.2762056697454
3,Exp-Decay,No-Charge,6,301915.83110148803,243033.68953245328,110287.41590720537,74104.93157146017,43567.201710030444,104274.75764634047
3,Exp-Decay,No-Charge,7,160592.79465561776,228931.19302920898,319651.99647975696,363494.93759746244,248568.97603399918,1127674.671864242
3,Exp-Decay,No-Charge,8,102823.70747175715,165932.87725515454,244324.99716740678,263717.98929881386,183941.9474474973,3603883.9659118718
3,Exp-Decay,No-Charge,9,90096.38042204666,149322.9787038652,214164.89772400915,265284.68070064945,153211.68996275935,4837560.859103254
3,Exp-Decay,No-Charge,10,98125.61422373621,171736.57378098584,255855.68165308263,265258.7032524955,155128.6530034753,3915420.89997707
3,Exp-Decay,No-Charge,11,122539.82992181694,202799.9844424712,266389.35858476046,282340.34564336744,264194.2123980033,2641329.918960104
3,Exp-Decay,No-Charge,12,155020.3328514729,222166.3340931789,256743.31976869405,476390.89142403385,259808.92307503024,1774155.8419172054
3,Exp-Decay,No-Charge,13,172700.71333716414,194010.03421037263,390511.30982196244,377480.6236171948,186810.8164333814,1474293.609275702
