day,rule,regime,hour,fA,fB,fC,fD,fE,fF
1,Exp-Decay,tou,5,112893.47385772638,8530.54071889321,3093.4539062604613,2070.160065143095,455.1023743215575,270.94608560274236
1,Exp-Decay,tou,6,334844.72375462746,106151.80542736665,60458.541274155454,38501.32932669377,17537.791161763427,42207.06549184412
1,Exp-Decay,tou,7,238824.8913297746,292605.4420402401,317805.3548575334,233070.7449743266,106365.7142700746,337757.28910767986
1,Exp-Decay,tou,8,129091.09782257912,194372.44822091763,233788.89415245855,397434.2018940249,270768.44336132135,2021877.1833815714
1,Exp-Decay,tou,9,98852.17262032598,189131.54276168373,193907.12462337018,252626.0496975248,231505.40876473577,3342576.557119808
1,Exp-Decay,tou,10,126818.53872192647,205915.34972298308,215165.35939705675,318252.5923693003,272312.33322258707,2578397.8393991957
1,Exp-Decay,tou,11,173861.41446460702,199325.3156103592,328470.12766942923,397140.0287478285,240073.90802698623,1339616.3811411085
1,Exp-Decay,tou,12,212473.9111722606,246702.904116401,413318.3461040933,329192.50216259115,163305.0305590621,539830.4603587415
1,Exp-Decay,tou,13,225921.67799035396,292686.979620829,412924.4827124898,214056.2842329726,125515.34651890556,358309.07072381827
1,Exp-Decay,tou,14,225243.65965803474,353650.82684091316,309141.9559696515,150045.5247274116,105129.82461236989,291824.9380472183
1,Exp-Decay,tou,15,212808.83484627953,366580.4512019797,360451.48046534794,191112.91927331116,94081.8749615062,315180.55120076204
1,Exp-Decay,tou,16,191699.32101733648,207699.40797711356,478680.2831832241,386923.4595511254,144659.27089958207,561294.3378772631
1,Exp-Decay,tou,17,157376.68865549727,185195.41134947308,285647.84328075557,404992.82664939447,342385.9105080162,1399196.047884307
1,Exp-Decay,tou,18,126065.143581705,221438.77475195818,279300.8966269913,349873.98185636644,365058.16706589324,1797846.687893279
1,Exp-Decay,tou,19,175544.9254712832,216544.99151824898,296743.0719129624,467903.0807842238,295040.3659297364,1116962.8302498537
1,Exp-Decay,tou,20,224211.6590912101,275539.029843468,400553.0263496586,268561.32442765724,142313.5205777397,371507.4743971248
1,Exp-Decay,tou,21,324456.456818748,302284.46327191184,172609.35774627057,82276.46803935438,49066.111158461135,126392.95083646016
1,Exp-Decay,tou,22,403786.355158361,136497.27296751333,66802.71288479112,37702.013684420854,15047.617879041994,50293.75725274828
1,Exp-Decay,tou,23,359288.04586625256,66167.2935305383,32379.486638671737,11556.481108082262,4141.884793223529,32188.540927582
1,Exp-Decay,tou,0,286517.3929067798,31249.419767952815,5741.834444905996,7409.075176490256,5780.468680193092,6261.038871242767
1,Exp-Decay,tou,1,250661.46056543052,37994.00692002313,6432.138054479206,8487.568222782316,2672.2305824049363,3689.7355073043586
1,Exp-Decay,tou,2,293996.14283177094,68311.27074964264,39373.30521057364,4956.058484112058,3174.2612146910674,34628.804689935445
1,Exp-Decay,tou,3,282926.67640927737,88923.32690331586,18678.842000477827,10113.20046677018,3118.6189719319796,34931.03685166507
1,Exp-Decay,tou,4,255742.038983704,45633.49646721303,9011.191076272822,4754.68560434328,2636.057333638876,21393.461868053186
2,Exp-Decay,tou,5,120764.11857193992,17674.5690063294,2290.4461469021103,1275.5020404931954,1623.76387499305,813.4102168382971
2,Exp-Decay,tou,6,337747.7140010363,114423.22073552044,38569.58024982137,24445.23077274081,14092.441864689796,47744.67592921689
2,Exp-Decay,tou,7,218144.56928236663,289078.9034800488,318296.2849315856,258452.4567650953,153807.45649539048,497246.6785670703
2,Exp-Decay,tou,8,135952.82123879596,144403.80196448334,230371.29377312204,343429.9607967892,377226.56434929353,2152243.1792830485
2,Exp-Decay,tou,9,130465.40801908461,135912.88618567152,158250.20604179805,235708.38909165876,187119.13277941823,3474197.773726848
2,Exp-Decay,tou,10,120708.99866073592,177826.55612339178,174776.5220490656,355454.2352938741,296724.5051274938,2783741.36295678
