day,rule,regime,hour,fA,fB,fC,fD,fE,fF
1,Q-Learning,No-Charge,5,116123.8525160263,14424.845976803272,2743.1484475552256,1139.0904190266276,719.8412631160859,350.9069276457886
1,Q-Learning,No-Charge,6,329377.95953918726,135041.3915847136,89915.26751311761,36710.3218334569,18557.251359357226,50265.479648604756
1,Q-Learning,No-Charge,7,208009.524435171,269733.38457781076,334213.00930447126,306396.486148524,174014.03314167287,520961.84218895406
1,Q-Learning,No-Charge,8,112260.09417162045,184875.98000038994,257462.67319332407,240852.99413959568,222985.86558932008,2795496.433167612
1,Q-Learning,No-Charge,9,93453.06522491173,170711.8953366132,228372.53532941782,218791.2499562295,157916.61948987836,3808383.600274509
1,Q-Learning,No-Charge,10,106466.75765401774,204154.3936102857,187691.25120724176,280165.37829533574,256870.0381114377,3120652.1696913973
1,Q-Learning,No-Charge,11,155311.06547225537,211263.14546458013,270151.7419148925,361901.9616721518,224862.6326892423,1985612.994575537
1,Q-Learning,No-Charge,12,193197.7675366604,176300.72198968107,406940.01818226406,347890.57767238136,228885.66332496027,1001290.5425296259
1,Q-Learning,No-Charge,13,219126.160027291,221634.98458886598,413974.3960661454,294484.03593699244,168973.7634560799,524192.70402691327
1,Q-Learning,No-Charge,14,218726.40318142946,339943.91181435256,328741.03906336694,215640.78196292627,115410.33900796475,393863.6990942634
1,Q-Learning,No-Charge,15,216569.9698024076,254016.22319346815,431383.13046074135,288553.6434673783,113065.30721525975,413304.8322201041
1,Q-Learning,No-Charge,16,178475.2542005395,184033.93907938505,370305.9643780334,431711.42505056836,245052.8865122346,836154.0202193812
1,Q-Learning,No-Charge,17,146511.21017132438,177424.2291411097,228494.9717519405,379896.73857339926,299173.47140011116,1819202.6975029076
1,Q-Learning,No-Charge,18,126753.17693206639,213505.47284985206,194181.76415759698,388377.891079935,316355.94349681446,2081610.5382213604
1,Q-Learning,No-Charge,19,167188.39086770706,184898.8374602637,304368.27210764406,415653.89517614176,276076.67766844324,1309610.70996705
1,Q-Learning,No-Charge,20,208330.76351648488,256809.47922289238,426578.5460704785,259807.88815006346,153279.58110118116,388440.66917700495
1,Q-Learning,No-Charge,21,289978.196690244,323562.04941799183,193378.86483583754,92756.25697631517,31291.03946195874,118610.97217060457
1,Q-Learning,No-Charge,22,380567.7809065057,143431.94540594917,87631.4936840853,34796.55650334504,17353.593227413,50307.81191573533
1,Q-Learning,No-Charge,23,351693.73225727695,114650.16962366691,49854.581253370634,14877.30689168416,4983.662341648996,41455.96035595096
1,Q-Learning,No-Charge,0,306037.954516264,75494.67062180076,23469.5907896156,10611.099434524598,8343.546851883546,16305.359525193218
1,Q-Learning,No-Charge,1,297422.00338780216,53764.5426305567,14054.415418986786,7040.952999587054,5546.189267718315,12403.993809283087
1,Q-Learning,No-Charge,2,304408.1643435743,83784.2459393527,42556.99551431399,9963.399173386193,2953.516629433505,29251.663644437107
1,Q-Learning,No-Charge,3,297256.6721261453,81629.28560069612,32633.53782525208,12164.575639204122,980.0058005475195,33331.46997806682
1,Q-Learning,No-Charge,4,296796.82128541835,68335.50240423721,25261.33967993582,9643.947602211578,3583.196406185481,28592.2429467558
2,Q-Learning,No-Charge,5,122583.80487315106,9932.983033867209,6064.387672161215,1197.6339184850635,1395.5927383687936,795.9141487350224
2,Q-Learning,No-Charge,6,350804.63475228334,165839.65815444215,83883.68728460862,30895.122045388078,12426.429150965998,54273.39186470676
2,Q-Learning,No-Charge,7,224214.66555650238,283054.32538172154,422366.1885173623,199230.9370412544,108616.4120519459,398126.0034542722
2,Q-Learning,No-Charge,8,144164.3068639374,168857.4829895714,237422.48628970433,408300.20033424825,306133.8287438065,2068419.3114334897
2,Q-Learning,No-Charge,9,94570.67301455983,166582.01891473136,254323.2778164804,176376.32182011553,211299.6340184487,3736247.5875863973
2,Q-Learning,No-Charge,10,106014.94969515278,201821.0341905036,212481.6834867907,246673.24937325632,237811.16052980672,3354571.657613745
2,Q-Learning,No-Charge,11,145201.18486778063,218969.624202916,281353.63439980114,370186.01026125834,208922.8194984336,2024874.1317944184
2,Q-Learning,No-Charge,12,195552.54651497907,235516.65305579512,344905.376316597,215402.12735539093,189536.52099934872,1316129.867123404
2,Q-Learning,No-Charge,13,173640.4051064353,252903.89616585226,397980.1362755129,243218.54913906788,200090.51585625645,859053.1676829524
2,Q-Learning,No-Charge,14,180643.6550891246,283560.7351720739,402108.02402668726,307572.94221029326,179310.5406945284,588967.8952203485
2,Q-Learning,No-Charge,15,190764.47062140703,211778.09195024712,464245.8711660381,304732.7782022069,178167.79741869506,551090.328063258
2,Q-Learning,No-Charge,16,193341.79276831608,243969.29098636334,381185.1055707944,338805.6195932248,239307.41933081532,752628.3141264622
2,Q-Learning,No-Charge,17,155075.61071242456,204857.2469346595,240537.80317295363,382099.0046367014,368926.96707868966,1569311.8566801376
2,Q-Learning,No-Charge,18,140146.6526197384,197410.0369291948,277842.1665440346,380316.0032051086,365904.78035966697,1701760.6323023248
2,Q-Learning,No-Charge,19,152971.68675291268,198758.32432805948,340348.6000671114,424370.8846431562,241036.65451250403,1354531.3904889028
