"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"akl_traffic.nlogo"
"paper-figs"
"08/06/2026 04:31:00:197 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"1","Exp-Decay","No-Charge","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Q-Learning","tou","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","El Farol","tou","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Exp-Decay","tou","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","El Farol","No-Charge","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Q-Learning","No-Charge","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Exp-Decay","tou","14","1","1","0.07898121818838348","0.4383078758245375","0.08614736673261351","93.02583101464178","81.67417138798554","89.37368802200463","83.76877366101282","87.07646542581655","77.29144613349173","86.35182426896812","83.31920103610486"
"4","El Farol","tou","14","1","1","0.11687938425359243","0.494742953858626","0.09832644902254226","92.83703421594119","91.37702030369145","91.28767839863794","85.13232136219537","87.34384255569692","82.84372367896786","87.14386628898502","84.7188025205349"
"6","Q-Learning","tou","14","1","1","0.11760843928604141","0.48754786329302763","0.08801453220283693","92.33781861968478","90.10497863704087","90.41327324289126","85.03536337395208","86.85033190220192","80.87634832912146","86.68445053093588","83.53500131660113"
"5","Q-Learning","No-Charge","14","1","1","0.11760843928604141","0.48754786329302763","0.08801453220283693","92.33781861968478","90.10497863704087","90.41327324289126","85.03536337395208","86.85033190220192","80.87634832912146","86.68445053093588","83.53500131660113"
"1","Exp-Decay","No-Charge","14","1","1","0.11002846511464752","0.49779311304815677","0.08917217260727155","94.12256338528692","90.12306649856976","90.50269169490822","86.1696133691741","87.06549821300162","81.88419823114971","87.3722441372024","84.99085004644897"
"3","El Farol","No-Charge","14","1","1","0.1280140127054032","0.6228038461118236","0.10046835409728837","93.60737224510471","93.55965613736866","92.01000856898247","86.04622465662911","87.38293928394208","86.41383649610646","88.18749737393134","85.10376465098408"
"2","Exp-Decay","tou","14","2","2","0.12097163849234234","0.5153289924126319","0.0711491573551","92.11303222815702","85.3439146174044","90.62302151913316","86.58031932458306","86.67041352747121","74.79301500672268","84.20536252269949","81.63746015721665"
"6","Q-Learning","tou","14","2","2","0.10410630523879143","0.630201508183863","0.08628403501930425","93.21001510780656","87.5303903024005","91.30811178211535","87.7868913882128","86.81326750121987","80.76392490857147","85.29083234439118","84.02623216790985"
"5","Q-Learning","No-Charge","14","2","2","0.10410630523879143","0.630201508183863","0.08628403501930425","93.21001510780656","87.5303903024005","91.30811178211535","87.7868913882128","86.81326750121987","80.76392490857147","85.29083234439118","84.02623216790985"
"1","Exp-Decay","No-Charge","14","2","2","0.0983197856424951","0.5314290038919012","0.09411341749946596","92.74132208345931","88.60075193636013","90.75090532637859","86.78573876368483","86.73711826202953","81.77781098539131","86.85901016489761","83.72333881147902"
"4","El Farol","tou","14","2","2","0.16276710730724306","0.7996160423687316","0.12034917807129869","94.79531655283272","93.13463676028825","91.78902610424113","88.07774530625794","86.7570293625975","86.49859413618516","88.74389091771387","84.69939933517723"
"3","El Farol","No-Charge","14","2","2","0.15546611314838601","0.7513670988188438","0.1049316130531457","94.20793233086492","93.34650800033158","91.51567973054007","85.9217118891491","91.71902767501396","87.60887652873609","88.70207214214696","84.38923924598181"
"2","Exp-Decay","tou","14","3","3","0.09619686419538055","0.47774708163992735","0.08143819549774098","91.85003955279092","82.20885176505652","89.96012039027211","83.95213999319151","86.61422148419778","74.35929285499456","83.30423127270215","82.26445205896337"
