"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"retiming-rerouting"
"07/28/2026 09:58:48:049 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","allow-rerouting?","allow-retiming?","sched-delay-cost","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","count vehicles with [enters-cbd? = true]","count vehicles with [hour-shift != 0]","table:length path-cache","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""MWY"""
"1","Exp-Decay","No-Charge","true","true","0.6","14","0","0","0","0","0","0","0","7265","0","0"
"4","El Farol","tou","true","true","0.6","14","0","0","0","0","0","0","0","7265","0","0"
"2","Exp-Decay","tou","true","true","0.6","14","0","0","0","0","0","0","0","7265","0","0"
"3","El Farol","No-Charge","true","true","0.6","14","0","0","0","0","0","0","0","7265","0","0"
"5","Q-Learning","No-Charge","true","true","0.6","14","0","0","0","0","0","0","0","7265","0","0"
"6","Q-Learning","tou","true","true","0.6","14","0","0","0","0","0","0","0","7265","0","0"
"2","Exp-Decay","tou","true","true","0.6","14","1","1","0.08176617984824572","0.13600056184445658","0.0528707925933119","551","16","4678","78.16438436175939","52.09561615459642"
"1","Exp-Decay","No-Charge","true","true","0.6","14","1","1","0.13773633458731988","0.19821899301594706","0.06326999751404652","767","0","5244","86.74617068239888","72.57779937430277"
"5","Q-Learning","No-Charge","true","true","0.6","14","1","1","0.1461540485601804","0.2219646169101495","0.07394978456720264","1117","765","6197","91.29642238299503","89.32952352200729"
"6","Q-Learning","tou","true","true","0.6","14","1","1","0.1461540485601804","0.2219646169101495","0.07394978456720264","1117","765","6197","91.29642238299503","89.32952352200729"
"4","El Farol","tou","true","true","0.6","14","1","1","0.19066197041191285","0.44482771364905915","0.09660949869570545","1403","0","6947","95.1020654504584","89.6158932407461"
"3","El Farol","No-Charge","true","true","0.6","14","1","1","0.19066197041191285","0.44482771364905915","0.09660949869570545","1403","0","6947","95.1020654504584","89.6158932407461"
"2","Exp-Decay","tou","true","true","0.6","14","2","2","0.13215172371677575","0.17752193418021825","0.05674989326229432","585","16","4761","80.23924637171802","26.11915016740401"
"1","Exp-Decay","No-Charge","true","true","0.6","14","2","2","0.11882785468078591","0.2192054677545458","0.07021290445140461","759","0","5265","85.53418330314307","59.25841723549377"
"5","Q-Learning","No-Charge","true","true","0.6","14","2","2","0.13020355557659646","0.19679882727472348","0.081291262760107","1139","752","6228","92.21603490650361","62.3214912499645"
"6","Q-Learning","tou","true","true","0.6","14","2","2","0.13020355557659646","0.19679882727472348","0.081291262760107","1139","752","6228","92.21603490650361","62.3214912499645"
"4","El Farol","tou","true","true","0.6","14","2","2","0.17963525080557355","0.4053485176674791","0.08818860172942328","1388","242","6892","96.44059570005795","77.31487407655206"
"3","El Farol","No-Charge","true","true","0.6","14","2","2","0.17963525080557355","0.4053485176674791","0.08818860172942328","1388","242","6892","96.44059570005795","77.31487407655206"
"2","Exp-Decay","tou","true","true","0.6","14","3","3","0.1219879975074392","0.21773167586421782","0.05384850353266859","586","22","4746","78.43752415831584","28.660478569229596"
"1","Exp-Decay","No-Charge","true","true","0.6","14","3","3","0.15450335193268747","0.2351300606095145","0.06598787494185683","779","0","5322","87.0441002755497","61.51702337388438"
"5","Q-Learning","No-Charge","true","true","0.6","14","3","3","0.13305286629057894","0.22749404887057165","0.08474332821641792","1112","699","6179","90.7208539297727","65.6465043933692"
"6","Q-Learning","tou","true","true","0.6","14","3","3","0.13211184345847005","0.20890069375219944","0.07696584088678754","1094","723","6130","90.72609691165441","62.34377605362447"
"4","El Farol","tou","true","true","0.6","14","3","3","0.15473594100921478","0.5647708341853698","0.0960852673555374","1400","182","6949","96.83301249174373","83.38413093614504"
"2","Exp-Decay","tou","true","true","0.6","14","4","4","0.09430638733569882","0.18162863045876215","0.07315136104068556","598","15","4810","76.94708481424153","27.610751120073928"
"3","El Farol","No-Charge","true","true","0.6","14","3","3","0.15473594100921478","0.5647708341853698","0.0960852673555374","1400","182","6949","96.83301249174373","83.38413093614504"
"1","Exp-Decay","No-Charge","true","true","0.6","14","4","4","0.13283721408387042","0.24454532126424625","0.06806486803661956","778","0","5332","85.65627969553233","53.88966932172594"
"5","Q-Learning","No-Charge","true","true","0.6","14","4","4","0.16073956016527124","0.29241762249549613","0.07894176457473154","1103","690","6159","91.47542733770766","71.45631323950855"
"6","Q-Learning","tou","true","true","0.6","14","4","4","0.20816698679480866","0.2303818873223275","0.06564491635325807","1060","713","6066","91.66466247141298","66.26296953599851"
"2","Exp-Decay","tou","true","true","0.6","14","5","5","0.08549907446137785","0.15690264940034054","0.08860839376212093","592","12","4829","78.75486352858282","27.654763983233902"
