"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"/Users/hshi103/github/SSC2026/netlogo/akl_traffic.nlogo"
"sensitivity-elfarol"
"06/29/2026 10:54:09:165 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","el-farol-threshold","n-sim-days","[step]","peak-vc-inner","current-sim-day"
"2","El Farol","No-Charge","0.6","20","0","0","0"
"1","El Farol","No-Charge","0.5","20","0","0","0"
"1","El Farol","No-Charge","0.5","20","1","0.5293157489901386","1"
"2","El Farol","No-Charge","0.6","20","1","0.6619350661256539","1"
"1","El Farol","No-Charge","0.5","20","2","0.18174745688031002","2"
"2","El Farol","No-Charge","0.6","20","2","0.2884413533169804","2"
"1","El Farol","No-Charge","0.5","20","3","0.578979572560479","3"
"2","El Farol","No-Charge","0.6","20","3","0.79666882557565","3"
"1","El Farol","No-Charge","0.5","20","4","0.18273699845005825","4"
"2","El Farol","No-Charge","0.6","20","4","0.19348488049938123","4"
"1","El Farol","No-Charge","0.5","20","5","0.7394065985129108","5"
"2","El Farol","No-Charge","0.6","20","5","0.6609757297071164","5"
"1","El Farol","No-Charge","0.5","20","6","0.22374986155553214","6"
"2","El Farol","No-Charge","0.6","20","6","0.21266943018608195","6"
"1","El Farol","No-Charge","0.5","20","7","0.7058326232242808","7"
"2","El Farol","No-Charge","0.6","20","7","0.6883129755449452","7"
"1","El Farol","No-Charge","0.5","20","8","0.12550257281614613","8"
"2","El Farol","No-Charge","0.6","20","8","0.19410219382783261","8"
"1","El Farol","No-Charge","0.5","20","9","0.6189857723101387","9"
"2","El Farol","No-Charge","0.6","20","9","0.7932350443821676","9"
"1","El Farol","No-Charge","0.5","20","10","0.18255033424655015","10"
"2","El Farol","No-Charge","0.6","20","10","0.17644225150760975","10"
"1","El Farol","No-Charge","0.5","20","11","0.6701802340977066","11"
"2","El Farol","No-Charge","0.6","20","11","0.6287207102960445","11"
"1","El Farol","No-Charge","0.5","20","12","0.1649009226416316","12"
"2","El Farol","No-Charge","0.6","20","12","0.38408246695570347","12"
"1","El Farol","No-Charge","0.5","20","13","0.6482407952267254","13"
"1","El Farol","No-Charge","0.5","20","14","0.20494769516508504","14"
"2","El Farol","No-Charge","0.6","20","13","0.7026096119955159","13"
"2","El Farol","No-Charge","0.6","20","14","0.20568703172673178","14"
"1","El Farol","No-Charge","0.5","20","15","0.6649883679222875","15"
"1","El Farol","No-Charge","0.5","20","16","0.17239609554406943","16"
"2","El Farol","No-Charge","0.6","20","15","0.7209707564196701","15"
"2","El Farol","No-Charge","0.6","20","16","0.1890446058283078","16"
"1","El Farol","No-Charge","0.5","20","17","0.7053055652909049","17"
"1","El Farol","No-Charge","0.5","20","18","0.15756423339590026","18"
"2","El Farol","No-Charge","0.6","20","17","0.667522357060488","17"
"2","El Farol","No-Charge","0.6","20","18","0.23279678969809114","18"
"1","El Farol","No-Charge","0.5","20","19","0.7307513127007559","19"
"1","El Farol","No-Charge","0.5","20","20","0.19173869280776218","20"
"3","El Farol","No-Charge","0.7","20","0","0","0"
"2","El Farol","No-Charge","0.6","20","19","0.6639070480818746","19"
"2","El Farol","No-Charge","0.6","20","20","0.2430506787865796","20"
"4","El Farol","tou","0.5","20","0","0","0"
