"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-kfactor"
"07/24/2026 17:48:14:487 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","k-factor","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west"
"3","Exp-Decay","No-Charge","0.12","20","0","0","0","0","0","0","0"
"2","Exp-Decay","No-Charge","0.1","20","0","0","0","0","0","0","0"
"1","Exp-Decay","No-Charge","0.08","20","0","0","0","0","0","0","0"
"3","Exp-Decay","No-Charge","0.12","20","1","0.12758947537708756","1","87.02658109683028","82.65990412468803","84.19664859071658","81.68556788222685"
"1","Exp-Decay","No-Charge","0.08","20","1","0.12758947537708756","1","95.5537109458535","93.27593624572248","91.99553653495587","84.74640587426767"
"2","Exp-Decay","No-Charge","0.1","20","1","0.12758947537708756","1","93.1022107117182","87.80528874602881","88.72977663322516","83.58651183916827"
"3","Exp-Decay","No-Charge","0.12","20","2","0.11488469000627051","2","90.50213441212591","83.06517527458917","83.98509794677499","81.05856241115852"
"1","Exp-Decay","No-Charge","0.08","20","2","0.11488469000627051","2","95.05121661086739","91.37444484039672","92.98036614888964","86.38995803884742"
"2","Exp-Decay","No-Charge","0.1","20","2","0.11488469000627051","2","92.21822092387404","87.26916542577769","89.07401961408698","82.25190660765915"
"3","Exp-Decay","No-Charge","0.12","20","3","0.11730181667928281","3","90.51574670868781","83.22890590789063","82.97278603383758","81.33904173405884"
"1","Exp-Decay","No-Charge","0.08","20","3","0.11730181667928281","3","94.53703089966483","93.35754790942019","91.04859151430738","86.86705527191509"
"2","Exp-Decay","No-Charge","0.1","20","3","0.11730181667928281","3","92.94507277495572","88.50657023057198","86.8246561892349","84.48723836369804"
"3","Exp-Decay","No-Charge","0.12","20","4","0.10051156986463398","4","85.99365438425082","77.66515086170413","83.00864545352347","78.11716714514914"
"1","Exp-Decay","No-Charge","0.08","20","4","0.10051156986463398","4","93.91742131907422","90.43758103575425","91.02198940114667","85.61688357696363"
"2","Exp-Decay","No-Charge","0.1","20","4","0.10051156986463398","4","91.33445809184657","82.9127880120928","85.97204539598461","81.2405490449464"
"3","Exp-Decay","No-Charge","0.12","20","5","0.10903699186543056","5","90.72985683751432","82.76241519284709","84.86612833741201","82.75060380771482"
"1","Exp-Decay","No-Charge","0.08","20","5","0.10903699186543056","5","95.58177735284451","92.79201049328901","91.98228943096453","87.52362901851865"
"2","Exp-Decay","No-Charge","0.1","20","5","0.10903699186543056","5","92.48736579711846","87.96950150373064","87.85283192070729","84.72215799718565"
"3","Exp-Decay","No-Charge","0.12","20","6","0.1222052144158057","6","81.43622994100953","83.18390646990798","84.25828766043145","80.70052323068956"
"1","Exp-Decay","No-Charge","0.08","20","6","0.1222052144158057","6","93.57600242112525","89.96620900818024","89.80496067288439","84.32227620581573"
"2","Exp-Decay","No-Charge","0.1","20","6","0.1222052144158057","6","91.19592879040671","87.0400543040258","85.68981284723387","82.51426658135104"
"3","Exp-Decay","No-Charge","0.12","20","7","0.1243912684567755","7","90.37643300367326","81.25724734250257","84.29805835653644","81.2648780372169"
"1","Exp-Decay","No-Charge","0.08","20","7","0.1243912684567755","7","94.99402242033754","92.31934680182422","91.58636498062407","85.86141622391779"
"2","Exp-Decay","No-Charge","0.1","20","7","0.1243912684567755","7","92.14687605728899","85.67719784258573","87.07801292962263","83.59096682254594"
"3","Exp-Decay","No-Charge","0.12","20","8","0.11315197748386527","8","85.13250027423896","82.97507476779579","83.81253382222376","81.13764576679115"
"1","Exp-Decay","No-Charge","0.08","20","8","0.11315197748386527","8","94.88834153070378","94.8196746669562","90.89595783120807","86.91199102947004"
"2","Exp-Decay","No-Charge","0.1","20","8","0.11315197748386527","8","91.34408081290536","91.72358261832674","88.97541955484785","84.81587258600257"
"3","Exp-Decay","No-Charge","0.12","20","9","0.1341070161231816","9","86.6704753679884","83.55084621542827","85.21577743250869","80.18090276121329"
"1","Exp-Decay","No-Charge","0.08","20","9","0.1341070161231816","9","94.76464522641676","91.29363871451216","89.99334196725611","87.3887065317524"
"2","Exp-Decay","No-Charge","0.1","20","9","0.1341070161231816","9","92.05335429944927","88.4708996742374","87.64114019059642","84.04721907409764"
"3","Exp-Decay","No-Charge","0.12","20","10","0.12908212330435348","10","85.23015881228805","83.34862239967609","85.2627423963609","81.83174238798996"
"1","Exp-Decay","No-Charge","0.08","20","10","0.12908212330435348","10","93.5715643677866","92.6313040895585","89.63812043505332","86.49359185738064"
"2","Exp-Decay","No-Charge","0.1","20","10","0.12908212330435348","10","91.46013906650812","87.58710170108796","87.28848270401564","82.67165646155314"
"3","Exp-Decay","No-Charge","0.12","20","11","0.147632114928032","11","87.72263183332225","81.5708400565502","83.85392218945228","81.10251860053441"
"1","Exp-Decay","No-Charge","0.08","20","11","0.147632114928032","11","95.30615603004404","89.33587474360921","91.19056495993847","86.14909374517049"
"2","Exp-Decay","No-Charge","0.1","20","11","0.147632114928032","11","92.29294686600898","85.20900983460758","87.44453609914419","83.50492318725644"
"3","Exp-Decay","No-Charge","0.12","20","12","0.09512914559996284","12","87.47728952459816","79.63924569711808","83.08145426734995","81.49317067995555"
