"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"/Users/hshi103/github/SSC2026/netlogo/akl_traffic.nlogo"
"sensitivity-ql-epsilon"
"07/20/2026 21:52:56:825 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","ql-epsilon-init","n-sim-days","[step]","peak-vc-inner","current-sim-day"
"6","Q-Learning","tou","0.6","20","0","0","0"
"4","Q-Learning","tou","0.2","20","0","0","0"
"1","Q-Learning","No-Charge","0.2","20","0","0","0"
"5","Q-Learning","tou","0.4","20","0","0","0"
"2","Q-Learning","No-Charge","0.4","20","0","0","0"
"3","Q-Learning","No-Charge","0.6","20","0","0","0"
"3","Q-Learning","No-Charge","0.6","20","1","0.4178860833041208","1"
"2","Q-Learning","No-Charge","0.4","20","1","0.47530463811301094","1"
"4","Q-Learning","tou","0.2","20","1","0.45839619504927825","1"
"5","Q-Learning","tou","0.4","20","1","0.47530463811301094","1"
"6","Q-Learning","tou","0.6","20","1","0.4178860833041208","1"
"1","Q-Learning","No-Charge","0.2","20","1","0.45839619504927825","1"
"3","Q-Learning","No-Charge","0.6","20","2","0.39493622405548734","2"
"4","Q-Learning","tou","0.2","20","2","0.38802857181656647","2"
"2","Q-Learning","No-Charge","0.4","20","2","0.4376510309111432","2"
"5","Q-Learning","tou","0.4","20","2","0.4376510309111432","2"
"6","Q-Learning","tou","0.6","20","2","0.39493622405548734","2"
"1","Q-Learning","No-Charge","0.2","20","2","0.38802857181656647","2"
"3","Q-Learning","No-Charge","0.6","20","3","0.4926642320690665","3"
"4","Q-Learning","tou","0.2","20","3","0.39588457744693756","3"
"6","Q-Learning","tou","0.6","20","3","0.4680725090266855","3"
"5","Q-Learning","tou","0.4","20","3","0.3619755370672804","3"
"2","Q-Learning","No-Charge","0.4","20","3","0.3891963887029186","3"
"1","Q-Learning","No-Charge","0.2","20","3","0.4220575570427222","3"
"4","Q-Learning","tou","0.2","20","4","0.3445252374157487","4"
"3","Q-Learning","No-Charge","0.6","20","4","0.4045142403035527","4"
"5","Q-Learning","tou","0.4","20","4","0.3543991456380433","4"
"6","Q-Learning","tou","0.6","20","4","0.3884627499606418","4"
"2","Q-Learning","No-Charge","0.4","20","4","0.3247790978199775","4"
"1","Q-Learning","No-Charge","0.2","20","4","0.4979347838378453","4"
"4","Q-Learning","tou","0.2","20","5","0.28527705987386814","5"
"3","Q-Learning","No-Charge","0.6","20","5","0.44607101679633276","5"
"5","Q-Learning","tou","0.4","20","5","0.3315407601341468","5"
"6","Q-Learning","tou","0.6","20","5","0.3029546101348969","5"
"2","Q-Learning","No-Charge","0.4","20","5","0.4087955781790663","5"
"1","Q-Learning","No-Charge","0.2","20","5","0.38553672283126283","5"
"5","Q-Learning","tou","0.4","20","6","0.284616455986687","6"
"4","Q-Learning","tou","0.2","20","6","0.4426041144896929","6"
"3","Q-Learning","No-Charge","0.6","20","6","0.3766526833846164","6"
"6","Q-Learning","tou","0.6","20","6","0.30914180013335496","6"
"2","Q-Learning","No-Charge","0.4","20","6","0.3868946808042061","6"
"1","Q-Learning","No-Charge","0.2","20","6","0.3845080370935305","6"
"4","Q-Learning","tou","0.2","20","7","0.2908120314801647","7"
"3","Q-Learning","No-Charge","0.6","20","7","0.4053949516708372","7"
"5","Q-Learning","tou","0.4","20","7","0.40048365141066017","7"
"6","Q-Learning","tou","0.6","20","7","0.3167025953335846","7"
"2","Q-Learning","No-Charge","0.4","20","7","0.3464390018689488","7"
"1","Q-Learning","No-Charge","0.2","20","7","0.3994815272960287","7"
"4","Q-Learning","tou","0.2","20","8","0.3679687110758084","8"
"5","Q-Learning","tou","0.4","20","8","0.23741296039588672","8"
"3","Q-Learning","No-Charge","0.6","20","8","0.49369061485356064","8"
"6","Q-Learning","tou","0.6","20","8","0.40723946078346085","8"
"2","Q-Learning","No-Charge","0.4","20","8","0.367092987758235","8"
"1","Q-Learning","No-Charge","0.2","20","8","0.33302300187131484","8"
"4","Q-Learning","tou","0.2","20","9","0.23900505617825601","9"
"5","Q-Learning","tou","0.4","20","9","0.40767509564795157","9"
"6","Q-Learning","tou","0.6","20","9","0.28990600469778455","9"
"3","Q-Learning","No-Charge","0.6","20","9","0.4093683513896355","9"
"2","Q-Learning","No-Charge","0.4","20","9","0.3852757917708426","9"
"1","Q-Learning","No-Charge","0.2","20","9","0.39196176622969553","9"
"4","Q-Learning","tou","0.2","20","10","0.28392892994400915","10"
