link_id,class,group,position,adt_obs,veh_day_model
l_668,arterial,East,peripheral,10821,18240
l_729,arterial,CBD,inner,16204,42840
l_582,arterial,West,boundary,12512,38100
l_997,arterial,East,peripheral,15177,71340
l_751,arterial,East,peripheral,27324,7740
l_297,arterial,West,peripheral,43962,11880
l_1872,motorway,MWY,peripheral,85000,123360
l_372,arterial,East,peripheral,15906,36000
l_2205,arterial,West,peripheral,12000,13680
l_173,arterial,East,boundary,25748,18780
l_1428,arterial,West,peripheral,28195,15300
l_678,arterial,West,peripheral,7783,4500
l_2618,motorway,MWY,peripheral,90000,11220
l_2177,arterial,East,boundary,25748,22260
l_258,arterial,West,peripheral,43962,16920
l_29,arterial,East,peripheral,34625,2160
l_466,arterial,West,peripheral,16734,15780
l_63,arterial,East,peripheral,9627,9240
l_1804,arterial,East,peripheral,9523,46080
l_1212,arterial,CBD,inner,30388,48600
l_1769,motorway,MWY,peripheral,90000,191280
l_590,arterial,East,peripheral,15481,19740
l_245,arterial,East,peripheral,10821,16560
l_981,arterial,West,peripheral,17823,26400
l_2068,arterial,CBD,inner,12793,76800
l_79,arterial,West,peripheral,17823,10620
l_2101,arterial,West,peripheral,8296,7440
l_415,arterial,CBD,inner,16293,53760
l_1795,arterial,East,boundary,21939,50700
l_585,arterial,East,peripheral,15481,30780
l_176,arterial,West,peripheral,28822,3480
l_1786,arterial,West,peripheral,28195,0
l_2564,motorway,MWY,peripheral,90000,233220
l_2457,motorway,MWY,peripheral,85000,2760
l_1662,motorway,MWY,peripheral,90000,69120
l_2276,arterial,CBD,inner,27326,82680
l_2453,arterial,CBD,inner,20224,107520
l_588,arterial,West,peripheral,28195,24480
l_94,arterial,West,peripheral,15177,2280
l_126,arterial,CBD,inner,16204,42240
l_54,arterial,West,boundary,25486,14880
l_143,arterial,East,boundary,12615,113940
l_1890,arterial,CBD,inner,27326,56700
l_2643,arterial,West,peripheral,28822,11100
l_1733,arterial,CBD,inner,23275,28200
l_409,arterial,West,peripheral,28195,24480
l_672,arterial,East,peripheral,10821,18240
l_712,arterial,CBD,inner,25486,10800
l_343,arterial,West,peripheral,11780,1440
l_180,arterial,West,peripheral,13785,17280
l_134,arterial,CBD,inner,12793,69900
l_670,arterial,East,peripheral,21939,41820
l_849,arterial,East,peripheral,10821,18240
l_1538,arterial,East,peripheral,18554,142980
l_2425,arterial,West,peripheral,23275,32940
l_1914,arterial,CBD,inner,30388,8280
l_1818,motorway,MWY,peripheral,85000,114060
l_546,arterial,West,peripheral,43962,9420
l_1277,arterial,East,boundary,27326,48900
l_561,arterial,West,peripheral,16734,15780
l_133,arterial,East,peripheral,21939,42660
l_579,arterial,East,peripheral,28822,27180
l_100,arterial,West,boundary,7124,32700
l_732,arterial,East,peripheral,15906,23580
l_212,arterial,CBD,inner,25486,13440
l_1434,arterial,East,peripheral,9627,7560
l_783,arterial,West,peripheral,43962,19680
l_2468,motorway,MWY,peripheral,95000,143340
l_2334,arterial,East,peripheral,9523,43020
l_816,arterial,East,peripheral,15906,11160
l_2436,arterial,CBD,inner,23275,9420
l_117,arterial,West,peripheral,28822,27060
l_957,arterial,West,peripheral,17823,13440
l_633,arterial,West,peripheral,7783,4500
l_1400,arterial,East,boundary,18554,1380
l_707,arterial,West,peripheral,43962,18120
l_1351,motorway,MWY,peripheral,90000,0
l_1418,arterial,East,peripheral,20157,540
l_2522,arterial,CBD,inner,30388,300
l_81,arterial,West,peripheral,43962,10020
l_900,arterial,East,peripheral,27324,1500
l_185,arterial,CBD,inner,8869,26520
l_926,arterial,CBD,inner,24996,75000
l_1210,arterial,East,peripheral,21939,127620
l_45,arterial,East,peripheral,9627,7920
l_939,arterial,East,peripheral,9354,28980
l_697,arterial,West,peripheral,17823,28200
l_1807,arterial,East,peripheral,9523,4380
l_581,arterial,CBD,inner,12512,38580
l_716,arterial,East,peripheral,12615,149220
l_2206,motorway,MWY,boundary,90000,0
l_721,arterial,East,peripheral,25748,32100
l_897,arterial,CBD,inner,16700,5400
l_1819,arterial,West,peripheral,34625,3120
l_603,arterial,East,peripheral,9354,28320
l_2472,arterial,CBD,inner,9523,30480
l_1746,motorway,MWY,peripheral,85000,206040
l_2626,motorway,MWY,peripheral,85000,3180
l_235,arterial,East,peripheral,15481,19740
l_776,arterial,East,peripheral,6838,0
l_1446,motorway,MWY,peripheral,90000,0
l_1680,arterial,West,peripheral,30484,59520
l_127,arterial,West,boundary,11780,230040
l_304,arterial,West,peripheral,43962,16920
l_188,arterial,West,peripheral,12815,4020
l_1923,arterial,CBD,inner,12793,7500
l_374,arterial,East,peripheral,9627,6960
l_520,arterial,East,peripheral,18554,1380
l_2100,motorway,MWY,peripheral,8296,22980
l_2022,arterial,CBD,inner,20224,124020
l_2563,motorway,MWY,peripheral,95000,143820
l_2613,motorway,MWY,peripheral,85000,96060
l_764,arterial,CBD,inner,9523,29400
l_714,arterial,West,peripheral,43962,18360
l_2312,motorway,MWY,peripheral,90000,212280
l_985,arterial,West,peripheral,11780,230700
l_323,arterial,East,peripheral,15481,19860
l_426,arterial,East,peripheral,9627,8400
l_1569,motorway,MWY,peripheral,90000,360
l_665,arterial,East,peripheral,25748,40320
l_1770,motorway,MWY,peripheral,90000,191280
l_444,arterial,East,peripheral,9627,7920
l_268,arterial,West,peripheral,8296,5460
l_386,arterial,East,peripheral,15906,23940
l_2623,arterial,West,peripheral,20224,108000
l_38,arterial,West,peripheral,34625,2160
l_517,arterial,CBD,inner,12793,63600
l_488,arterial,West,peripheral,43962,10020
l_1750,arterial,East,peripheral,22621,195240
l_189,arterial,West,peripheral,43962,9540
l_566,arterial,East,peripheral,15481,30720
l_1832,arterial,East,peripheral,25748,30840
l_404,arterial,East,boundary,38827,7920
l_357,arterial,East,boundary,8479,42960
l_950,arterial,CBD,inner,13785,81480
l_272,arterial,East,peripheral,15177,2280
l_368,arterial,CBD,inner,16293,90480
l_1565,motorway,MWY,peripheral,85000,145140
l_2094,arterial,West,peripheral,8296,7440
l_494,arterial,West,peripheral,17823,9420
l_630,arterial,East,boundary,21939,39300
l_130,arterial,CBD,inner,16293,99420
l_2138,motorway,MWY,peripheral,90000,10980
l_519,arterial,East,peripheral,12000,19860
l_907,arterial,West,peripheral,17823,12000
l_860,arterial,CBD,inner,13785,76020
l_918,arterial,West,boundary,16293,104460
l_1762,arterial,West,peripheral,34625,0
l_1766,motorway,MWY,peripheral,95000,93600
l_2525,motorway,MWY,peripheral,85000,96060
l_1419,arterial,East,peripheral,20157,78120
l_826,arterial,East,peripheral,18554,1380
l_1727,arterial,CBD,inner,8479,61800
l_2136,motorway,MWY,peripheral,85000,29520
l_1271,arterial,West,peripheral,27326,30240
l_330,arterial,East,peripheral,27324,10140
l_25,arterial,CBD,inner,25486,81000
l_2086,motorway,MWY,peripheral,85000,0
l_892,arterial,West,peripheral,16293,2400
l_1441,motorway,MWY,peripheral,90000,360
l_1808,arterial,East,peripheral,9523,4380
l_2507,arterial,West,peripheral,34625,0
l_1788,arterial,CBD,inner,21939,122940
l_676,arterial,CBD,inner,25748,24960
