day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,El Farol,No-Charge,0.7446666666666667,0.16932252943417467,0.16932252943417467,0.3394781917063007,0.09142879228245311,1500,1067,1065,0
2,El Farol,No-Charge,0.9146666666666666,0.15200652913781335,0.15200652913781335,0.36498740202746593,0.09161233022711648,1427,1156,1246,0
3,El Farol,No-Charge,0.9166666666666666,0.3135748057518303,0.3135748057518303,0.22794524912308703,0.09105825855446269,1541,1239,1196,0
4,El Farol,No-Charge,0.9253333333333333,0.1873949290532713,0.1873949290532713,0.31783323572805705,0.1266448516968926,1504,951,1322,0
5,El Farol,No-Charge,0.9266666666666666,0.15244748878297779,0.15244748878297779,0.4124814641781617,0.17751113393550152,1663,1005,1439,0
6,El Farol,No-Charge,0.9213333333333333,0.21768401300671095,0.21768401300671095,0.2703349538045889,0.18270090750054238,1777,1284,1313,0
7,El Farol,No-Charge,0.9166666666666666,0.2186812305321578,0.2186812305321578,0.4989319738295961,0.12570525912316502,1727,1289,1342,0
8,El Farol,No-Charge,0.9253333333333333,0.42802345124391084,0.42802345124391084,0.2932783225104106,0.1386291284189576,1594,1197,1273,0
9,El Farol,No-Charge,0.9133333333333333,0.2261019980735408,0.2261019980735408,0.5273075287008631,0.11714581884162184,1649,1173,1324,0
10,El Farol,No-Charge,0.9313333333333333,0.21551504121146364,0.21551504121146364,0.48104719754090536,0.14411502021298056,1750,1443,1276,0
11,El Farol,No-Charge,0.9313333333333333,0.20291330213405218,0.20291330213405218,0.36912870881007764,0.11057618905124733,1653,1302,1316,0
12,El Farol,No-Charge,0.928,0.2061581999220937,0.2061581999220937,0.26205068403219284,0.1334260709472295,1629,1378,1377,0
13,El Farol,No-Charge,0.9373333333333334,0.2546708007954174,0.2546708007954174,0.32015099534843267,0.12269260134818638,1820,1469,1206,0
14,El Farol,No-Charge,0.938,0.2832768821608864,0.2832768821608864,0.3653378835491449,0.1327645299786097,1892,1544,1350,0
