day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,El Farol,flat,0.6671747967479674,0.6075149720354522,0.6075149720354522,0.8021541739775438,0.18608120760335156,1313,741,863,1.0504
2,El Farol,flat,0.3643292682926829,0.3203093685772397,0.3203093685772397,0.4318599967297586,0.10844773617573111,895,564,576,0.5736
3,El Farol,flat,0.9283536585365854,0.7052421493184676,0.7052421493184676,1.2364231667819685,0.25594107999695265,1690,920,1122,1.4616
4,El Farol,flat,0.15040650406504066,0.13652566277079553,0.13652566277079553,0.1922100168329554,0.0563845696833697,568,416,341,0.2368
5,El Farol,flat,0.9314024390243902,0.669971769510329,0.669971769510329,1.183511645894606,0.28357697701652634,1678,905,1122,1.4664
6,El Farol,flat,0.17327235772357724,0.15463796373826424,0.15463796373826424,0.19563477797469386,0.06038958992171412,604,423,365,0.2728
7,El Farol,flat,0.921239837398374,0.6423588806299344,0.6423588806299344,1.5185643544465204,0.25105469701679844,1670,909,1123,1.4504
8,El Farol,flat,0.21138211382113822,0.2042902885093442,0.2042902885093442,0.24479370397746203,0.06910903750545466,665,443,397,0.3328
9,El Farol,flat,0.9181910569105691,0.6664186352721364,0.6664186352721364,1.1715894423547026,0.290382604297973,1666,899,1104,1.4456
10,El Farol,flat,0.2149390243902439,0.2302347592625455,0.2302347592625455,0.27281640495553355,0.07037085147094621,657,453,420,0.3384
11,El Farol,flat,0.9202235772357723,0.8035604195563156,0.8035604195563156,1.3246912983487646,0.25309627902107573,1681,903,1103,1.4488
12,El Farol,flat,0.16666666666666666,0.1957116767070938,0.1957116767070938,0.1942547236752099,0.07417297140494908,594,422,356,0.2624
13,El Farol,flat,0.9207317073170732,0.6730840857893883,0.6730840857893883,1.1203786626568724,0.25644298361631407,1655,909,1111,1.4496
14,El Farol,flat,0.20376016260162602,0.19120554800738382,0.19120554800738382,0.2845480245469403,0.0818695907222503,642,433,399,0.3208
15,El Farol,flat,0.9161585365853658,0.6724803084182016,0.6724803084182016,1.1951339682485154,0.257209982576415,1666,906,1107,1.4424
16,El Farol,flat,0.2068089430894309,0.20590506261365746,0.20590506261365746,0.2269436592848286,0.07333502019625998,648,459,415,0.3256
17,El Farol,flat,0.9273373983739838,0.5748594298973635,0.5748594298973635,1.227178632550132,0.26988025610444566,1687,923,1116,1.46
18,El Farol,flat,0.7103658536585366,0.619120543403495,0.619120543403495,1.0837935614526562,0.19280369850319232,1395,780,879,1.1184
19,El Farol,flat,0.24288617886178862,0.21875640567226817,0.21875640567226817,0.33225358726124066,0.08381700814992651,714,473,436,0.3824
20,El Farol,flat,0.9283536585365854,0.7399931274336765,0.7399931274336765,1.2427844269303359,0.220856945392971,1674,908,1123,1.4616
