"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"hourly-full"
"07/29/2026 21:53:14:212 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","allow-retiming?","allow-rerouting?","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral"
"3","El Farol","No-Charge","false","false","14","0","0","0","0","0"
"4","El Farol","tou","false","false","14","0","0","0","0","0"
"6","Q-Learning","tou","false","false","14","0","0","0","0","0"
"1","Exp-Decay","No-Charge","false","false","14","0","0","0","0","0"
"5","Q-Learning","No-Charge","false","false","14","0","0","0","0","0"
"2","Exp-Decay","tou","false","false","14","0","0","0","0","0"
"2","Exp-Decay","tou","false","false","14","1","1","0.07898121818838348","0.4383078758245375","0.08614736673261351"
"5","Q-Learning","No-Charge","false","false","14","1","1","0.11760843928604141","0.48754786329302763","0.08801453220283693"
"6","Q-Learning","tou","false","false","14","1","1","0.11760843928604141","0.48754786329302763","0.08801453220283693"
"4","El Farol","tou","false","false","14","1","1","0.11687938425359243","0.494742953858626","0.09832644902254226"
"1","Exp-Decay","No-Charge","false","false","14","1","1","0.11002846511464752","0.49779311304815677","0.08917217260727155"
"3","El Farol","No-Charge","false","false","14","1","1","0.1280140127054032","0.6228038461118236","0.10046835409728837"
"2","Exp-Decay","tou","false","false","14","2","2","0.12097163849234234","0.5153289924126319","0.0711491573551"
"5","Q-Learning","No-Charge","false","false","14","2","2","0.10410630523879143","0.630201508183863","0.08628403501930425"
"6","Q-Learning","tou","false","false","14","2","2","0.10410630523879143","0.630201508183863","0.08628403501930425"
"1","Exp-Decay","No-Charge","false","false","14","2","2","0.0983197856424951","0.5314290038919012","0.09411341749946596"
"4","El Farol","tou","false","false","14","2","2","0.16276710730724306","0.7996160423687316","0.12034917807129869"
"3","El Farol","No-Charge","false","false","14","2","2","0.15546611314838601","0.7513670988188438","0.1049316130531457"
"2","Exp-Decay","tou","false","false","14","3","3","0.09619686419538055","0.47774708163992735","0.08143819549774098"
"5","Q-Learning","No-Charge","false","false","14","3","3","0.1480819619967943","0.5186048796917587","0.08251417966536041"
"6","Q-Learning","tou","false","false","14","3","3","0.11214837710042055","0.5217773855205381","0.08438195675773415"
"1","Exp-Decay","No-Charge","false","false","14","3","3","0.11096183780942157","0.5784274315086452","0.08752380772201265"
"4","El Farol","tou","false","false","14","3","3","0.1810421005126604","0.8047648463621918","0.1570559691495"
"3","El Farol","No-Charge","false","false","14","3","3","0.17189700341787462","0.7730297261866759","0.1509498261939738"
"5","Q-Learning","No-Charge","false","false","14","4","4","0.1093046994075378","0.5803369601274648","0.0971987226740995"
"2","Exp-Decay","tou","false","false","14","4","4","0.07475237388383282","0.47630455751437095","0.08600377610139884"
"6","Q-Learning","tou","false","false","14","4","4","0.11034559396121439","0.5044614713810618","0.07835561945475061"
"1","Exp-Decay","No-Charge","false","false","14","4","4","0.12878386363581742","0.5747096949661838","0.0973859525923874"
"4","El Farol","tou","false","false","14","4","4","0.1793703142601234","0.7906892383804437","0.10384529194762768"
"3","El Farol","No-Charge","false","false","14","4","4","0.18794398754579628","0.7979869742867144","0.12738457204667256"
"2","Exp-Decay","tou","false","false","14","5","5","0.10141478210647199","0.5064911112307429","0.08473771942545252"
"5","Q-Learning","No-Charge","false","false","14","5","5","0.12910370085716866","0.5169464601337033","0.10897374665886116"
"6","Q-Learning","tou","false","false","14","5","5","0.07395739381081641","0.3890711612170877","0.07815924274224921"
"1","Exp-Decay","No-Charge","false","false","14","5","5","0.09286673299969381","0.52042661858086","0.09889982369895826"
"4","El Farol","tou","false","false","14","5","5","0.16374189968435096","0.8661789717001105","0.12201646020205557"
"3","El Farol","No-Charge","false","false","14","5","5","0.18547963606621393","0.8800933534455522","0.1356557185032088"
"2","Exp-Decay","tou","false","false","14","6","6","0.11167689108757765","0.4147474275487195","0.08072827230197495"
"6","Q-Learning","tou","false","false","14","6","6","0.10011920414371005","0.40275586409758285","0.0803831577579086"
"5","Q-Learning","No-Charge","false","false","14","6","6","0.12023236551489447","0.514250249711591","0.09231291794213672"
"1","Exp-Decay","No-Charge","false","false","14","6","6","0.11723270989517472","0.5617802458992883","0.08873458951577609"
"4","El Farol","tou","false","false","14","6","6","0.16765041534693545","0.8515214073120945","0.13830082022218404"
"3","El Farol","No-Charge","false","false","14","6","6","0.16505252272038715","0.8311771049986943","0.15021457976615588"
"2","Exp-Decay","tou","false","false","14","7","7","0.0956741950003585","0.4892589323388117","0.07613447884649892"
"6","Q-Learning","tou","false","false","14","7","7","0.08289363507368541","0.40836015988383123","0.08600456282458237"
"5","Q-Learning","No-Charge","false","false","14","7","7","0.102299627500858","0.5104003502695497","0.08257376442003093"
"1","Exp-Decay","No-Charge","false","false","14","7","7","0.12305363710333814","0.5800297578832372","0.08110562003858833"
"4","El Farol","tou","false","false","14","7","7","0.15049880136278176","0.8901107094308902","0.1236619299918313"
"3","El Farol","No-Charge","false","false","14","7","7","0.18232368977536134","0.840942553387716","0.1263972477391783"
"2","Exp-Decay","tou","false","false","14","8","8","0.10587518845092354","0.35847349370932985","0.0814597883822205"
"6","Q-Learning","tou","false","false","14","8","8","0.0810480701758994","0.33395340029800236","0.07645480786460856"
"5","Q-Learning","No-Charge","false","false","14","8","8","0.09404078768741456","0.527217550054426","0.07552044314621635"
"1","Exp-Decay","No-Charge","false","false","14","8","8","0.11424788896488958","0.5736228712669564","0.0903128525927484"
"4","El Farol","tou","false","false","14","8","8","0.1739997340271689","0.7216864109998353","0.1354366001434003"
"2","Exp-Decay","tou","false","false","14","9","9","0.12130059304804415","0.5043177975072743","0.09141371146389118"
"3","El Farol","No-Charge","false","false","14","8","8","0.15235157045399064","0.8216148506684748","0.10340631610259539"
"6","Q-Learning","tou","false","false","14","9","9","0.09745421967407844","0.46171985431717705","0.07675301844958397"
"5","Q-Learning","No-Charge","false","false","14","9","9","0.14079334853351239","0.6746365194873086","0.0933409403754006"
"1","Exp-Decay","No-Charge","false","false","14","9","9","0.13044940525436283","0.542070172865404","0.08638343031726338"
"2","Exp-Decay","tou","false","false","14","10","10","0.08350386627810372","0.5807612376839029","0.07329862302705979"
"4","El Farol","tou","false","false","14","9","9","0.1433310825145338","0.8200016870884395","0.13677654984059634"
"6","Q-Learning","tou","false","false","14","10","10","0.08338358407603656","0.3857743891442984","0.06162641639733232"
"3","El Farol","No-Charge","false","false","14","9","9","0.13853407218962868","0.7973099672982192","0.13078965465697165"
"5","Q-Learning","No-Charge","false","false","14","10","10","0.10331703183784022","0.5420090338532156","0.09373491449748542"
"1","Exp-Decay","No-Charge","false","false","14","10","10","0.14869987350288433","0.5382596704832964","0.10308967943057196"
"6","Q-Learning","tou","false","false","14","11","11","0.06560474753783954","0.35879023058015297","0.07135562414141801"
"2","Exp-Decay","tou","false","false","14","11","11","0.09232982483039301","0.4873240784074128","0.1106443025839901"
"4","El Farol","tou","false","false","14","10","10","0.1765865243493674","0.7791303936723538","0.1279995717361518"
"5","Q-Learning","No-Charge","false","false","14","11","11","0.10638614615434534","0.5561872926100206","0.08720995958422297"
"3","El Farol","No-Charge","false","false","14","10","10","0.19557545186361408","0.794560063349153","0.12489757649576162"
