day,rule,regime,hour,vc_inner
1,El Farol,tou,0,0.003408798115247277
1,El Farol,tou,1,0.0037082827620353196
1,El Farol,tou,2,0.005742016044481341
1,El Farol,tou,3,0.0021480209342752826
1,El Farol,tou,4,0.002760590048639705
1,El Farol,tou,5,0.004604782604590334
1,El Farol,tou,6,0.01292896509256491
1,El Farol,tou,7,0.03992059784786124
1,El Farol,tou,8,0.06763325838931325
1,El Farol,tou,9,0.08526526597825025
1,El Farol,tou,10,0.03418346877312873
1,El Farol,tou,11,0.03147192108838651
1,El Farol,tou,12,0.031828995147289096
1,El Farol,tou,13,0.019194504745510328
1,El Farol,tou,14,0.023088419971502787
1,El Farol,tou,15,0.024305564564215076
1,El Farol,tou,16,0.02897210649531886
1,El Farol,tou,17,0.03650692978458697
1,El Farol,tou,18,0.045177293488372294
1,El Farol,tou,19,0.023936788360839352
1,El Farol,tou,20,0.015129972249966928
1,El Farol,tou,21,0.0077505193962393165
1,El Farol,tou,22,0.009510839399191982
1,El Farol,tou,23,0.007722487267799506
2,El Farol,tou,0,0.010986804678137688
2,El Farol,tou,1,0.01314593303335979
2,El Farol,tou,2,0.009270867279880876
2,El Farol,tou,3,0.007974862112384806
2,El Farol,tou,4,0.014145707066609324
2,El Farol,tou,5,0.0033172723948563477
2,El Farol,tou,6,0.01626404442031664
2,El Farol,tou,7,0.038597506531890445
2,El Farol,tou,8,0.10015647885801848
2,El Farol,tou,9,0.11141636757310358
2,El Farol,tou,10,0.09576749806373878
2,El Farol,tou,11,0.06361865508043968
2,El Farol,tou,12,0.04442113933788307
2,El Farol,tou,13,0.0400538139677953
2,El Farol,tou,14,0.06037315390352385
2,El Farol,tou,15,0.037074282531119405
2,El Farol,tou,16,0.060411950225828764
2,El Farol,tou,17,0.09508704558001647
2,El Farol,tou,18,0.06467649756051431
2,El Farol,tou,19,0.03837928509249893
2,El Farol,tou,20,0.022631806584147693
2,El Farol,tou,21,0.013000778786702721
2,El Farol,tou,22,0.007582517344765036
2,El Farol,tou,23,0.006450386704461061
3,El Farol,tou,0,0.014155293820056123
3,El Farol,tou,1,0.008402613310059743
3,El Farol,tou,2,0.006623248657384251
3,El Farol,tou,3,0.006023126782767071
3,El Farol,tou,4,0.006697228176005375
3,El Farol,tou,5,0.00444180567967668
3,El Farol,tou,6,0.014908572352429005
3,El Farol,tou,7,0.0677721399972399
3,El Farol,tou,8,0.14382593905815963
3,El Farol,tou,9,0.16138596745196143
3,El Farol,tou,10,0.1289992290091372
3,El Farol,tou,11,0.04828497754649262
3,El Farol,tou,12,0.024482545937462474
3,El Farol,tou,13,0.04591362158762617
3,El Farol,tou,14,0.03091109941531225
3,El Farol,tou,15,0.037782413796193536
3,El Farol,tou,16,0.054392992288251944
3,El Farol,tou,17,0.08958475487696901
3,El Farol,tou,18,0.07892986522944855
3,El Farol,tou,19,0.03627885268293897
3,El Farol,tou,20,0.01936699946940848
3,El Farol,tou,21,0.00918003316837194
3,El Farol,tou,22,0.01056753467589487
3,El Farol,tou,23,0.012406406600321017
4,El Farol,tou,0,0.006143829996042286
4,El Farol,tou,1,0.009180386847185602
4,El Farol,tou,2,0.011069726409661354
4,El Farol,tou,3,0.006438085864503176
4,El Farol,tou,4,0.011395229580132707
4,El Farol,tou,5,0.0074146726688562115
4,El Farol,tou,6,0.03400443625527407
4,El Farol,tou,7,0.06919444382415356
4,El Farol,tou,8,0.14201486867449903
4,El Farol,tou,9,0.2045250342874411
4,El Farol,tou,10,0.15294508454939812
4,El Farol,tou,11,0.09402130286461602
4,El Farol,tou,12,0.06176772494377875
4,El Farol,tou,13,0.053779954154281856
4,El Farol,tou,14,0.046147562794704305
4,El Farol,tou,15,0.055830288917985235
4,El Farol,tou,16,0.06863026762011824
4,El Farol,tou,17,0.09601712000633374
4,El Farol,tou,18,0.07195379151173956
