day,rule,regime,hour,vc_inner
1,El Farol,tou,0,0.007631708430946477
1,El Farol,tou,1,0.00602851927125347
1,El Farol,tou,2,0.007455589773408999
1,El Farol,tou,3,0.007629907076847604
1,El Farol,tou,4,0.015020484950975247
1,El Farol,tou,5,0.004090356751726513
1,El Farol,tou,6,0.02001124033232224
1,El Farol,tou,7,0.05598726373989844
1,El Farol,tou,8,0.09231507109557181
1,El Farol,tou,9,0.10817267674792203
1,El Farol,tou,10,0.06742588532879015
1,El Farol,tou,11,0.05565772540855126
1,El Farol,tou,12,0.03276231607501039
1,El Farol,tou,13,0.0425261888443023
1,El Farol,tou,14,0.02818204278604303
1,El Farol,tou,15,0.0574185397324557
1,El Farol,tou,16,0.05189069046441464
1,El Farol,tou,17,0.06382752759474611
1,El Farol,tou,18,0.06363894342091196
1,El Farol,tou,19,0.03383356199736654
1,El Farol,tou,20,0.02874323687451507
1,El Farol,tou,21,0.010461845108203492
1,El Farol,tou,22,0.007994218752964913
1,El Farol,tou,23,0.005986645201137216
2,El Farol,tou,0,0.007174463539933686
2,El Farol,tou,1,0.004066560965539097
2,El Farol,tou,2,0.006732846312610772
2,El Farol,tou,3,0.011255490717547757
2,El Farol,tou,4,0.0067603347805215985
2,El Farol,tou,5,0.01005528236554589
2,El Farol,tou,6,0.04486159360237185
2,El Farol,tou,7,0.06258499494423472
2,El Farol,tou,8,0.09168753673881125
2,El Farol,tou,9,0.08852227841094074
2,El Farol,tou,10,0.06866450575225412
2,El Farol,tou,11,0.04086435180259118
2,El Farol,tou,12,0.03588162167079211
2,El Farol,tou,13,0.03372015100922636
2,El Farol,tou,14,0.03844675398623199
2,El Farol,tou,15,0.03739214381409167
2,El Farol,tou,16,0.05274002054558182
2,El Farol,tou,17,0.07375449441630319
2,El Farol,tou,18,0.06120772073274229
2,El Farol,tou,19,0.04075048711966209
2,El Farol,tou,20,0.023392575354135154
2,El Farol,tou,21,0.02238629759252246
2,El Farol,tou,22,0.011218070594848481
2,El Farol,tou,23,0.006555995868351127
3,El Farol,tou,0,0.0066018651349166605
3,El Farol,tou,1,0.007869064298967842
3,El Farol,tou,2,0.010234238948941658
3,El Farol,tou,3,0.00399426040211738
3,El Farol,tou,4,0.0030221065387974733
3,El Farol,tou,5,0.013827571992478338
3,El Farol,tou,6,0.02955936853608018
3,El Farol,tou,7,0.06022401256101517
3,El Farol,tou,8,0.09427603204551663
3,El Farol,tou,9,0.10543340685633731
3,El Farol,tou,10,0.08617246150423641
3,El Farol,tou,11,0.03694223487802124
3,El Farol,tou,12,0.05347552582773079
3,El Farol,tou,13,0.04995648712286916
3,El Farol,tou,14,0.037140687983104395
3,El Farol,tou,15,0.040669148650155446
3,El Farol,tou,16,0.04829876816402237
3,El Farol,tou,17,0.05740838922642079
3,El Farol,tou,18,0.058757032179747856
3,El Farol,tou,19,0.03465551742365714
3,El Farol,tou,20,0.02864434411942638
3,El Farol,tou,21,0.013135387201633505
3,El Farol,tou,22,0.006363626972971328
3,El Farol,tou,23,0.010883702260069284
4,El Farol,tou,0,0.007126864555668696
4,El Farol,tou,1,0.006547380676250817
4,El Farol,tou,2,0.006310537331141338
4,El Farol,tou,3,0.009884165649645758
4,El Farol,tou,4,0.012387286345361709
4,El Farol,tou,5,0.00848493151217641
4,El Farol,tou,6,0.023387015500359546
4,El Farol,tou,7,0.0823339089856147
4,El Farol,tou,8,0.10725035004577783
4,El Farol,tou,9,0.09446262401796526
4,El Farol,tou,10,0.05432038614701974
4,El Farol,tou,11,0.04606656657186794
4,El Farol,tou,12,0.03276851617496839
4,El Farol,tou,13,0.034939791042954776
4,El Farol,tou,14,0.04276689618159891
4,El Farol,tou,15,0.04187893229148977
4,El Farol,tou,16,0.044964792655033406
4,El Farol,tou,17,0.07126524467491774
4,El Farol,tou,18,0.05781682941895827
4,El Farol,tou,19,0.04301867475721091
4,El Farol,tou,20,0.016901879529895095
4,El Farol,tou,21,0.013097024562384249
4,El Farol,tou,22,0.005785318593820991
4,El Farol,tou,23,0.007832457906751649
5,El Farol,tou,0,0.004901313394049533
5,El Farol,tou,1,0.006862711603082519
5,El Farol,tou,2,0.012380440240174163
5,El Farol,tou,3,0.005791333245768635
5,El Farol,tou,4,0.007580336793602828
5,El Farol,tou,5,0.003841004380432986
