day,rule,regime,hour,vc_inner
1,Exp-Decay,No-Charge,0,0.009655481358579597
1,Exp-Decay,No-Charge,1,0.0027311996619281253
1,Exp-Decay,No-Charge,2,0.0050176276372010985
1,Exp-Decay,No-Charge,3,0.0044662962840942705
1,Exp-Decay,No-Charge,4,0.00492855951150095
1,Exp-Decay,No-Charge,5,0.005511723738816111
1,Exp-Decay,No-Charge,6,0.012552248671714611
1,Exp-Decay,No-Charge,7,0.034794185562083184
1,Exp-Decay,No-Charge,8,0.06593555827730459
1,Exp-Decay,No-Charge,9,0.07005701782668779
1,Exp-Decay,No-Charge,10,0.032042034801779404
1,Exp-Decay,No-Charge,11,0.019454691353235083
1,Exp-Decay,No-Charge,12,0.027348283967799206
1,Exp-Decay,No-Charge,13,0.015219797879780653
1,Exp-Decay,No-Charge,14,0.021691370924734592
1,Exp-Decay,No-Charge,15,0.024592969568799312
1,Exp-Decay,No-Charge,16,0.0254265220964894
1,Exp-Decay,No-Charge,17,0.030962175194996066
1,Exp-Decay,No-Charge,18,0.03370033869881646
1,Exp-Decay,No-Charge,19,0.01660186630553322
1,Exp-Decay,No-Charge,20,0.01347456977899947
1,Exp-Decay,No-Charge,21,0.0069297212103814
1,Exp-Decay,No-Charge,22,0.00692672831924388
1,Exp-Decay,No-Charge,23,0.004299346537128568
2,Exp-Decay,No-Charge,0,0.006168758928890746
2,Exp-Decay,No-Charge,1,0.002014724789437214
2,Exp-Decay,No-Charge,2,0.008745844541228799
2,Exp-Decay,No-Charge,3,0.0015304338079193535
2,Exp-Decay,No-Charge,4,0.0015940914936761724
2,Exp-Decay,No-Charge,5,0.003627078710935443
2,Exp-Decay,No-Charge,6,0.00848844392020216
2,Exp-Decay,No-Charge,7,0.024002741326459825
2,Exp-Decay,No-Charge,8,0.06525323445579678
2,Exp-Decay,No-Charge,9,0.07397495966779138
2,Exp-Decay,No-Charge,10,0.045265072262011534
2,Exp-Decay,No-Charge,11,0.025142934279986314
2,Exp-Decay,No-Charge,12,0.016157511775261958
2,Exp-Decay,No-Charge,13,0.02032624003799337
2,Exp-Decay,No-Charge,14,0.01753433931093193
2,Exp-Decay,No-Charge,15,0.013652098994524978
2,Exp-Decay,No-Charge,16,0.022139515767677937
2,Exp-Decay,No-Charge,17,0.032089103371313946
2,Exp-Decay,No-Charge,18,0.04745513404152277
2,Exp-Decay,No-Charge,19,0.02619611409079822
2,Exp-Decay,No-Charge,20,0.013800007188045117
2,Exp-Decay,No-Charge,21,0.010053324363727469
2,Exp-Decay,No-Charge,22,0.004437499685776074
2,Exp-Decay,No-Charge,23,0.003847721955941273
3,Exp-Decay,No-Charge,0,0.002168850045611461
3,Exp-Decay,No-Charge,1,0.005475873486785895
3,Exp-Decay,No-Charge,2,0.0019850696631881063
3,Exp-Decay,No-Charge,3,0.0032658169077703246
3,Exp-Decay,No-Charge,4,0.005939793153316122
3,Exp-Decay,No-Charge,5,0.001992907965225979
3,Exp-Decay,No-Charge,6,0.013990861166360781
3,Exp-Decay,No-Charge,7,0.04592645530013254
3,Exp-Decay,No-Charge,8,0.08734465694916721
3,Exp-Decay,No-Charge,9,0.10628798934384441
3,Exp-Decay,No-Charge,10,0.036610393848418306
3,Exp-Decay,No-Charge,11,0.023908582514127127
3,Exp-Decay,No-Charge,12,0.01263274546678563
3,Exp-Decay,No-Charge,13,0.028483436095311763
3,Exp-Decay,No-Charge,14,0.02871192550786901
3,Exp-Decay,No-Charge,15,0.045277070572631174
3,Exp-Decay,No-Charge,16,0.03271422936379531
3,Exp-Decay,No-Charge,17,0.06468925552903257
3,Exp-Decay,No-Charge,18,0.05110392567029349
3,Exp-Decay,No-Charge,19,0.03707608291105657
3,Exp-Decay,No-Charge,20,0.013360165944290946
3,Exp-Decay,No-Charge,21,0.006337673049339573
3,Exp-Decay,No-Charge,22,0.002505232455503923
3,Exp-Decay,No-Charge,23,0.0033026403693216045
4,Exp-Decay,No-Charge,0,0.010927543900224511
4,Exp-Decay,No-Charge,1,0.009687731480841509
4,Exp-Decay,No-Charge,2,0.004906211413519604
4,Exp-Decay,No-Charge,3,0.008107202060370217
4,Exp-Decay,No-Charge,4,0.0029596034500343066
4,Exp-Decay,No-Charge,5,0.002371435593123459
4,Exp-Decay,No-Charge,6,0.011089790952887507
4,Exp-Decay,No-Charge,7,0.0368491907074585
4,Exp-Decay,No-Charge,8,0.06842606579327484
4,Exp-Decay,No-Charge,9,0.08536354301319028
4,Exp-Decay,No-Charge,10,0.06475488649796339
4,Exp-Decay,No-Charge,11,0.022282579863032975
4,Exp-Decay,No-Charge,12,0.02661644607500252
4,Exp-Decay,No-Charge,13,0.014456965769312501
4,Exp-Decay,No-Charge,14,0.01044157836436814
4,Exp-Decay,No-Charge,15,0.02135941050139769
4,Exp-Decay,No-Charge,16,0.03543569495930072
4,Exp-Decay,No-Charge,17,0.04651879833147624
4,Exp-Decay,No-Charge,18,0.04390860376670858
4,Exp-Decay,No-Charge,19,0.025316705441942398
4,Exp-Decay,No-Charge,20,0.02062520137464332
4,Exp-Decay,No-Charge,21,0.012871884780775
4,Exp-Decay,No-Charge,22,0.006624004963825045
4,Exp-Decay,No-Charge,23,0.009850344830392746
5,Exp-Decay,No-Charge,0,0.006894806718354816
5,Exp-Decay,No-Charge,1,0.012513579708121884
5,Exp-Decay,No-Charge,2,0.007798762746119057
5,Exp-Decay,No-Charge,3,0.004427473004034436
5,Exp-Decay,No-Charge,4,0.007900606608541742
5,Exp-Decay,No-Charge,5,0.003349968360904613
5,Exp-Decay,No-Charge,6,0.029304139232015504
5,Exp-Decay,No-Charge,7,0.06662824378943402
5,Exp-Decay,No-Charge,8,0.15123499706800309
5,Exp-Decay,No-Charge,9,0.186573823128701
5,Exp-Decay,No-Charge,10,0.1256028836202618
5,Exp-Decay,No-Charge,11,0.050593292248949186
5,Exp-Decay,No-Charge,12,0.04208376341179128
5,Exp-Decay,No-Charge,13,0.04662506531853033
5,Exp-Decay,No-Charge,14,0.05288984931755566
5,Exp-Decay,No-Charge,15,0.040416851772769394
5,Exp-Decay,No-Charge,16,0.08880758423065341
5,Exp-Decay,No-Charge,17,0.0938766546266037
5,Exp-Decay,No-Charge,18,0.06308413313672534
5,Exp-Decay,No-Charge,19,0.04457263150338988
5,Exp-Decay,No-Charge,20,0.01650011309117035
5,Exp-Decay,No-Charge,21,0.0113265363880678
5,Exp-Decay,No-Charge,22,0.004715872616398227
5,Exp-Decay,No-Charge,23,0.008663248359395697
6,Exp-Decay,No-Charge,0,0.004186359206270386
6,Exp-Decay,No-Charge,1,0.0020123557333064
6,Exp-Decay,No-Charge,2,0.0060336114841914035
6,Exp-Decay,No-Charge,3,0.009380328843454853
6,Exp-Decay,No-Charge,4,0.010093660591722065
6,Exp-Decay,No-Charge,5,0.001856100698687791
6,Exp-Decay,No-Charge,6,0.02056844673950429
6,Exp-Decay,No-Charge,7,0.04245865270907751
6,Exp-Decay,No-Charge,8,0.10349855093847375
6,Exp-Decay,No-Charge,9,0.13883502242973583
6,Exp-Decay,No-Charge,10,0.08193712458989935
6,Exp-Decay,No-Charge,11,0.05238264863595165
6,Exp-Decay,No-Charge,12,0.020877266081250123
6,Exp-Decay,No-Charge,13,0.03525223719061384
6,Exp-Decay,No-Charge,14,0.03122554691799113
6,Exp-Decay,No-Charge,15,0.038368912409627226
6,Exp-Decay,No-Charge,16,0.0556057302246851
6,Exp-Decay,No-Charge,17,0.06770507793227763
6,Exp-Decay,No-Charge,18,0.05847839057210564
6,Exp-Decay,No-Charge,19,0.03702990491553586
6,Exp-Decay,No-Charge,20,0.02120332309621269
6,Exp-Decay,No-Charge,21,0.014736125673825018
6,Exp-Decay,No-Charge,22,0.003727904777059976
6,Exp-Decay,No-Charge,23,0.002578007435713476
7,Exp-Decay,No-Charge,0,0.0016885631896425468
7,Exp-Decay,No-Charge,1,0.0031814806429504463
7,Exp-Decay,No-Charge,2,0.011266899194193434
7,Exp-Decay,No-Charge,3,0.0071533746512031995
7,Exp-Decay,No-Charge,4,0.004377285988662086
7,Exp-Decay,No-Charge,5,0.0037912343653801104
7,Exp-Decay,No-Charge,6,0.011052580104318466
7,Exp-Decay,No-Charge,7,0.034290602432012686
7,Exp-Decay,No-Charge,8,0.08158865701154021
7,Exp-Decay,No-Charge,9,0.11588146536268418
7,Exp-Decay,No-Charge,10,0.07421406748095513
7,Exp-Decay,No-Charge,11,0.04002966164001344
7,Exp-Decay,No-Charge,12,0.028714665462860965
7,Exp-Decay,No-Charge,13,0.021026921076606843
7,Exp-Decay,No-Charge,14,0.028549090287553234
7,Exp-Decay,No-Charge,15,0.02455163116615257
7,Exp-Decay,No-Charge,16,0.03501053218796859
7,Exp-Decay,No-Charge,17,0.06366970692094805
7,Exp-Decay,No-Charge,18,0.06829601390753488
7,Exp-Decay,No-Charge,19,0.028319197788895235
7,Exp-Decay,No-Charge,20,0.016708354951598958
7,Exp-Decay,No-Charge,21,0.017047456767615835
7,Exp-Decay,No-Charge,22,0.009997701956618782
7,Exp-Decay,No-Charge,23,0.007398201254948592
8,Exp-Decay,No-Charge,0,0.009023150283881485
8,Exp-Decay,No-Charge,1,0.005093444257579844
8,Exp-Decay,No-Charge,2,0.002693378553867777
8,Exp-Decay,No-Charge,3,0.002523730056407054
8,Exp-Decay,No-Charge,4,0.0022760772834202153
8,Exp-Decay,No-Charge,5,0.0011255791644204705
8,Exp-Decay,No-Charge,6,0.013356118926600345
8,Exp-Decay,No-Charge,7,0.030735848470570388
8,Exp-Decay,No-Charge,8,0.08250719394201965
8,Exp-Decay,No-Charge,9,0.09688178546736942
8,Exp-Decay,No-Charge,10,0.05645075239451516
8,Exp-Decay,No-Charge,11,0.0294595766995683
8,Exp-Decay,No-Charge,12,0.028400573064507877
8,Exp-Decay,No-Charge,13,0.0201448054105926
8,Exp-Decay,No-Charge,14,0.022035542087627147
8,Exp-Decay,No-Charge,15,0.01881967216285046
8,Exp-Decay,No-Charge,16,0.036849527925178205
8,Exp-Decay,No-Charge,17,0.051788747556338374
8,Exp-Decay,No-Charge,18,0.04047172177390663
8,Exp-Decay,No-Charge,19,0.0314265582079699
8,Exp-Decay,No-Charge,20,0.014157387363428591
8,Exp-Decay,No-Charge,21,0.009616650000915177
8,Exp-Decay,No-Charge,22,0.01266959479557327
8,Exp-Decay,No-Charge,23,0.0040692976019291475
9,Exp-Decay,No-Charge,0,0.0033761276490860232
9,Exp-Decay,No-Charge,1,0.005431760877078213
9,Exp-Decay,No-Charge,2,0.01241879258159573
9,Exp-Decay,No-Charge,3,0.009230876828889198
9,Exp-Decay,No-Charge,4,0.005492995261582517
9,Exp-Decay,No-Charge,5,0.006185323423291322
9,Exp-Decay,No-Charge,6,0.01805411565185574
9,Exp-Decay,No-Charge,7,0.04270546561015012
9,Exp-Decay,No-Charge,8,0.08884180225939056
9,Exp-Decay,No-Charge,9,0.10936143197469124
9,Exp-Decay,No-Charge,10,0.11844660723631265
9,Exp-Decay,No-Charge,11,0.08532884731391352
9,Exp-Decay,No-Charge,12,0.023472614368305188
9,Exp-Decay,No-Charge,13,0.02590761147236241
9,Exp-Decay,No-Charge,14,0.02280920787752044
9,Exp-Decay,No-Charge,15,0.039251420388727684
9,Exp-Decay,No-Charge,16,0.046773410639275
9,Exp-Decay,No-Charge,17,0.05105314248133324
9,Exp-Decay,No-Charge,18,0.036606317953972234
9,Exp-Decay,No-Charge,19,0.033195194664645704
9,Exp-Decay,No-Charge,20,0.015112150207939237
9,Exp-Decay,No-Charge,21,0.004888555602865207
9,Exp-Decay,No-Charge,22,0.006531426966280366
9,Exp-Decay,No-Charge,23,0.0029512570480906765
10,Exp-Decay,No-Charge,0,0.004187747261733119
10,Exp-Decay,No-Charge,1,0.0018065480003759
10,Exp-Decay,No-Charge,2,0.007823413587851491
10,Exp-Decay,No-Charge,3,0.002865647212324791
10,Exp-Decay,No-Charge,4,0.0028425131171730053
10,Exp-Decay,No-Charge,5,0.0019545954129348013
10,Exp-Decay,No-Charge,6,0.018627264090068523
10,Exp-Decay,No-Charge,7,0.045500389402196445
10,Exp-Decay,No-Charge,8,0.08006901842882656
10,Exp-Decay,No-Charge,9,0.11028044183227723
10,Exp-Decay,No-Charge,10,0.07283602085040794
10,Exp-Decay,No-Charge,11,0.045396727924406896
10,Exp-Decay,No-Charge,12,0.02870761048046515
10,Exp-Decay,No-Charge,13,0.024891301957950432
10,Exp-Decay,No-Charge,14,0.03355206699814624
10,Exp-Decay,No-Charge,15,0.03091497895916383
10,Exp-Decay,No-Charge,16,0.02991269440752116
10,Exp-Decay,No-Charge,17,0.04877064110801958
10,Exp-Decay,No-Charge,18,0.04775069663367674
10,Exp-Decay,No-Charge,19,0.028917895529879428
10,Exp-Decay,No-Charge,20,0.020052765311305974
10,Exp-Decay,No-Charge,21,0.00673360426674099
10,Exp-Decay,No-Charge,22,0.004808216027508208
10,Exp-Decay,No-Charge,23,0.0019419915170415074
11,Exp-Decay,No-Charge,0,0.0035003439771592155
11,Exp-Decay,No-Charge,1,0.001577140940336745
11,Exp-Decay,No-Charge,2,0.0026711692093180223
11,Exp-Decay,No-Charge,3,0.007068349224729592
