day,rule,regime,hour,vc_inner
1,Exp-Decay,flat,0,0.04098134000790768
1,Exp-Decay,flat,1,0.03280707917005938
1,Exp-Decay,flat,2,0.02755605683960132
1,Exp-Decay,flat,3,0.017487562300807724
1,Exp-Decay,flat,4,0.016966286418519928
1,Exp-Decay,flat,5,0.00832054261878438
1,Exp-Decay,flat,6,0.05258087065741952
1,Exp-Decay,flat,7,0.10743447363021116
1,Exp-Decay,flat,8,0.20688153400759784
1,Exp-Decay,flat,9,0.254377289965231
1,Exp-Decay,flat,10,0.1913017306983502
1,Exp-Decay,flat,11,0.10620063696924285
1,Exp-Decay,flat,12,0.05337967031327121
1,Exp-Decay,flat,13,0.0626439119004455
1,Exp-Decay,flat,14,0.09380310856941838
1,Exp-Decay,flat,15,0.08908043869955232
1,Exp-Decay,flat,16,0.16024972536585105
1,Exp-Decay,flat,17,0.19070052357147416
1,Exp-Decay,flat,18,0.13703146635341537
1,Exp-Decay,flat,19,0.0830856060117075
1,Exp-Decay,flat,20,0.03589025096574274
1,Exp-Decay,flat,21,0.02826574338158225
1,Exp-Decay,flat,22,0.02020964210748393
1,Exp-Decay,flat,23,0.019197945970875388
2,Exp-Decay,flat,0,0.013072666083404787
2,Exp-Decay,flat,1,0.028203460006905115
2,Exp-Decay,flat,2,0.01785393172503381
2,Exp-Decay,flat,3,0.010530942855445279
2,Exp-Decay,flat,4,0.01247590891138579
2,Exp-Decay,flat,5,0.011843401945696023
2,Exp-Decay,flat,6,0.039217330444553875
2,Exp-Decay,flat,7,0.14934728631076508
2,Exp-Decay,flat,8,0.2281268283241927
2,Exp-Decay,flat,9,0.2538868026584419
2,Exp-Decay,flat,10,0.21447020553894774
2,Exp-Decay,flat,11,0.11972766402493089
2,Exp-Decay,flat,12,0.07960690806160521
2,Exp-Decay,flat,13,0.0730477577011884
2,Exp-Decay,flat,14,0.08682386227855195
2,Exp-Decay,flat,15,0.10604680408414403
2,Exp-Decay,flat,16,0.0934844538543631
2,Exp-Decay,flat,17,0.12568082484155202
2,Exp-Decay,flat,18,0.13411329369371006
2,Exp-Decay,flat,19,0.08046602481610488
2,Exp-Decay,flat,20,0.03495207177073108
2,Exp-Decay,flat,21,0.024826560079943036
2,Exp-Decay,flat,22,0.006806631215980107
2,Exp-Decay,flat,23,0.005467081573774606
3,Exp-Decay,flat,0,0.031050631359862142
3,Exp-Decay,flat,1,0.015819333831338316
3,Exp-Decay,flat,2,0.016420948868727036
3,Exp-Decay,flat,3,0.015690888315418254
3,Exp-Decay,flat,4,0.011537263573499807
3,Exp-Decay,flat,5,0.004373322778564956
3,Exp-Decay,flat,6,0.05719028617266088
3,Exp-Decay,flat,7,0.1273700521942593
3,Exp-Decay,flat,8,0.2687800861003238
3,Exp-Decay,flat,9,0.3000113390428881
3,Exp-Decay,flat,10,0.1916833978126897
3,Exp-Decay,flat,11,0.10145904540602199
3,Exp-Decay,flat,12,0.05709901149417391
3,Exp-Decay,flat,13,0.05499394744348681
3,Exp-Decay,flat,14,0.042144673422369335
3,Exp-Decay,flat,15,0.08905183833193332
3,Exp-Decay,flat,16,0.12021390158011606
3,Exp-Decay,flat,17,0.155201955181788
3,Exp-Decay,flat,18,0.1239465448580669
3,Exp-Decay,flat,19,0.11591553325828445
3,Exp-Decay,flat,20,0.04981728011196472
3,Exp-Decay,flat,21,0.02330059841050734
3,Exp-Decay,flat,22,0.03829270125058382
3,Exp-Decay,flat,23,0.023095623642946515
4,Exp-Decay,flat,0,0.03759960019317365
4,Exp-Decay,flat,1,0.02621514266361768
4,Exp-Decay,flat,2,0.01385123298670013
4,Exp-Decay,flat,3,0.015094829848731974
4,Exp-Decay,flat,4,0.01823571660439035
4,Exp-Decay,flat,5,0.005602709101141526
4,Exp-Decay,flat,6,0.036873056529184635
4,Exp-Decay,flat,7,0.1546469600178415
4,Exp-Decay,flat,8,0.21273818722651347
4,Exp-Decay,flat,9,0.2840802615680349
4,Exp-Decay,flat,10,0.17372373811757436
4,Exp-Decay,flat,11,0.11634134682516634
4,Exp-Decay,flat,12,0.0735439299564968
4,Exp-Decay,flat,13,0.05498330511341076
4,Exp-Decay,flat,14,0.0815886138316975
4,Exp-Decay,flat,15,0.07117295409167718
4,Exp-Decay,flat,16,0.08393596335426978
4,Exp-Decay,flat,17,0.1133868362621146
4,Exp-Decay,flat,18,0.08818003348881542
4,Exp-Decay,flat,19,0.0795658579268355
4,Exp-Decay,flat,20,0.07700244069599459
4,Exp-Decay,flat,21,0.03244690474308724
4,Exp-Decay,flat,22,0.013237700368879975
4,Exp-Decay,flat,23,0.01693394251167143
5,Exp-Decay,flat,0,0.017972319059811167
5,Exp-Decay,flat,1,0.004398782215477506
5,Exp-Decay,flat,2,0.008586990595158859
5,Exp-Decay,flat,3,0.014433302969666882
5,Exp-Decay,flat,4,0.01813587654631881
5,Exp-Decay,flat,5,0.019302726487643727
5,Exp-Decay,flat,6,0.04761319038003697
5,Exp-Decay,flat,7,0.11975751255662968
5,Exp-Decay,flat,8,0.24103476434866447
5,Exp-Decay,flat,9,0.32956660729789766
5,Exp-Decay,flat,10,0.2262088935347486
5,Exp-Decay,flat,11,0.11528244860276103
5,Exp-Decay,flat,12,0.08884770992258259
5,Exp-Decay,flat,13,0.06522702065910312
5,Exp-Decay,flat,14,0.0809393740823493
5,Exp-Decay,flat,15,0.09371656206205034
5,Exp-Decay,flat,16,0.14099609932791907
5,Exp-Decay,flat,17,0.13012006236221324
5,Exp-Decay,flat,18,0.13063467549061505
5,Exp-Decay,flat,19,0.11309090974413051
5,Exp-Decay,flat,20,0.06866691503620176
5,Exp-Decay,flat,21,0.04111389214512727
5,Exp-Decay,flat,22,0.01694657884813134
5,Exp-Decay,flat,23,0.035039356319795024
6,Exp-Decay,flat,0,0.018197496297516554
6,Exp-Decay,flat,1,0.01655469207964483
6,Exp-Decay,flat,2,0.018755024814415055
6,Exp-Decay,flat,3,0.017754425437890433
6,Exp-Decay,flat,4,0.02147921238759812
6,Exp-Decay,flat,5,0.006581308781285802
6,Exp-Decay,flat,6,0.03763113927949085
6,Exp-Decay,flat,7,0.1316427585574687
6,Exp-Decay,flat,8,0.2641464912899516
