day,rule,regime,hour,vc_inner
1,Q-Learning,flat,0,0.02661571496615605
1,Q-Learning,flat,1,0.02567255406876599
1,Q-Learning,flat,2,0.02178157329457435
1,Q-Learning,flat,3,0.019883687641366235
1,Q-Learning,flat,4,0.011956839392964005
1,Q-Learning,flat,5,0.009409019161794582
1,Q-Learning,flat,6,0.02789517619666516
1,Q-Learning,flat,7,0.09846443753832759
1,Q-Learning,flat,8,0.22701723559997325
1,Q-Learning,flat,9,0.28114647466134435
1,Q-Learning,flat,10,0.19789027567220546
1,Q-Learning,flat,11,0.1531784772313468
1,Q-Learning,flat,12,0.09312561543318773
1,Q-Learning,flat,13,0.09894830990701113
1,Q-Learning,flat,14,0.09898756469626928
1,Q-Learning,flat,15,0.10860106596419813
1,Q-Learning,flat,16,0.12723006653749094
1,Q-Learning,flat,17,0.1369345675228244
1,Q-Learning,flat,18,0.149064337337829
1,Q-Learning,flat,19,0.05176213617955012
1,Q-Learning,flat,20,0.04632435049610891
1,Q-Learning,flat,21,0.03421384979770248
1,Q-Learning,flat,22,0.034029245139860935
1,Q-Learning,flat,23,0.021479668201070074
2,Q-Learning,flat,0,0.016894394314377097
2,Q-Learning,flat,1,0.01592499317653163
2,Q-Learning,flat,2,0.01363774519500159
2,Q-Learning,flat,3,0.026162218980619444
2,Q-Learning,flat,4,0.030850984016603272
2,Q-Learning,flat,5,0.013013818822843984
2,Q-Learning,flat,6,0.040081931669391564
2,Q-Learning,flat,7,0.13525122436809012
2,Q-Learning,flat,8,0.2662205493866659
2,Q-Learning,flat,9,0.28442291382647106
2,Q-Learning,flat,10,0.18125033474939098
2,Q-Learning,flat,11,0.12900475549973764
2,Q-Learning,flat,12,0.07458469614147303
2,Q-Learning,flat,13,0.08901017172108178
2,Q-Learning,flat,14,0.12290287574247927
2,Q-Learning,flat,15,0.09698074064198939
2,Q-Learning,flat,16,0.13583044077612344
2,Q-Learning,flat,17,0.15572452578124119
2,Q-Learning,flat,18,0.1543700958181697
2,Q-Learning,flat,19,0.09540057123210734
2,Q-Learning,flat,20,0.06466083746907172
2,Q-Learning,flat,21,0.03538543937954493
2,Q-Learning,flat,22,0.030110588364175867
2,Q-Learning,flat,23,0.0208867785055635
3,Q-Learning,flat,0,0.0054049466614238895
3,Q-Learning,flat,1,0.018299458819283985
3,Q-Learning,flat,2,0.01017419755285577
3,Q-Learning,flat,3,0.01695614329434614
3,Q-Learning,flat,4,0.01773705503682553
3,Q-Learning,flat,5,0.03092321755579808
3,Q-Learning,flat,6,0.08218701914958805
3,Q-Learning,flat,7,0.14660317583319776
3,Q-Learning,flat,8,0.24472813863898044
3,Q-Learning,flat,9,0.2696775450262366
3,Q-Learning,flat,10,0.1567716527259346
