link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2
l_854,,inner,arterial,CBD,0.3090632807067247,0.522912693402653,C,119.27269376676925,64.27222082409003,119.90353355959333,64.28746641469652
l_90,,peripheral,arterial,West,0.9993337774816788,3.6033556252758294,F,20.09311420521459,23.183067412831576,22.07602875395507,24.633396869178227
l_2486,,inner,arterial,CBD,0.7897854416216927,2.5538127944169435,F,82.50457703730733,75.84115997283072,82.88992485657327,75.65094779001757
l_548,,peripheral,arterial,West,0.2729630135116692,1.0647467078285995,F,27.68118253603015,17.31520820833251,28.119742845655235,17.523416388508874
l_923,,boundary,arterial,West,0.3592814371257485,1.9030223899840848,F,56.975789666826095,64.10191157207261,57.25884768353421,64.12373676683629
l_294,,peripheral,arterial,East,1.1089548100914888,3.3951589669549387,F,101.68150962704725,16.38432238909062,102.5472068574894,16.179030222583442
l_383,,peripheral,arterial,East,0.6587615283267457,4.252238244237927,F,81.35942688770864,16.54513059672494,82.35402035513721,16.256458635031414
l_1189,,peripheral,arterial,West,4,1.6227978259705598,F,51.58802133868618,51.33629838655588,52.97900184052111,51.31076716025642
l_505,,inner,arterial,CBD,2.1228918504540633,2.6676562063541516,F,69.11457928555151,56.203002006373694,69.71112581881982,57.89467136604405
l_1338,,peripheral,arterial,East,4.756242568370987,8.598852000842033,F,78.60074489497762,73.00056057133216,79.13482182060346,72.98213546199597
l_1081,,boundary,arterial,East,1.0311493018259936,5.858592902360978,F,66.26880810419661,70.4713459349989,66.40670416572556,70.87420248505744
l_1393,,peripheral,arterial,East,7.402837754472547,5.557376817902017,F,103.69986891686158,17.373785672682526,104.31538306862423,17.740704362018587
l_652,,peripheral,arterial,West,0.6052963430012611,7.297134931385795,F,30.45118311183978,66.56049963894581,30.711516231192693,66.52872323261263
l_2199,,inner,arterial,CBD,0.7897854416216927,1.4328229948823155,F,91.75179527385082,72.7841909472288,92.63746775162757,72.4704767357421
l_1268,,boundary,arterial,East,5.584858827179646,5.987690106600715,F,71.4152041612677,74.80883656913852,71.9765944393281,75.77143528366535
l_654,,peripheral,arterial,West,0.6384110657918071,7.517197216995891,F,29.74430385045938,60.006032223592356,29.946834492384088,59.19155118606064
l_1434,,peripheral,arterial,East,3.7394827048924895,1.303427028030398,F,122.60582264572177,41.399308708747704,122.69221806781324,40.20851205380504
l_1997,,inner,arterial,CBD,0.8782844177706213,3.970535932600004,F,62.633107918613945,52.538685052270054,63.15193123457362,53.55614010630278
l_1106,,inner,arterial,CBD,0.7733619763694952,3.0739889678244467,F,59.389231387559114,52.301070655641134,59.98369665385385,53.88469637087916
l_48,,peripheral,arterial,East,1.162715586848395,6.174215771207493,F,111.16009224621511,37.369775279737574,112.25637496368564,35.5385411198825
l_108,,peripheral,arterial,West,6.665020982473463,5.060840881535517,F,60.80485960601981,45.35627036157406,60.930097372138135,43.89453909560911
l_717,,peripheral,arterial,East,0.8774495466510676,0.9578442610441747,E,70.95700150242646,14.737385387322133,71.3291682956456,16.054818204487734
l_497,,peripheral,arterial,West,0.6732873253661,1.1402390647657525,F,13.513751713595749,72.54432523635822,14.297729047333547,72.61116249408158
l_526,,boundary,arterial,East,0.9788726649808304,4.140645776926615,F,91.75010104614312,58.64931212548191,92.03767611801433,58.91424556394204
l_1272,,peripheral,arterial,West,1.317426626655932,5.459475890029126,F,60.005554820942166,47.992536583867455,60.3128151638892,48.1490434873391
l_2152,,peripheral,motorway,MWY,0.13333333333333333,0.8788473656721075,D,56.236816790672194,48.764506272463414,56.402727847693974,48.329035398305
l_72,,peripheral,arterial,West,1.4328928514567743,1.6914419163702294,F,24.863778630243967,40.392930819995776,27.32353851346011,40.56429539010927
l_661,,peripheral,arterial,East,0.5,0.4768883247949378,C,64.53823039270927,17.93675809277535,64.70808524166334,17.717416921314094
l_129,,peripheral,arterial,West,2.1697203471552555,8.38338316454764,F,23.75937672001479,72.79039814014064,24.238027297717988,73.99785629994628
l_237,,boundary,arterial,East,0.47084673938632976,2.0451985971619098,F,65.35616662209551,37.515893266219976,65.79131874330855,37.53490327907167
l_2538,,boundary,arterial,East,0.5469711472719815,7.265530562151978,F,98.22924871404055,57.47502930571006,98.55879211378273,57.658094585658226
l_2182,,boundary,motorway,MWY,0.4,0.7069859000840389,D,55.26012197672294,35.86383299864734,55.63837242127506,35.15419638640701
l_819,,inner,arterial,CBD,0.8204567209079722,6.9983986491713495,F,104.81217107922636,60.703961739510994,105.55620697930154,60.96038443195367
l_171,,inner,arterial,CBD,0.48007681228996646,5.118665889430003,F,95.48349228329441,58.30978429396677,95.53198715975178,58.57915053254723
l_579,,peripheral,arterial,East,0.4163486225799736,3.8590858673546005,F,63.01787963772989,16.829647840958994,63.37204910383103,17.174469943216778
l_947,,peripheral,arterial,West,0.9552619009711829,2.377874791720398,F,32.484114490381536,41.010640804606915,33.47000840118514,41.425054020888716
l_712,,inner,arterial,CBD,0.47084673938632976,2.522711219554807,F,56.988096828092516,37.61582131624459,57.578859904655694,37.82117309781113
l_585,,peripheral,arterial,East,0.7751437245655965,6.517554552088375,F,106.78377288492112,46.34310863502439,106.97282358137726,45.98824119423296
l_36,,peripheral,arterial,East,0.6587615283267457,2.9474009083209816,F,97.53388054729031,11.947968259590294,98.50670295029522,11.659621214841225
l_536,,inner,arterial,CBD,2.8140389275384976,5.621405751807675,F,70.3428338035905,47.36972377019705,70.50245947328503,47.77217709600998
l_1765,SH1S,peripheral,motorway,MWY,0.1894736842105263,1.0208036991874396,F,84.96035184208625,7.938049165044866,85.51529158202642,7.387236144932141
l_2515,,peripheral,motorway,MWY,0.26666666666666666,0.7168645371724044,D,54.84337716773664,36.84443996626127,55.26012197672294,35.86383299864734
l_1105,,peripheral,arterial,East,1.3175230566534915,6.153678223844547,F,65.28320945797132,21.78782265927026,65.5419863242516,21.674948605585637
l_195,,peripheral,arterial,East,2.32543117369679,3.2291475969536934,F,113.33141003675074,33.73472308894424,113.40268484984902,32.89556275122602
l_2679,SH1N,peripheral,arterial,West,0.2,0.20287491895129114,A,49.3131947337573,68.59347269075934,49.36474344224883,67.59288241770346
l_193,,inner,arterial,CBD,4.744020557422415,6.238505441775743,F,65.77564147931554,35.76447704707274,66.18877609814999,36.6897596250006
l_1843,,peripheral,arterial,East,1.3981668479105174,4.813965878884097,F,65.5419863242516,21.674948605585637,65.89837991321727,22.459408351024813
l_693,,peripheral,arterial,West,0.5459260270233384,0.4418851634303319,C,12.994130866692274,21.312260769453108,14.16267206992958,21.02075980134098
l_1479,,boundary,arterial,East,0.4660556159701724,0.3346622336520258,B,82.08185256660941,48.47719424489277,82.65695102383421,49.00708608487663
l_630,,boundary,arterial,East,0.8204567209079722,5.924438773048583,F,113.43853816851465,60.40815325388406,113.90558048528936,60.9670057373324
l_605,,peripheral,arterial,West,0.4163486225799736,3.2559975758626156,F,57.035679730518716,14.237078372263523,57.47824904838939,14.661363814040484
l_1639,,peripheral,arterial,West,3.08364383913658,7.40402727342272,F,19.926106752739194,86.75158827521348,19.969935188443806,89.1561121549009
l_2425,,peripheral,arterial,West,1.0311493018259936,2.9812515882475403,F,60.96558566151634,56.43414488612076,61.44641818363301,57.74959335229004
l_945,,inner,arterial,CBD,0.51985559566787,5.554630310777419,F,48.48658325403197,31.63692760098967,48.613002687591845,31.418397879223342
l_1188,SH1N,peripheral,motorway,MWY,0.2,0.37032918498526884,B,24.217517569694923,94.32186840915018,25.556797822209617,97.40547858849013
l_876,,peripheral,arterial,East,0.43917435221783047,3.070594597827182,F,90.52797910869336,13.942877608033063,91.37144208454141,13.711017694944955
l_188,,peripheral,arterial,West,0.9364026531408505,1.6405954567883794,F,36.278057499793505,42.80613344039605,36.847573293286096,43.038958409692896
l_326,,peripheral,arterial,East,1.293521612590277,0.8789227821617888,E,72.14670202358586,19.120755876282022,72.37850218358771,19.900247069732195
l_2440,,peripheral,motorway,MWY,0.26666666666666666,1.9144542001016898,F,49.79450913135496,59.94446400638409,50.045302908123446,58.957232655495595
l_315,,peripheral,arterial,West,0.47953964194373405,1.3564969554333546,F,58.206780092184864,56.56595492603359,58.52981355934729,56.39785830666861
l_271,,peripheral,arterial,West,1.03971119133574,5.66747696372421,F,60.26552505066133,23.177481659503353,60.80631266333057,23.0323980143972
l_770,,boundary,arterial,West,2.520214218208548,2.729571065130578,F,56.32606541401806,63.05982054201619,56.694073547401054,62.971980289645025
l_841,,peripheral,arterial,East,0.7751437245655965,3.1999375341836873,F,112.74875557728336,29.31319530064335,112.90643392091758,29.607549191535874
l_325,,peripheral,arterial,East,1.162715586848395,4.126875153914096,F,108.02612519860295,22.04994085333653,108.46982879201212,22.528156201237426
l_797,,peripheral,arterial,West,0.47084673938632976,2.4925688777707284,F,55.171355121145496,36.94652013262038,55.47809825859257,37.07601636840812
l_2038,,peripheral,arterial,West,7.232401157184185,6.249348041601554,F,26.197476662346165,84.85369005084536,27.363925558451466,83.2378907499631
l_45,,peripheral,arterial,East,1.2464942349641632,4.688260614425328,F,121.27267649330526,50.31605609538714,121.63151064679622,48.5796332799868
l_1199,SH1N,boundary,motorway,MWY,0.5333333333333333,2.4516602761193473,F,50.157972579024026,58.55544635747299,51.96220025911047,54.663882885503156
l_8,,inner,arterial,CBD,1.415261233636042,7.9759177858653905,F,74.49349172307936,49.61741299843831,74.82449982857337,49.881566748454176
l_887,,inner,arterial,CBD,4,9.664350363886355,F,87.90317081015102,61.07192236987932,88.13824604143318,60.851355100114134
l_965,,inner,arterial,CBD,0.718562874251497,1.6497028691003803,F,61.62087538525587,64.85432794689004,62.42807853430937,65.00163514493862
l_1034,,peripheral,arterial,West,1.1867088607594938,4.511668004058772,F,56.36047347925608,69.65362019796031,56.68502148924751,69.56657895168362
l_776,,peripheral,arterial,East,1.7548990933021351,1.6831286308019462,F,71.70183893190438,17.39926773257083,71.91290464729968,18.23319513559029
l_474,,peripheral,arterial,West,0.47763095048559145,0.8029354908082269,D,4.01069811661876,48.52842067021391,4.405337978853362,48.7104504788504
