"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"paper-figs"
"07/27/2026 07:09:54:385 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"1","Exp-Decay","No-Charge","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Exp-Decay","tou","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Q-Learning","No-Charge","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","El Farol","tou","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Q-Learning","tou","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","El Farol","No-Charge","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Exp-Decay","tou","14","1","1","0.1035304746179941","0.2633313624361308","0.06135310784806116","89.18395061575565","81.73495872970513","85.5419509737292","82.82793585366683","62.09987909401574","74.36651681654796","73.90603723580935","77.58542677920171"
"1","Exp-Decay","No-Charge","14","1","1","0.12758947537708756","0.33064570803092486","0.06883192636832669","93.1022107117182","87.80528874602881","88.72977663322516","83.58651183916827","77.27241472629197","83.16750108679285","83.50707349409443","78.76937397841442"
"6","Q-Learning","tou","14","1","1","0.1364803500735746","0.4065929454832226","0.0723682348542276","92.23902619425365","87.06642657811356","86.36958071334222","82.41715906768997","77.07735236783725","84.30205637525741","84.21816838621949","80.69126951959045"
"5","Q-Learning","No-Charge","14","1","1","0.1364803500735746","0.4065929454832226","0.0723682348542276","92.23902619425365","87.06642657811356","86.36958071334222","82.41715906768997","77.07735236783725","84.30205637525741","84.21816838621949","80.69126951959045"
"4","El Farol","tou","14","1","1","0.1426736875585494","0.4448850796090948","0.08488101131745832","93.29668774460949","92.04681141786818","89.36054144976718","82.78043860980564","82.07177685114245","82.59936537623075","84.48935272756395","79.743455226003"
"3","El Farol","No-Charge","14","1","1","0.14538156844713468","0.517892986961543","0.09928896680097997","93.67380029523349","92.90530140234306","91.58983914475158","83.46292472322533","86.80556980122783","87.62585054561025","87.7945328285021","82.44848047791534"
"2","Exp-Decay","tou","14","2","2","0.09022433795337242","0.25400264032766695","0.06634588159373983","90.30242426429469","84.31537683562969","87.83120018510846","84.56959041928174","67.22133090226218","73.86908216484287","79.20648120932972","77.14038449047672"
"6","Q-Learning","tou","14","2","2","0.10991445433346443","0.33320560186075676","0.07162411573876455","92.23361717506228","85.22988531992172","87.68348893216226","82.61228909187457","72.84174164031569","82.24665147273916","82.49166238534917","79.74599171989094"
"5","Q-Learning","No-Charge","14","2","2","0.10991445433346443","0.33320560186075676","0.07162411573876455","92.23361717506228","85.22988531992172","87.68348893216226","82.61228909187457","72.84174164031569","82.24665147273916","82.49166238534917","79.74599171989094"
"1","Exp-Decay","No-Charge","14","2","2","0.11488469000627051","0.3667612180449964","0.07517473002801155","92.21822092387404","87.26916542577769","89.07401961408698","82.25190660765915","74.26604433986066","83.36275156106855","84.3462685533948","81.56316751528205"
"4","El Farol","tou","14","2","2","0.14634709406397695","0.6735097295502323","0.13088007973335497","95.02165541780376","94.13534382468772","91.86962433945214","87.95834096378036","86.5125193403807","84.99418352664763","86.14586441882749","81.62075320492332"
"3","El Farol","No-Charge","14","2","2","0.17373386597160373","0.7487134915247822","0.12677177704536136","95.30396987074587","92.22028366020646","92.50818492689748","87.42971474554325","86.5178276828966","87.24134390097954","88.36272767837102","83.26926795081897"
"2","Exp-Decay","tou","14","3","3","0.10307636355184795","0.3204264090438434","0.058238680350420624","91.10671130913066","82.68431999306391","83.31135633808414","81.57229567147867","62.16648454030075","74.25897271551621","78.85831483004726","77.0242680790407"
"6","Q-Learning","tou","14","3","3","0.13281701490645972","0.3272931618708011","0.06826775567995896","91.3587310115697","88.60073030877288","86.88963833266591","84.64750913182522","72.72927128093512","81.02954533025513","83.16312624065667","78.35266852076106"
"1","Exp-Decay","No-Charge","14","3","3","0.11730181667928281","0.36206093630309355","0.07600981174957916","92.94507277495572","88.50657023057198","86.8246561892349","84.48723836369804","77.48299501825568","84.00117996010842","83.96951680947534","80.44928588325132"
"5","Q-Learning","No-Charge","14","3","3","0.1197121270581524","0.4048714236286758","0.07467623355544835","92.11040484250465","87.77401150076427","86.6255839073005","85.52118516893421","76.74464802805161","81.84137255447247","83.34269326618285","79.1326354467929"
"4","El Farol","tou","14","3","3","0.15388848445683306","0.7538016018945335","0.10886415068959099","94.6466410851302","93.87228518911468","91.77431322569494","84.53795147076166","86.66408629539771","86.12857742895105","86.46345308530242","83.19232161394743"
"2","Exp-Decay","tou","14","4","4","0.08556492795507056","0.2371267544643089","0.054219028888424885","90.43799083887528","85.20912256831593","84.52223262264573","82.57877816224654","62.089546247689135","74.07450439997159","78.50982339718612","77.49577732085923"
