"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-kfactor"
"07/25/2026 18:53:33:510 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","k-factor","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"2","Exp-Decay","No-Charge","0.1","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Exp-Decay","tou","0.1","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Exp-Decay","tou","0.08","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Exp-Decay","tou","0.12","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Exp-Decay","No-Charge","0.12","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Exp-Decay","No-Charge","0.08","14","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Exp-Decay","tou","0.1","14","1","0.1035304746179941","1","0.2633313624361308","0.06135310784806116","89.18395061575565","81.73495872970513","85.5419509737292","82.82793585366683","62.09987909401574","74.36651681654796","73.90603723580935","77.58542677920171"
"6","Exp-Decay","tou","0.12","14","1","0.1035304746179941","1","0.2633313624361308","0.06135310784806116","85.72761099320192","78.4912295876749","77.61622743433026","79.83614399784057","31.959694792081997","66.86142751093242","69.02415144012086","63.40662576187317"
"4","Exp-Decay","tou","0.08","14","1","0.1035304746179941","1","0.2633313624361308","0.06135310784806116","94.29187391864552","91.73001989817686","89.85528515519671","83.83808459254497","86.42518078206521","82.30958011668777","83.72476226691641","84.90633546471905"
"2","Exp-Decay","No-Charge","0.1","14","1","0.12758947537708756","1","0.33064570803092486","0.06883192636832669","93.1022107117182","87.80528874602881","88.72977663322516","83.58651183916827","77.27241472629197","83.16750108679285","83.50707349409443","78.76937397841442"
"3","Exp-Decay","No-Charge","0.12","14","1","0.12758947537708756","1","0.33064570803092486","0.06883192636832669","87.02658109683028","82.65990412468803","84.19664859071658","81.68556788222685","53.11568988215887","75.33021668984806","74.70611121657113","67.81281715824906"
"1","Exp-Decay","No-Charge","0.08","14","1","0.12758947537708756","1","0.33064570803092486","0.06883192636832669","95.5537109458535","93.27593624572248","91.99553653495587","84.74640587426767","86.75823882514361","87.7199274908995","87.48039770939133","85.38612323970806"
